MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x08\x06クラン\nSo ist es gut. Immer weiter so, Kleine. Dann\nschaffst du es!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nシトリニカ\nClanne? Was tust du denn hier draußen?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06クラン\nAaah!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nシトリニカ\nOh! Ich bitte um Entschuldigung. Es war nicht\nmeine Absicht, dich so zu erschrecken.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nシトリニカ\nIch war bloß neugierig, was du da wohl machst,\nda du so ernst dreingeblickt hast.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06クラン\nAch, ähm, nichts. I-ich hab gar nichts gemacht!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nシトリニカ\nOh, verstehe. War es vielleicht etwas... Privates?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nシトリニカ\nKeine Sorge. Ich habe nichts gesehen.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06クラン\nWas?! Nein! So privat war es nun auch wieder\nnicht!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クラン\nIch hab bloß mit einer... Wildblume geredet.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nシトリニカ\nAber wieso denn das?\x0E\x04\x00\x00
