MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08リュール\nWas tut Ihr da, Zelkov?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nHallo, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Ich schmelze Wachs, um\ndaraus Kerzen... zu gießen.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nOh, toll! Ist das Kerzengießen eine\nFreizeitbeschäftigung von Euch?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nSo könnt Ihr das wohl nennen. Ich... bevorzuge...\naber, es als eine Betätigung anzusehen, um\nZeit totzuschlagen.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\nDie Zeit totzuschlagen?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nEinige sagen, man schlage die Zeit tot, bis sie\neinen selbst totschlägt. Das ist meine...\nPhilosophie.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nIch hatte keine Ahnung, dass Ihr so ein\ntiefschürfender Denker seid, Zelkov.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nHeh. Das bin ich keinesfalls.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nMeine Art zu sprechen mag auf eine tiefere\nBedeutung... hinweisen. Aber in Wahrheit ist\ndas nur selten der Fall.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nEs ist einfach nur ein weiterer Weg, die...\nZeit totzuschlagen. Ein... Zeitvertreib... mehr\nnicht.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nHui...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nWas ist? In Euren Augen leuchtet ein höchst...\neigentümliches... Funkeln.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nIch finde einfach Eure Einstellung faszinierend.\nSie zeigt mir eine völlig neue Sichtweise.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nIch habe das Gefühl, Ihr wisst eine Menge\nDinge, die ich nicht weiß.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nIhr seid... faszinierend. Vielleicht zeige ich Euch\nbei unserem nächsten Gespräch einen interes-\nsanten Ort.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nNun bin ich neugierig.\x0E\x04\x00\x00
