MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nPrinzessin Hortensia! Ihr seid hoffentlich nicht\ngerade beschäftigt, oder? Lasst uns ein\nTässchen Tee trinken.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nPrinz Fogado.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch weiß, dass ich unwiderstehlich bin.\nAber darüber hinaus bin ich eine Prinzessin.\nIhr solltet mir keine Avancen machen.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nフォガート\nIch plane nichts dergleichen, versprochen.\nIch hoffte nur auf einen freundlichen, keuschen\nGedankenaustausch.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nTut ruhig weiterhin so unschuldig, aber selbst in\nElusia erzählt man sich, was Ihr für ein\nSchürzenjäger seid.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nフォガート\nSelbst im fernen Elusia spricht man über mich?\nIch bin geschmeichelt.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nDas wärt Ihr nicht, wenn Ihr wüsstet, was dort\nerzählt wird.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nフォガート\nWen interessiert denn der Straßenklatsch? Ich\nmöchte nur ein Tässchen Tee trinken und mehr\nüber andere Länder erfahren.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nNein, danke. Außerdem braucht meine\nSchwester heute meine Hilfe.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nHey, Ihr seid ein Prinz! Solltet Ihr nicht auch\neine Menge Arbeit zu erledigen haben?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nフォガート\nSolm ist ein Königinreich, daher ist meine\nSchwester die Thronfolgerin, nicht ich.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nDeshalb verschwendet Ihr Eure Zeit, indem Ihr\nallen um Euch herum schöne Augen macht?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nフォガート\nNicht „schöne Augen machen“. Ich bevorzuge\nden Begriff „patrouillieren“.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nOh, das ist natürlich etwas ganz anderes.\x0E\x04\x00\x00
