MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0C\nスタルーク\nDa wären wir. Schloss Brodia.\x0E\x04\x02\x00
MID_OP1_#002	Ich sehe keine elusianischen Soldaten. Den\nHimmeln sei Dank. Der Angriff hat noch nicht\nbegonnen.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08リュール\nWartet. Da steht jemand vor dem Tor.\nEr sieht nicht nach einer Wache aus.\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x0C\nスタルーク\nIst es ein feindlicher Soldat?\x0E\x04\x02\x00
MID_OP1_#005	Nein. Das ist...\x0E\x04\x02\x00
MID_OP1_#006	Das ist Diamant! Er muss herausgekommen\nsein, um uns zu begrüßen!\x0E\x04\x00\x00
MID_MOVIE1_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nHm? Ich habe schon auf Euch gewartet,\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x02\x00
MID_MOVIE1_#004	Ich begrüße Euch als Kronprinz von Brodia.\x0E\x04\x02\x00
MID_MOVIE1_#004_2	Mein Name ist Diamant.\x0E\x04\x02\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nIch habe schon so viel von Euch gehört. Es ist\nmir eine Ehre, der Legende endlich selbst zu\nbegegnen.\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x0A\x08リュール\nEs ist mir ein Vergnügen, Prinz Diamant.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nUnd Prinz Alfred, willkommen. Dank des Briefes\nvon Königin Ève bin ich über die Situation\ninformiert.\x0E\x04\x02\x00
MID_OP2_#004	Danke, dass Ihr die weite Reise zu uns auf Euch\ngenommen habt. Es ist schön, Euch zu sehen.\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x00\x12\x0Cアルフレッド\x024\n\x0E\x03\x02\x0E\x0Cアルフレッド\nEbenso. Ich bedaure, dass es einen Krieg\nbrauchte, um uns nach all der Zeit ein\nWiedersehen zu ermöglichen.\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nOh, und Alcryst – danke, dass du unsere Gäste\nvon der Grenze hierher eskortiert hast. Ich weiß,\ndass das keine leichte Reise war.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x00\x10\nスタルーク\x023\n\x0E\x03\x02\x0C\nスタルーク\nAch, das war doch nichts.\x0E\x04\x02\x00
MID_OP2_#008	Aber ich bringe schlechte Neuigkeiten.\nElusianische Soldaten haben uns am Viadukt\nangegriffen.\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nTatsächlich?\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x0C\nスタルーク\nEin Bataillon, angeführt von Prinzessin\nHortensia. Wir konnten sie abwehren, aber\nsie sagte etwas Beunruhigendes.\x0E\x04\x02\x00
MID_OP2_#011	Die Kronprinzessin plant einen Angriff auf\nSchloss Brodia.\x0E\x04\x02\x00
MID_OP2_#012	Wenn sie es auf unseren Emblem-Ring\nabgesehen haben, steht uns wohl eine\ngefährliche Konfrontation bevor.\x0E\x04\x00\x00
MID_OP2_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nWir müssen unsere Verteidigung verstärken.\nDanke für die Warnung, Alcryst.\x0E\x04\x02\x00
MID_OP2_#014	Kommt. Vater möchte sicher davon erfahren.\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08モリオン\x021\n\x0E\x03\x00\x12\x0Cディアマンド\x023\n\x0E\x03\x02\x0A\x08モリオン\nWarum sind denn alle hier so angespannt?\x0E\x04\x00\x00
MID_OP3_#002	\x0E\x04\x03\x04
MID_OP3_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nVater? Ihr solltet doch im Schloss bleiben.\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x02\x0A\x08モリオン\nJa, ich weiß. Und das war ich auch. Doch\nplötzlich überkam mich so ein Gefühl, dass\nAlcryst zurückgekehrt sein könnte.\x0E\x04\x02\x00
MID_OP3_#005	Wie es scheint, lag meine väterliche Intuition\nrichtig – wie üblich, hehe. Willkommen zurück,\nmein Sohn.\x0E\x04\x00\x00
MID_OP3_#006	\x0E\x03\x00\x10\nスタルーク\x024\n\x0E\x03\x02\x0C\nスタルーク\nIch danke Euch, Vater.\x0E\x04\x00\x00
MID_OP3_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nIch wünschte, Ihr würdet aufhören, nach\nGründen zu suchen, um das Schloss zu\nverlassen. Es ist hier draußen nicht sicher.\x0E\x04\x00\x00
MID_OP3_#008	\x0E\x03\x02\x0A\x08モリオン\nBitte, Diamant, nicht schon wieder diese\nBelehrungen.\x0E\x04\x02\x00
MID_OP3_#009	Was kann es schaden, meinen lieben Sohn\nnach seiner Rückkehr willkommen zu heißen?\x0E\x04\x02\x00
MID_OP3_#010	Wie dem auch sei, lasst uns nicht vor unseren\nGästen streiten.\x0E\x04\x00\x00
MID_OP3_#011	\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nOh, schon gut...\x0E\x04\x00\x00
MID_OP3_#012	\x0E\x03\x02\x0A\x08モリオン\nBitte entschuldigt meine Unhöflichkeit.\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, Prinz Alfred, seid mir willkommen.\x0E\x04\x02\x00
MID_OP3_#013	Ich bin Morion, König von Brodia.\x0E\x04\x00\x00
MID_OP3_#014	\x0E\x03\x02\x0A\x08リュール\nEs freut mich, Eure Bekanntschaft zu machen.\x0E\x04\x00\x00
MID_OP3_#015	\x0E\x03\x02\x0A\x08モリオン\nGleichfalls! Niemals im Leben hätte ich gedacht,\neinmal \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin \x0E\x06\x03\x00 treffen zu\ndürfen.\x0E\x04\x02\x00
MID_OP3_#016	Fürwahr, solch ein besonderer Anlass verlangt\nnach einem Willkommensduell!\x0E\x04\x00\x00
MID_OP3_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nDafür ist jetzt nicht die Zeit. Wir haben eine\nwichtige Angelegenheit zu besprechen.\x0E\x04\x02\x00
MID_OP3_#018	Während Alcryst unsere Gäste hierher\neskortierte, wurden sie von elusianischen\nSoldaten angegriffen.\x0E\x04\x00\x00
MID_OP3_#019	\x0E\x03\x02\x0A\x08モリオン\nOh... Elusianer.\x0E\x04\x00\x00
MID_OP3_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nWie es scheint, plant die Kronprinzessin\neinen Angriff auf Schloss Brodia.\x0E\x04\x00\x00
MID_OP3_#021	\x0E\x03\x02\x0A\x08モリオン\nSie machen also bereits ihren Zug, hm?\nSoldaten! Verstärkt sofort unsere Verteidigung!\x0E\x04\x00\x00
MID_OP3_#022	\x0E\x03\x01\x0E\x0Cディアマンド\n\x0E\x03\x00$\x1Eブロディア兵士_ソードナイト1\x023\n\x0E\x03\x02 \x1Eブロディア兵士_ソードナイト1\nJa, Euer Majestät!\x0E\x04\x00\x00
