MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nIhr scheint müde zu sein, Milady Nel. Vielleicht\nsolltet Ihr pausieren und etwas zu Euch nehmen.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04エル\nIch danke Euch für Eure Sorge. Vielleicht kann\nich ein wenig Obst finden, das auch mir\nmundet.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x06\x04エル\nIn Eurer Anwesenheit fühle ich mich sicher,\nHector. Es scheint, als würde ich mich instinktiv\nauf Euch verlassen.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nDas freut mich zu hören, Milady Nel. Wann\nimmer Ihr mich auch braucht, ich bin für\nEuch da.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x06\x04エル\nIch kann manchmal etwas überfürsorglich sein,\nwenn es um jene geht, die ich als Familie sehe.\nKönnt Ihr das wohl nachvollziehen?\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nMehr oder weniger. Ich war das jüngere Kind\nin meiner Familie, daher wurde ich von meinem\nälteren Bruder umsorgt.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nAber seid nicht zu hart zu Euch, Milady Nel.\nIch wette, sie wissen es zu schätzen, dass Ihr\nfür sie da seid.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nIch danke Euch für Eure Worte. Mir scheint,\nEure Art und meine Art haben hier ähnliche\nAnsichten.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nラファール\nWie ich hörte, wart Ihr das jüngste Kind in der\nFamilie. Hattet Ihr Schwestern?\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nNein, ich hatte nur einen älteren Bruder. Er\nwar ein großartiger Mann, ich habe ihn sehr\ngeliebt.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nラファール\nIhr habt schon sehr oft in einer Arena gekämpft.\nIch würde Eure Fähigkeiten wirklich gern einmal\naus der Nähe sehen.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nIch weiche niemals einer Herausforderung aus.\nIhr gebt besser alles, was Ihr habt!\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nラファール\nIch strebe immer noch nach Macht, doch meine\nBeweggründe haben sich geändert. Nun möchte\nich andere beschützen.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nDas ist gut. Aber Ihr müsst auch wissen, wann\nIhr Euch auf andere verlassen solltet.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nAuch ich dachte einst, wenn ich nur stark genug\nwäre, könnte ich alle auf immer beschützen.\nDoch ich hatte mich geirrt.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nEs fällt mir nicht leicht, mich auf andere zu\nverlassen. Doch vielleicht kann ich mit Euch\nbeginnen.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nIch habe bemerkt, dass du dich nur selten\nhinsetzt und ein gutes Mahl genießt. Wenn du\nnicht genug isst, wirst du irgendwann schwach.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nMacht Euch keine Sorgen. Ich habe gut\ngespeist... vor... oh, vor ein paar Tagen! Ich\nwerde das sofort nachholen.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nIch bin beeindruckt, um wie viele von uns du\ndich kümmerst. Das zeigt, wie gutherzig du bist.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nDas könnte ich über Euch auch sagen. Ihr\nkommt unseren Verbündeten und mir zu Hilfe,\nwenn wir diese benötigen.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nEin jeder fängt sofort an zu lächeln, wenn du\nin seine Nähe kommst. Das ist ganz wunderbar.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nHahaha. Vielen Dank für Eure Worte. Aber\nwarum lobt Ihr mich so?\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nIch finde, du konzentrierst dich ein wenig zu\nsehr auf die Bedürfnisse anderer. Sag bitte\nBescheid, wenn ich dir helfen kann.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nVielen Dank für Eure Fürsorge, mir geht es gut.\nSchließlich habe ich Freunde wie Euch, die\nauf mich aufpassen!\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nWeißt du, Gregory, ich bewundere seit einer\nWeile schon deine Kleidung. Darin wirkst du\nso lässig!\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nOh, sie gefällt Euch? Seltsamerweise denke ich,\ndass sie Euch gut stehen würde. Sie würde\nEuch bestimmt noch stärker aussehen lassen.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nグレゴリー\nEure Anwesenheit stimmt mich zuversichtlich.\nAber ich will nicht zu zufrieden sein...\x0E\x04\x00\x00
