MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nDie Kämpfe werden nicht so bald enden. Ihr\nkönnt Euch auf mich verlassen, wenn es hart\nauf hart kommt.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nDanke. Ich sollte mich glücklich schätzen, so\nviele Freunde zu haben, die auf mich achten.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0A\x08リュール\nHallo, Magister! ...Tut mir leid, ich bin ja gar\n\x0E\x0A\x00\x1A\x0Ckeiner\nkeine Eurer Studenten. Ich wollte nur wissen,\nwie es sich anfühlt, das zu sagen.\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x08\x06ベレト\nDas stört mich nicht. Tatsächlich hat mich fast\njeder so genannt.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0A\x08リュール\nBevor Ihr Magister wurdet, wart Ihr... ein\nSöldner? Was tun Söldner denn so?\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x08\x06ベレト\nSie werden zum Kämpfen angeheuert. Wir\nzogen für Nationen in den Krieg, ohne ihnen\nanzugehören.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x08\x06ベレト\nUnsere Verbündeten in der einen Schlacht\nkonnten also unsere Feinde in der nächsten\nsein.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nWobei das mit der entsprechenden Motivation\nohnehin geschehen könnte... Vielen Dank für die\nLektion, Magister.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nDu wirkst stets so beschäftigt, Vander.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nEs gibt viel zu tun. Und es befreit meinen Geist,\nwenn ich all meine Aufgaben schnell erfülle.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nVander, kann ich dir bei etwas helfen?\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nAch was, überlasst die Fußarbeit diesem alten\nMann. Ihr habt junge Studenten zu unterrichten,\nMagister.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nDu arbeitest zu hart, Vander. Kannst du nicht\neinige deiner Pflichten delegieren?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nIch erfülle meine Pflichten, seit ich ein kleiner\nJunge war. Dies ist keine Bürde, die zu\ndelegieren sich lohnen würde.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nGleichwohl weiß ich die Fürsorge zu schätzen.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x08\x06ベレト\nIch verstehe. Nun... bitte überanstrenge dich\nnicht. Wir brauchen dich auf dem Schlachtfeld,\nnicht in der Krankenstation.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nClanne, brauchst du etwas? Ich merke, wie du\nmich schon einige Zeit lang anstarrst.\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nNein. Ich bewundere Euch nur, Magister...\nMoment! Magister? Ihr habt mich bemerkt?\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nClanne, magst du mir ein wenig über dich\nerzählen? Ich kenne dich ja kaum.\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06クラン\nIch weiß besser über \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin Bescheid,\naber gut. Was möchtet Ihr hören?\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06クラン\nIch sehe Euch nie lächeln oder... irgendwas,\ndaher weiß ich nicht, wie Ihr Euch fühlt. Aber\noffenbar seid Ihr trotzdem sehr nett!\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06ベレト\nWas bringt dich denn auf diesen Gedanken?\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クラン\nIhr achtet auf mich, sagt Hallo, und behandelt\nmich, als wären wir gleichgestellt. Das macht\nmich froh.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06ベレト\nEs freut mich, dass du so empfindest, und ich\nhoffe, wir können weiterhin so gut zusammen-\narbeiten.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06フラン\nMagister! Ich bin ja so aufgeregt, dass Ihr\nhier und auf unserer Seite seid. Ich wollte\nunbedingt Eure Hand schütteln.\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06ベレト\nDas würde ich auch gern, aber ein freundliches\nWinken wird uns genügen müssen.\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06フラン\nAch, Magister, ich habe es schon wieder\ngetan. Ich wollte nur helfen, wirklich, aber ich\nhabe alles vermasselt.\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06ベレト\nDas ist in Ordnung. Wenn du dein Scheitern als\nLernerfahrung betrachtest, dann ist es gar kein\nScheitern.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06フラン\nIhr seid so freundlich, Magister. Ich wette,\nEure Studenten haben Euch als Lehrer geliebt.\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x08\x06ベレト\nIch habe gerne gelehrt. Aber meine Studenten\nhaben auch mir sehr vieles beigebracht.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06ベレト\nGenau wie du, Framme. Du hast mich viel\ngelehrt, und dafür bin ich dankbar.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06フラン\nAch, jetzt werde ich noch ganz rot. Ich sollte\ndoch diejenige sein, die Euch dankt.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nIch habe hart trainiert, damit ich für mein\nLand kämpfen kann. Aber es fühlt sich nicht\ngut an, das tun zu müssen.\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x08\x06ベレト\nDann sollten wir schnell voranschreiten und den\nKrieg beenden, damit wir die Klingen für immer\nablegen können.\x0E\x04\x00\x00
