MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDa wären wir, Framme. Dies ist der perfekte\nOrt, um Äpfel zu pflücken.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06フラン\nOooh, ist das aber schön hier!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06フラン\nAber da muss man ja ganz schön weit laufen,\nnur um ein bisschen Obst zum Kochen zu\npflücken, findest du nicht? Puh!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDas beste Essen verlangt auch nach den besten\nZutaten. Und um diese zu beschaffen, muss\nman eben einige Mühen auf sich nehmen.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06フラン\nAllein hierherzugelangen war das reinste\nAusdauertraining. Die Kochkunst ist echt kein\nZuckerschlecken!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06フラン\nIch freue mich dann eben schon mal auf\nein schönes, warmes Bad, wenn ich wieder zu\nHause bin.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06フラン\nÄhm, Goldmary? Was machst du denn da?!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nWas ist denn los?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06フラン\nWarum ziehst du dich aus?!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06フラン\nZieh sofort wieder deine Kleidung an!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDa ist eine wunderschöne Quelle in der Nähe.\nIch dachte mir, ich gehe mal kurz rein.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06フラン\nEine kleine Vorwarnung wäre schön gewesen!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEine Vorwarnung? Wofür denn? Ich wollte mich\ndoch nur schnell in der Quelle frisch machen.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDu hast selbst gesagt, du würdest dich schon\nauf ein Bad freuen nach dem langen Weg\nhierher.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06フラン\nÄhm, ja... aber ich hatte nicht vor, eines zu\nnehmen, bis ich wieder zu Hause bin.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06フラン\nDu findest das wirklich in Ordnung, so ganz im\nFreien zu baden?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJa, das ist ziemlich normal für mich. Aber das\nliegt vielleicht daran, dass ich in einem Dorf mit\nheißen Quellen aufgewachsen bin.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06フラン\nIch dachte immer, du wärst ziemlich schüchtern,\naber da lag ich wohl total daneben.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06フラン\nDas hat man dann wohl davon, andere nach\nihrem Äußeren zu beurteilen.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nOch...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06フラン\nHey, Goldmary! Wie ist denn das Gericht mit\nden Äpfeln geworden, die wir neulich gepflückt\nhaben?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nLeider besser, als ich es mir je hätte erträumen\nkönnen...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEs hat nebenbei mein Leben ruiniert.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06フラン\nÄhm, was? Wie das denn?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch war so entzückt von der Speise, die ich\ndamit zubereitet hatte, dass ich ein fürchterlich\nunschickliches Gesicht gemacht habe.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06フラン\nÄh, das verstehe ich nicht. Dein Gesicht sieht\ndoch ganz normal aus, wenn du mich fragst.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJetzt ja, aber nicht in dem Moment... Und die\nLeute haben es nun mal gesehen. Es wird für\nimmer in ihrem Gedächtnis bleiben!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06フラン\nIch sehe immer noch nicht, wo das Problem\nliegt, aber gut...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nWie kannst du das nicht begreifen? Wann immer\ndiese Leute mich jetzt ansehen, werden sie mein\nunschickliches Gesicht vor Augen haben.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06フラン\nDas kann ich mir nicht wirklich vorstellen.\nFalls sie deinen, ähm, Gesichtsausdruck\nüberhaupt bemerkt haben.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06フラン\nEs klingt für mich allerdings, als könntest du\neine Pause gebrauchen. Hey, wie wär's mit\neinem Bad in einer heißen Quelle?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06フラン\nDas wäre schön entspannend, oder? Dann fühlst\ndu dich im Nu wieder ganz elegant.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNein! Das geht nicht!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06フラン\nWas? Wieso denn nicht?!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nWas, wenn jemand da ist, der meinen dummen\nGesichtsausdruck gesehen hat, und dann allen\ndavon erzählt?!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDas würde ich nicht überleben...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06フラン\nIch bin mir sicher, dass das nicht passieren\nwird, Goldmary. Hör mal, das ist echt nicht\ndas Ende der Welt, ja?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nWenn alle dort wüssten, wie lächerlich ich\nneulich ausgesehen habe, könnte ich nie\nwieder die heißen Quellen besuchen...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOb überhaupt jemand da ist, der mein Gesicht\nneulich gesehen hat, kann ich nur erfahren...\nwenn ich hingehe.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDas ist, als wollte man neue Kleidung kaufen...\nhätte aber nichts, was man für den Gang zum\nGeschäft anziehen kann...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06フラン\nAlso, ich... kann das wirklich nicht ganz nach-\nvollziehen, aber ich versichere dir, du musst dir\nkeine Sorgen machen. Bitte weine doch nicht.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cゴルドマリー\nWirst du... mir helfen, an meinem Auftreten zu\narbeiten, bis ich wieder graziös und anmutig\nbin?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06フラン\nÖhm...\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x08\x06フラン\nKlar, in Ordnung. Was immer dir hilft, dich\nwieder besser zu fühlen.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDanke, Framme.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nHallo, Framme. Fällt dir irgendetwas an mir auf?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nGanz richtig. Mein rechtmäßiger Platz in der\nWelt wurde wiederhergestellt. Ich bin endlich\nwieder der Inbegriff der Eleganz.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06フラン\nHey, das ist doch toll! Freut mich, dass sich\nunsere Anstrengungen gelohnt haben.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06フラン\nIch meine... auf mich wirkst du kein bisschen\nanders als sonst auch. Aber es freut mich, dass\ndu dich wieder gut fühlst.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDu kannst den Unterschied nicht erkennen?\nIch neige meinen Kopf um zehn Grad anstelle\nder ungehörigen fünfzehn.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06フラン\nÖhm... Toll!\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch muss dir von Herzen danken, Framme.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDu hast zu mir gestanden, selbst als mein Kopf\nauf solche Weise geneigt war, dass mich keiner\nmehr ernst nehmen konnte.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDu warst sogar für mich da, als ich Hilfe\nbrauchte, um genau den richtigen Gesichts-\nausdruck wieder einzustudieren.\x0E\x04\x00\x00
