MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nHallo, Clanne. Was hast du denn da?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06クラン\nOh, Milady Veyle. Ich lege gerade\nGewürzgurken ein.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ヴェイル\nEinlegen? Was soll das sein? Dieser Begriff\nist mir fremd.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06クラン\nBeim Einlegen macht man Fleisch oder Gemüse\nmithilfe von Essig länger haltbar. Und mit ein\npaar Gewürzen wird das Ganze so richtig lecker.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06クラン\nIch tüftele gerade an einem neuen Rezept.\nMöchtet Ihr vielleicht mal probieren?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ヴェイル\nOh ja, liebend gern!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ヴェイル\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06クラン\nMeine Gewürzgurken sind wirklich lecker,\nfindet Ihr nicht auch?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ヴェイル\nHmm. Der Geschmack ist aber recht... fade.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クラン\nWAS?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06クラン\nIch meine... Ähm... Findet Ihr wirklich?\nAlso wenn Ihr mich fragt, sind diese Gürkchen\nrichtig schön sauer geworden.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ヴェイル\nEs fehlt einfach das gewisse... Etwas.\nDu solltest eine Handvoll Chilischoten\nhinzufügen.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クラン\nMan kann doch keine Gewürzgurken mit\nChilischoten machen.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ヴェイル\nBist du sicher?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ヴェイル\nIch meine, ist das hier wirklich alles, was eine\nGewürzgurke sein kann?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06クラン\nHm?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ヴェイル\nWie willst du jemals ein neues Gewürzgurken-\nrezept entwerfen, wenn du dich bereits darauf\nfestgelegt hast, wie Gewürzgurken schmecken?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06クラン\nIch... Ja. Stimmt. Da habt Ihr wohl recht.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06クラン\nIch habe immer das gleiche Verfahren zum\nEinlegen verwendet, ohne es je zu hinterfragen.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06クラン\nAber wenn ich mich als Einlegespezialist\nverbessern will, muss ich wohl auch mal\netwas Neues ausprobieren.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06クラン\nMilady Veyle, Ihr habt mir die Augen geöffnet!\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08ヴェイル\nSo ist es richtig! Also dann, warum gibst du\nnicht ein paar scharfe Chilischoten zu deinen\nGewürzgurken dazu?\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x08\x06クラン\nIch denke, genau das werde ich machen!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nOh, hallo, Clanne. Hattest du schon eine\nGelegenheit dazu, die Gewürzgurken mit\nscharfen Chilischoten einzulegen?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クラン\nNun... ja? Die knallrote Farbe der Lake\nbeunruhigt mich nur ein bisschen.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ヴェイル\nAlles wird gut. Ich bin mir sicher, sie werden\ntotal lecker sein. Ich kann es kaum erwarten,\nsie zu probieren.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06クラン\nOh...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ヴェイル\nWas ist denn los? Du bist auf einmal so still.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06クラン\nMir ist nur gerade bewusst geworden, wie sehr\nIhr mich an meine Schwester erinnert.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ヴェイル\nDeine Schwester? Was hat dich auf den\nGedanken gebracht?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06クラン\nIhr meintet, dass alles gut würde, obwohl Ihr\ndas ja eigentlich gar nicht wissen könnt.\nMeine Schwester sagt so was auch ständig.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ヴェイル\nDas ist jetzt schon etwas unhöflich.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06クラン\nAh! Tut mir leid!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ヴェイル\nSchon gut.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ヴェイル\nDeine Schwester und du, ihr seid Zwillinge,\nrichtig?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クラン\nMm-hmm! Ich bin der Ältere.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ヴェイル\nIch frage mich, wie es wohl ist, Geschwister um\nsich zu haben.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06クラン\nWas genau meint Ihr?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ヴェイル\nIch meine, ich war von \x0E\x0A\x00>\x1Ameinem Bruder meiner Schwester so\nlange getrennt, dass ich nicht weiß, wie das ist.\nNicht wirklich.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ヴェイル\nUnd es ist schwer, die verlorene Zeit wieder\naufzuholen. Ich schätze, ich weiß nicht, wie man\nsich wie eine... Familie benimmt.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ヴェイル\nUm ehrlich zu sein, ich bin ein wenig neidisch\nauf dich. Du verbringst so viel Zeit mit deiner\nSchwester.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クラン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06クラン\nIch finde, eine Schwester zu haben ist wie...\nNa ja, Schwestern – und Brüder vermutlich\nauch – sind so wie Luft.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08ヴェイル\nWie meinst du das?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06クラン\nLuft hält man für selbstverständlich, doch\nhätte man keine mehr, würde sie einem fehlen.\nIch weiß nicht, ob das Sinn ergibt...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08ヴェイル\nJa, ich denke, ich verstehe.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08ヴェイル\nDas wäre ich auch gerne – eine Schwester,\ndie für jemanden so wichtig wie die Luft zum\nAtmen ist.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x08\x06クラン\nGenau das könnt Ihr doch sein.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x08\x06クラン\nFamilie bleibt Familie. Ganz gleich, wie weit\nentfernt voneinander ihr auch leben mögt,\nauch Ihr seid für jemanden lebenswichtig.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0A\x08ヴェイル\nDanke, Clanne. Es tat gut, das zu hören. Das\nhatte ich nötig.\x0E\x04\x00\x00
