MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08パンドロ\nAlso, Prinz Alcryst! Wie fandet Ihr denn Eure\nerste Party?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nスタルーク\nWie... Wie bin ich nur auf den Gedanken\ngekommen, dass das etwas für mich sei?!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パンドロ\nHm. Ich verstehe schon, warum so eine durch-\nfeierte Partynacht einen Neuling auf dem\nGebiet überfordern kann.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nスタルーク\nDie Musik war so laut! Jeder hat geschrien!\nUnd das Getanze... das GETANZE!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nスタルーク\nEs war wie eine Szene aus meinem schlimmsten\nAlbtraum. Ich hätte mich dir nicht anschließen\nsollen. Ich war noch nicht bereit dazu.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08パンドロ\nHahaha! Eben eine gute Zeit.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nスタルーク\nPandreo, bitte... Ich glaube nicht, dass ich das\nnoch einmal tun kann. Es tut mir leid, aber\nPartys sind nichts für mich.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08パンドロ\nHey, hey, seid mal nicht so vorschnell.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08パンドロ\nIch habe Euch am Rand stehen gesehen, wie Ihr\ndas Geschehen aus der Ferne beobachtet habt.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パンドロ\nUm wirklich zu wissen, wie es ist, müsst Ihr\nin das Geschehen eintauchen, Euch locker\nmachen, zusammen mit uns anderen.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08パンドロ\nNächstes Mal ziehe ich Euch ganz sicher mit in\ndie Menge.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nスタルーク\nNein, das kann ich nicht! Ich muss das ablehnen.\x0E\x04\x00\x00
