MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nAh, Rosado. Dies war schon immer unser\nSchicksal.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ロサード\nIch weiß. Es war vorherbestimmt.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ロサード\nGegen eine Freundin zu kämpfen, ist das Letzte,\nwas ich mir wünsche. Und doch können wir\nunserer Bestimmung nicht entkommen.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06メリン\nFürwahr. Uns bleibt keine Wahl, als dies hier\nund jetzt auszufechten, offen und ehrlich!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06メリン\nWohlan!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ロサード\nLässig gegen niedlich!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06メリン\nMöge der bessere Stil obsiegen!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ロサード\nDu bist eine hingebungsvolle Schülerin des\nLässig, und ich habe mein Leben dem Niedlich\nverschrieben.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06メリン\nEine Laune des Schicksals brachte uns\nzusammen, und nun liegt es an uns, zu\nentscheiden, welche Kraft die Stärkere ist.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06メリン\nDaher werden wir nun Folgendes tun.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06メリン\nDu bringst das niedlichste Objekt, das du finden\nkannst, und ich das lässigste. Dann – die große\nEnthüllung!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06メリン\nWir präsentieren einander diese Objekte, und\nwessen Herz stärker gefesselt ist... der verliert!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ロサード\nSo soll es sein. Ich bringe dir etwas, das so\nniedlich ist, dass dein Herz explodiert!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06メリン\nVersuch's ruhig. Welches unglaublich lässige\nObjekt auch immer ich bringen werde, es wird\ndir garantiert den Verstand sprengen!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ロサード\nDa dies nun geklärt ist, möge das Fesselturnier\nbeginnen!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nEin Duell, den überlegenen Stil zu finden.\nLässig oder niedlich, niedlich oder lässig...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06メリン\nEs GILT, Rosado. Bereit?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ロサード\nAber so was von. Jetzt kommt der Moment, in\ndem dein Herz auf ewig entrückt wird, Merrin.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06メリン\nGib es mir mit dem niedlichen Objekt, das du\ngefunden hast. Ich bin gewappnet!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ロサード\nLabe deine Augen... HIERAN!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06メリン\nWas ist das... Irgendeine Zeichnung?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ロサード\nOh, nein nein nein. Schau genauer hin.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ロサード\nDas ist eine maßstabsgetreue Zeichnung eines\nNordelusianischen Miniwollhasen.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06メリン\nWaaas? Nein!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06メリン\nDieser Nordelusianische Miniwollhase hier ist so\nwinzig und flauschig und sooo knuddelig.\nSchau nur!\x0E\x04\x00\x00
