MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nHa! Hyah! Hopp!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nシトリニカ\nAh...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nシトリニカ\nDas war schon etwas besser als gestern, aber\nnoch weit davon entfernt, als akzeptabel\ndurchzugehen.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x02\x08\x06ラピス\nCitrinne? Was machst du so spät noch?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nシトリニカ\nAaah!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nシトリニカ\nOh, Lapis. Du hast mir einen Schrecken\neingejagt.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nシトリニカ\nWenn du es unbedingt wissen willst, ich möchte\nmeine Fertigkeiten im Gesellschaftstanz\nverbessern.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ラピス\nHmm. Du bist keine gute Lügnerin. Ich konnte\nsehen, wie du Magie eingesetzt hast.\nTrainierst du hier etwa heimlich?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nシトリニカ\nDu hast mich erwischt.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06ラピス\nSich so spät noch anzustrengen, kann nicht\ngesund sein. Du solltest wirklich bald schlafen\ngehen.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nシトリニカ\nIch weiß deine Sorge zu schätzen, Lapis, aber\nich kann mir keine Pause gönnen.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ラピス\nKannst du nicht?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nシトリニカ\nBesäße ich deine Stärke, müsste ich wohl nicht\nbis nach Mitternacht trainieren.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nシトリニカ\nAber bei mir liegen die Dinge anders. Ich muss,\nmuss, muss stärker werden.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ラピス\nOh. Citrinne, das ist...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nシトリニカ\nBleib nicht meinetwegen auf. Ich verspreche,\nich ruhe mich gut aus, nachdem ich für heute\nNacht genug trainiert habe.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ラピス\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06ラピス\nBitte sei nicht zu hart zu dir, verstanden?\nNacht.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nシトリニカ\nGute Nacht, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x02\x08\x06ラピス\nAaah, ich liebe Päckchen von Mama und Papa.\nWas da wohl drin ist?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ラピス\nHihihi, ich habe es doch gewusst.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ラピス\nOooh, dieses Mal sind sie noch besser!\nDiese sehen extralecker aus. Mmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nLapis? Warum kicherst und singst du denn so?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ラピス\nAh! Citrinne?!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ラピス\nHast du mir einen Schrecken eingejagt. Schleich\ndich doch nicht im Dunkeln so an jemanden\nheran – mit so einer unheimlichen Mimik.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nシトリニカ\nHätte ich eine Maske tragen sollen? Ich\nbezweifle, dass das weniger furchteinflößend\ngewesen wäre.\x0E\x04\x00\x00
