MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, Ihr habt die köstlichsten Augen, die\nich jemals sah. Dieses leuchtet wie eine\nKirschtomate.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ボネ\nOh, und jenes erinnert an eine Blaubeere.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nÄhm, danke? Das... war als Kompliment\ngemeint, richtig?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04ボネ\nNatürlich.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ボネ\nTomaten und Blaubeeren zählen zu den\nwertvollsten Schätzen, die uns die Natur\nschenkt.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ボネ\nIch bin in den kulinarischen Traditionen aus\naller Welt versiert, daher stammt auch meine\nVorliebe für Speisemetaphern.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x06\x04ボネ\nAh... Wie inspirierend...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nIch verstehe, dass ein Koch die Welt um sich\nherum vor allem als Zutaten sieht.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nInsofern – danke!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ボネ\nNein, nein. Ich bin der, der Euch danken sollte.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ボネ\nDafür, dass mich Eure saftigen Tomaten- und\nBlaubeeraugen derart inspiriert haben.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nBunet, es ist beeindruckend, dass du über so\nviele Gerichte aus der ganzen Welt Bescheid\nweißt.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04ボネ\nIch habe noch viel zu lernen. Und die Inspiration\nschlägt stets unerwartet zu.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x06\x04ボネ\nIch will jede Geschmacksinspiration erfahren,\nneue Rezepte entwickeln und andere damit\nerfreuen.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nAh. Darauf freue ich mich schon.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x06\x04ボネ\nEin Koch muss stets für eine kulinarische Reise\nbereit sein, wohin auch immer sie ihn führen\nmag.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nHm... Was ist das für ein Geruch?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nIch rieche nichts.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04ボネ\nIhr seid das. Ihr verströmt einen Duft, den ich\nnicht zuordnen kann.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nAch, das. Ich habe mich beim Mittagessen\nmit etwas Soße bekleckert.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\nEs war so wenig, dass ich dachte, niemand\nwürde es bemerken. Tut mir leid. Ich ziehe mich\nschnell um.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x06\x04ボネ\nNein, nein. Bitte, gestattet mir, mich von diesem\nmysteriösen Duft inspirieren zu lassen.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nOh!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04ボネ\nEs muss von einem Gericht stammen, das mir\nnicht bekannt ist.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04ボネ\nDarf ich einmal kurz daran lecken? So kann\nich den Geschmack vollständig erfahren.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nDu willst die Soße kosten? Von... meiner\nKleidung?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nOh, ich hab's. Warum reden wir nicht einfach\nkurz mit der Person, die heute Essensdienst\nhat?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x06\x04ボネ\nSo lange kann ich nicht warten. Das ist meine\nkulinarische Neugier, wisst Ihr?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nTrotzdem. Von meiner Kleidung?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x06\x04ボネ\nIch sinniere über das Kochen, über Zutaten und\nGeschmäcker, so lange ich zurückdenken kann.\x0E\x04\x00\x00
