MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x00\x0C\x06フラン\x021
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06フラン\nDas Oberteil ist ja mal übertrieben süß.\nOh, und der rote Rock erst! Tooodschick!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06フラン\nOh nein. Schmuck gibt es hier auch noch?\nLebe wohl, mein Geld. Schön, dich gekannt\nzu haben.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nミスティラ\nDa sagst du was. Ich muss mich jedes Mal\nbeherrschen, nicht einfach den ganzen Laden\nleerzukaufen.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06フラン\nPrinzessin Timerra! Was macht Ihr denn hier?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nミスティラ\nEinkaufen. Warum? Ist das komisch?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06フラン\nOh, äh, nein! Ich hatte nur angenommen, dass\nIhr Eure Leute für so was habt.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nミスティラ\nIch gehe gerne allein einkaufen. Inkognito.\nSo kann ich die Kleidung gleich anprobieren\nund schauen, ob sie passt.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06フラン\nDas ist ja großartig. Fast, als wärt Ihr eine echte\nPerson.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nミスティラ\nHahaha! Das nehme ich mal als Kompliment.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nミスティラ\nAber ich muss schon sagen, Framme, du hast\necht Stil.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nミスティラ\nDeine Farbpalette ist elegant und doch ein\nBlickfang. Die Bänder fügen noch einmal\nzusätzlichen Flair hinzu.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nミスティラ\nUnd meine Güte, dein schicker Rock!\nDas ist absolut und unverkennbar dein Stil.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06フラン\nMeint Ihr wirklich? Ich fühle mich geehrt!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06フラン\nIch habe in dieses Outfit viel Zeit investiert.\nAlles passend zusammenzustellen war eine\nlangwierige Aufgabe.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nミスティラ\nGlaub mir, ich kenne das. Es ist nicht leicht, die\nrichtige Balance zwischen Ästhetik und\nPragmatik zu finden.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06フラン\nExakt! Ich will etwas, das praktisch ist, aber\ngleichzeitig süß wie sonst was. Ist das denn\nzu viel verlangt?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nミスティラ\nHahaha, jetzt sprichst du meine Sprache.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06フラン\nIch kann nicht glauben, dass ich mich mit\nPrinzessin Timerra über Mode unterhalte.\nEin Traum wird wahr!\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nミスティラ\nHey, Ich habe eine Idee. Möchtest du mir\nnächstes Mal ein paar Anziehsachen aussuchen?\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06フラン\nWirklich? Wirklich? WIRKLICH???\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0C\nミスティラ\nWirklich. Und ich suche was Schönes für dich\nraus. Wir machen uns richtig schick!\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x08\x06フラン\nDas klingt nach Spaß!\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x0C\nミスティラ\nDann sind wir uns einig!\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x08\x06フラン\nIch kann es kaum erwarten, das perfekte Outfit\nfür Euch zusammenzustellen.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x10\nミスティラ\x022
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nミスティラ\n♪ Schicke Sachen für uns zwei, machen frisch\nund fesch und frei... ♪\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06フラン\nDas ist ein fröhliches Lied, Prinzessin Timerra!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nミスティラ\nIch bin ja auch fröhlich. Zur Abwechslung für\njemand anderen die Kleidung auszusuchen\nmacht so viel Spaß!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nミスティラ\nHast du dein Kleid schon ausgesucht?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06フラン\nJup. Fertig und bereit.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nミスティラ\nIch auch. Dann ohne weitere Umschweife...\nZeig mir, was du ausgesucht hast.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06フラン\nSchaut Euch das mal an. Handverlesen, extra\nfür Euch... dieses süße Schnürchenkleid!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nミスティラ\nAaah! Das ist wunderschön!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06フラン\nIch wusste, es würde Euch gefallen. Fühlt nur\ndiesen Stoff. So robust und kräftig.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nミスティラ\nOh, äh. Ist er das?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06フラン\nJup. All Eure Kleidung ist immer so leicht,\nda dachte ich, Ihr braucht einfach mal was\nWärmeres.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nミスティラ\nWie, ähm, fürsorglich von dir...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06フラン\nWas ist?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nミスティラ\nHm? Oh, tut mir leid. Es gefällt mir gut,\nFramme.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nミスティラ\nWollen wir jetzt schauen, was ich für dich\ngefunden habe? Ta-da. Eine blutrote Robe!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06フラン\nIst die süüüß!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nミスティラ\nNicht wahr? Mit meinen glitzernden Accessoires\nkommt die besondere Farbe der Robe noch mal\nrichtig zur Geltung.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06フラン\nIch liebe sie. Das ist genau meine Farbe.\nSo schön, und dann auch noch atmungsaktiv.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nミスティラ\nHahaha, nicht wahr? Ich dachte mir, etwas\nHübsches und Lockeres würde zu dir passen.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nミスティラ\nMoment. Oh nein!\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06フラン\nWas ist los?\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nミスティラ\nMir ist nur gerade eingefallen, dass ich weg\nmuss. Prinzessinnenangelegenheiten.\nDu weißt, wie das ist.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nミスティラ\nTut mir leid, Framme. Wir holen das nach,\nversprochen!\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x01\x0C\nミスティラ\n\x0E\x03\x02\x08\x06フラン\nHm... Das war jetzt plötzlich.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x08\x06フラン\nIrgendetwas hat hier nicht gestimmt.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x08\x06フラン\nVielleicht hat ihr das Kleid nicht gefallen,\ndas ich ihr ausgesucht habe...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x02\x08\x06フラン\nIch verstehe es einfach nicht.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06フラン\nWarum ist sie so plötzlich weggelaufen?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nHepp! Aaah...\nHepp! Aaah...
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06フラン\nPrinzessin Timerra?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nミスティラ\nHa... ha... Puh, ich muss stärker werden!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06フラン\nEs sieht aus, als würdet Ihr trainieren!\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nミスティラ\nJa! Ich muss stark sein, um mein Land zu\nverteidigen!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nミスティラ\nOh. Äh...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nミスティラ\nTut mir wirklich leid, dass ich neulich so\nabgezischt bin.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06フラン\nNein, schon in Ordnung. Bestimmt hattet Ihr\nwichtige Prinzessinnenpflichten, um die Ihr\nEuch kümmern musstet.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nミスティラ\nIch war so auf die Kleidungssuche für dich\nkonzentriert, dass ich meine Trainingszeit\nganz vergessen hab.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06フラン\nDas war alles?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06フラン\nIch dachte, dass... nun ja, dass Ihr das Outfit\nnicht mochtet, das ich für Euch ausgewählt\nhabe.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nミスティラ\nNein, nein. Es war total modisch!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06フラン\nAber... warum klang es dann von Euch so, als\nwäre damit etwas nicht in Ordnung?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nミスティラ\nÄhm... Gut. Aber versteh das bitte nicht falsch.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nミスティラ\nDas Königinreich Solm? Es ist heiß. Sehr heiß.\nIn diesem schweren Stoff würde ich keine\nViertelstunde durchhalten.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nミスティラ\nAußerdem brauche ich leichte, bewegliche\nKleidung, damit ich jederzeit kämpfen kann,\nfalls notwendig.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06フラン\nOooh! Das also war es.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nミスティラ\nDas Kleid war ehrlich gesagt schon sehr süß.\nTut mir leid, dass ich so... wischiwaschi\ngewesen bin.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06フラン\nNein, schon gut. Ich komme mir nur so dumm\nvor, weil ich nicht selbst daran gedacht habe.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06フラン\nDarf ich vielleicht... ein neues Outfit für Euch\naussuchen?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06フラン\nDiesmal natürlich eines, das für das brutzelnde\nsolmer Klima viel besser geeignet ist.\x0E\x04\x00\x00
