MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0A\x08リュール\nAh! Ein Verzerrter!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nEin Verzerrter? Wo?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nDiamant! Hilfe!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nHyah!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\nHabt Dank für die Rettung, Diamant.\nEs tut mir leid, Euch so eine Mühe zu machen.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nDas war doch keine Mühe. Dennoch muss ich\nEuch fragen...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nWie konnte diese Kreatur es schaffen, \x0E\x0A\x00\x10\x06den\x06die\n\x0E\x0A\x00*\x14Göttlichen\x12Göttliche zu überwältigen und zu ängstigen?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nSie kam aus dem Nichts! Ich fing einfach an zu\nrennen. Ich... komme mit Verzerrten einfach\nnicht klar.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nIhr kommt damit nicht klar? In der Schlacht\nkommt Ihr aber gut mit ihnen zurecht.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nAuf dem Schlachtfeld ist das auch eine andere\nSache. Ich sehe sie, und kann mich dann darauf\nvorbereiten, mit ihnen zu kämpfen.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nDieser Verzerrte hat mich überrumpelt.\nIch habe nicht aufgepasst.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nAußerhalb des Schlachtfeldes bin ich für sie\nein leichtes Ziel.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nHm. Ich kann Euch nicht ganz folgen.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nGibt es denn gar nichts, das Euch Schauer über\nden Rücken jagt, Diamant?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nIch glaube... haarige Raupen könnten diese\nWirkung auf mich haben.\x0E\x04\x00\x00
