MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nWar das Mahl zu Eurer Zufriedenheit,\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nOh ja, es war köstlich. Vielen Dank dafür.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nKönntet Ihr mir bitte in die Augen sehen?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nÄh, klar?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPerfekt. Seht mich weiter an.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIhr habt so einen eindringlichen Blick... Sagt mir,\nwas Ihr in diesem Moment empfindet.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nHmmm... Nicht viel eigentlich...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nHabe ich Euer Herz wirklich so wenig zum\nKlopfen gebracht?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nLasst mich die Frage erneut stellen. Diesmal\nflüstere ich sie Euch ins Ohr.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nHat Euch das gemeinsame Essen mit mir heute\nirgendwelche Gefühle der Erfüllung gebracht?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nOh, aber natürlich.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nWusste ich es doch. Das macht mich froh.\nSchildert mir diese Gefühle doch bitte genauer.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nNa ja... Ich fühle mich so erfüllt, dass ich keinen\nweiteren Bissen mehr runterkriege. Ich würde\nwirklich gerne das Rezept dafür wissen.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMein... Rezept.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDas war nicht gerade, was ich im Sinn hatte...\nAber wenn es das ist, was Ihr wollt, so werde\nich es Euch beibringen.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nGoldmary! Ist alles in Ordnung?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOh, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche... Hat der Klang meiner\nleiderfüllten Seele endlich Eure Aufmerksamkeit\nerregt? Ich bin so froh...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nWas ist denn los? Rede mit mir. Ich bin hier,\num dir zu helfen.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEs ist nur so... Ich kann kaum noch\nbezaubernder sein...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nÄh, was?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAlle sagen immer, ich wäre die beliebteste Frau\nin der ganzen Welt...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDoch da Ihr meinem Charme gegenüber immun\nseid, kann das nur heißen, dass es nicht stimmt.\nMein Selbstvertrauen liegt in Scherben...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nUnd so stehe ich nun hier... mit Tränen, die\nfließen wie zwei Flüsse voller glitzernder\nDiamanten...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nÄh, sieh mal...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nEs tut mir leid, wenn ich deine Gefühle\nirgendwie verletzt habe. Das war nicht meine\nAbsicht.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNein, bitte entschuldigt Euch nicht. Bitte sagt\nmir einfach nur, was ich tun kann, um Eure\nZuneigung zu gewinnen.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nDu musst nichts Besonderes tun. Ich finde dich\nbereits äußerst charmant.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nWirklich? Ihr findet mich charmant?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nNatürlich. Und nicht nur ich, weißt du. Alle\nlieben dich.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nDu musst dich deswegen also nicht so unnötig\nunter Druck setzen, in Ordnung?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nWAAAH!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\nWas ist denn jetzt los?!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNichts, nichts... Ich bin bloß so erleichtert.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDanke... Als Zeichen meiner Anerkennung dürft\nIhr meine perfekten Tränen noch etwas länger\nbewundern.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リュール\nÄhm, gut. Danke...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, ich muss mich für mein Betragen\nbei unserer letzten Unterhaltung entschuldigen.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch war so von meiner Freude überwältigt,\ndass ich Euch dazu brachte, an meiner Seite\nzu bleiben, bis ich nicht mehr weinen musste.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nDas ist schon in Ordnung. Ich bin einfach nur\nfroh zu sehen, dass es dir besser geht.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nHinterher wurde mir klar, dass Ihr das sicher\nalles besser einordnen könntet, wenn ich Euch\nvon meiner Kindheit erzähle.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nOh. Wie war deine Kindheit denn?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSchon als ich noch klein war, haben mich alle\nimmer verhätschelt. So sehr sogar, dass es im\nGrunde alles war, was ich kannte.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIn Elusia muss man allerdings ab einem\nbestimmten Alter sein Zuhause verlassen\nund die Akademie besuchen.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDas war das erste Mal in meinem Leben, dass\nich Konkurrenz hatte. Andere waren beliebter\nals ich. Ich war am Boden zerstört.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch begann zu verstehen, dass manche Leute\nbesser sind als ich. Das brachte mich dazu, alles\nzu hinterfragen.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nDas muss schwer gewesen sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSeitdem bin ich ein wenig zur Perfektionistin\ngeworden. Es frustriert mich, sobald ich in\netwas nicht die Beste bin.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDoch dann habt Ihr gesagt, Ihr fändet mich\ncharmant.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nUnd dabei bleibe ich auch. Irgendwie schaffst\ndu es, immer bezaubernd auszusehen – selbst\nauf dem Schlachtfeld.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch danke Euch. In dem Moment, da Ihr diese\nWortet von Euch gabt, spürte ich, wie mein\nSelbstvertrauen zu mir zurückkehrte.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\nSind das nun Tränen... der Freude?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\nErkennt Ihr das nicht selbst... wo diese Tränen\ndoch auf meinen Wangen glitzern wie der\nMorgentau?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEs tut mir leid, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche... In mir stecken solch\nstarke Gefühle, es wäre ein Verbrechen, mich\nzurückzuhalten.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nBewundert einfach diese meine Pracht...\nnach Herzenslust...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nIch werde an deiner Seite bleiben, bis du fertig\nbist.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nDanke, dass Ihr Euch mit mir trefft, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\nIch habe mir erlaubt, einen Tisch für Euch zu\ndecken.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nDas ist ja unglaublich. Hast du all das für mich\nzubereitet?\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAllerdings. Ich muss jedoch zugeben, dass\ndie Präsentation für meine Verhältnisse recht\nplump ist.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIhr mögt Euch fragen, warum ich es auf mich\ngenommen habe, so ein unspektakuläres\nGericht zuzubereiten.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAber dieses Gericht hat einen besonderen\nPlatz in meinem Herzen.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIn diesem Sinn ist es ein Ausdruck meiner\ntiefsten Persönlichkeit, dass ich es für Euch\nzubereitet habe.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nDanke. Das bedeutet mir viel.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch bin ja so froh.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, mit Verlaub...\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch möchte Euch etwas sagen.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nWas denn?\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nBisher habe ich immer versucht, es so aussehen\nzu lassen, als hättet Ihr Gefühle für mich.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAber damit ist jetzt Schluss. Dank Euch bin ich\nnun selbstsicher genug, zu sagen, was ich fühle.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch verliebe mich in Euch, \x0E\x06\x03\x00.\nJeden Tag mehr.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nTatsächlich?\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nBitte sagt mir, dass Ihr dies erwidert.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\nBitte sagt mir, dass Ihr denkt, ich sei die\nperfekte Partnerin für Euch.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nPerfekt?\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nHahaha, sogar jetzt bist du eine echte\nPerfektionistin. Das ist reizend, muss ich sagen.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nVergib mir, dass ich etwas sprachlos bin,\nGoldmary. Ich bin einfach überrascht.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nAber ich könnte mir keine perfektere Partnerin\nals dich vorstellen. Daher möchte ich, dass du\ndies hier annimmst.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDer Paktring... Ich fühle mich, als würde ich\nträumen.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nNein, du träumst nicht. Probiere ihn an.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOh, seht nur! Er passt perfekt! Und er ist auch\ngenau das Richtige für diese eleganten Hände.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nIch könnte es nicht besser ausdrücken.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDas ist lieb von Euch. Nun, setzen wir uns und\nessen wir? Es wäre schade, wenn es kalt wird.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nGute Idee. Tun wir das.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch fühle mich, als müsste ich mich bei allen\nanderen entschuldigen. Niemandem sonst ist\nso viel Glück vergönnt wie mir.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0E\x0Cゴルドマリー\nGenau genommen sollten wir darauf trinken.\nErheben wir das Glas.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAuf uns – beneidet von der ganzen Welt.\nAn Eurer Seite möchte ich den Rest meines\nLebens verbringen.\x0E\x04\x00\x00
