MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nHmm. Vielleicht geh ich die Sache ganz falsch\nan.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nWas bringt dich denn so ins Grübeln, Anna?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06アンナ\nBitte, einfach nur Lady Anna genügt! Aber um\ndeine Frage zu beantworten: Ich versuche, Ideen\nfür neue Produkte zu finden.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nDu willst also wieder neue Sachen verkaufen?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06アンナ\nJepp. Kennst du den Tag der Liebenden?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リュール\nIch habe schon mal davon gehört, glaube ich.\nDas ist doch der Tag, an dem Paare sich\ngegenseitig Geschenke machen, richtig?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06アンナ\nGenau der.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06アンナ\nNormalerweise schenken die Leute sich dann\neinfach Blumen, aber dasselbe alte Geschenk\nJahr für Jahr... das ist doch irgendwann öde.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06アンナ\nDaher bin ich darauf aus, ein spektakuläres\nProdukt zu vermarkten, das dem Tag der\nLiebenden neues Feuer einhaucht!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nOh, das ist aber ein ziemlich hohes Ziel!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06アンナ\nHör auf, mich wie ein Kind zu behandeln, und\nhilf mir lieber mal, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06アンナ\nKeine meiner eigenen Ideen hat mich bisher\nüberzeugt, also könnten ein paar fremde\nVorschläge nicht schaden.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nHmm. Wollen wir mal sehen. Etwas ganz Neues\nfür den Tag der Liebenden...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nWie wäre es denn mit Halsketten?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06アンナ\nHahaha. Wie ich sehe, bist du in etwa so ein-\nfallsreich wie der durchschnittliche Schenker\nam Tag der Liebenden.\x0E\x04\x00\x00
