MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nIch muss dir danken, Jean.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ジャン\nPrinzessin Céline? Wofür dankt Ihr mir?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08セリーヌ\nDer Tee, der in deinem Heimatdorf angebaut\nwird, ist mit Abstand meine Lieblingssorte.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08セリーヌ\nJeder einzelne Schluck erfüllt mich mit Freude.\nDaher hielt ich es für angemessen, dir zu\ndanken.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06ジャン\nAh. In diesem Fall sollte ich Euch ebenfalls\ndanken.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ジャン\nMeine Mutter wird ganz aus dem Häuschen sein,\nwenn sie hört, dass er Euch so schmeckt.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08セリーヌ\nDeine Mutter?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ジャン\nSie arbeitet daheim in einem Teeladen.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ジャン\nEuer Tee wurde sicherlich aus Blättern gemacht,\ndie meine Mutter verarbeitet hat.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08セリーヌ\nIch verstehe. Dann richte ihr bitte meinen Dank\naus.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ジャン\nDas werde ich. Ein Lob von Eurer Hoheit würde\nmeine Mutter ihr Leben lang mit Stolz erfüllen.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08セリーヌ\nMöchtest du mir gerne einmal bei der Teestunde\nGesellschaft leisten?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セリーヌ\nWir können die Blätter aus deiner Heimat\naufbrühen und unsere Tassen auf das Wohl\ndeiner Mutter erheben.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ジャン\nOh! Ich hab nix getan, um eine solche\nEinladung zu verdienen, aber ich bin sehr\ndankbar dafür.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ジャン\nIch freu mich schon sehr darauf!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08セリーヌ\nIch ebenfalls. Du wirst zu gegebener Zeit von\nmir hören.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nHallo, Jean.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ジャン\nHallo, Prinzessin Céline!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08セリーヌ\nOh, ist das ein medizinischer Text? Ich hoffe,\nich unterbreche nicht gerade dein Studium.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06ジャン\nKeine Sorge. Ich les das nur, um ein guter Arzt\nzu werden.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08セリーヌ\nWie vorbildlich. Dann eben ein anderes Mal.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ジャン\nHmm? Oh, Ihr meint die Teestunde?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08セリーヌ\nJa. Soeben traf eine Teelieferung aus deiner\nHeimat ein, und ich wollte fragen, ob es dir\nheute passen würde.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08セリーヌ\nAber dein Studium ist natürlich wichtiger.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ジャン\nTut mir leid. Aber danke, dass Ihr an mich\ngedacht habt!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08セリーヌ\nDie Teestunde ist nur verschoben, nicht\ngestrichen, mein Guter. Unsere Vorfreude wird\nsie umso mehr versüßen.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ジャン\nDer Tee aus meinem Heimatdorf muss ja\nwirklich fantastisch sein.\x0E\x04\x00\x00
