MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x02\x0A\x08ヴェイル\nHier drüben! Das Dämonendrachensiegel ist\nganz in der Nähe.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08リュール\nEin Glück, dass du erkennen kannst, wo sie\nsind, Veyle. Ich selbst kann sie nicht spüren.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08ヴェイル\nWarte. Da ist jemand. Das sind doch...\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x0A\x08リュール\nJa. Zephia und Griss!\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0A\x08リュール\nSie bewachen anscheinend das Drachensiegel.\nSchaffst du das?\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x0A\x08ヴェイル\nWenn ich Papa aufhalten will, dann komme ich\nnicht darum herum.\x0E\x04\x02\x00
MID_OP1_#008	Früher oder später werde ich mich ihnen stellen\nmüssen. Gehen wir.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x0A\x08リュール\nAlso gut.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nZephia. Griss.\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x00\x0A\x04グリ\x023\n\x0E\x03\x00\x0C\x06セピア\x021\n\x0E\x03\x02\x08\x06セピア\nMilady! Wir haben Eure Ankunft erwartet.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x08\x06セピア\nOh, ich sehe schon... Ihr seid es.\x0E\x04\x02\x00
MID_OP2_#005	Das sieht ja fast so aus, als gäbe es die andere\nVeyle nicht mehr. Ist sie... tot?\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x0A\x08ヴェイル\nSo ist es.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x06\x04グリ\nIhr habt Euch also wieder hineingewanzt, hm?\nIch hätte nie gedacht, dass Ihr Euch durchsetzt,\nFehlgriff.\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x00\x0E\x08リュール\x024\n\x0E\x03\x02\x0A\x08リュール\nHör auf, sie so zu nennen. Niemand darf je\nwieder so über Veyle reden.\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x08\x06セピア\nDu?!\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x06\x04グリ\nHey! Whoa! Was ist denn hier los? Warst du\nnicht tot?\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x0A\x08リュール\nIch wurde durch die Macht aller Emblem-Ringe\nselbst zum Emblem, damit ich diese Welt retten\nkann.\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x0A\x08ヴェイル\nWir sind hier, um Papa aufzuhalten. Und ihr\nbeide macht jetzt bitte den Weg frei.\x0E\x04\x00\x00
MID_OP2_#013	\x0E\x03\x02\x08\x06セピア\nUm Euch durchzulassen? Wohl kaum. Lord\nSombron öffnet das Portal zu anderen Welten.\x0E\x04\x02\x00
MID_OP2_#014	Unser Auftrag lautet, das Siegel zu beschützen.\nUnd davon lassen wir uns nicht einmal von\nunserer Milady Veyle abbringen.\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x0A\x08ヴェイル\nDann hoffe ich, ihr seid bereit zu sterben.\x0E\x04\x00\x00
MID_OP2_#016	\x0E\x03\x02\x08\x06セピア\nIhr wollt uns töten, Milady Veyle? Oh, welch\ntraurige Wendung.\x0E\x04\x02\x00
MID_OP2_#017	Und dass, nachdem ich Euch verwöhnt habe,\nEuch umsorgt habe, als wärt Ihr mein eigenes\nKind.\x0E\x04\x00\x00
MID_OP2_#018	\x0E\x03\x02\x0A\x08ヴェイル\nFrüher hat es mich glücklich gemacht, wenn du\nsolche Sachen gesagt hast. Aber jetzt weiß ich,\ndass das alles Lügen waren.\x0E\x04\x02\x00
MID_OP2_#019	Ihr seid einfach nur zwei Handlanger von Papa.\nFeinde, dich ich besiegen muss. Mehr nicht.\x0E\x04\x00\x00
MID_OP2_#020	\x0E\x03\x02\x06\x04グリ\nWarum nur wir? Wir waren zu viert.\x0E\x04\x00\x00
MID_OP2_#021	\x0E\x03\x02\x0A\x08ヴェイル\nMauvier war mein Ritter. Marni auch.\x0E\x04\x02\x00
MID_OP2_#022	Mir wurde gesagt, dass sie... starb, um mich zu\nbeschützen.\x0E\x04\x02\x00
MID_OP2_#023	Warum musstest du sie umbringen? Ich konnte\nihr nicht mal Lebewohl sagen.\x0E\x04\x00\x00
MID_OP2_#024	\x0E\x03\x02\x08\x06セピア\nIch habe Marni in meine Familie aufgenommen.\nIch habe mich um sie gesorgt. Und was war\nmein Dank? Verrat.\x0E\x04\x00\x00
MID_OP2_#025	\x0E\x03\x02\x0A\x08ヴェイル\nWie kannst du die Vier Bluthunde deine Familie\nnennen? Du warst so brutal zu ihnen...\x0E\x04\x00\x00
MID_OP2_#026	\x0E\x03\x02\x08\x06セピア\nWeil ich sie geliebt habe. Wenn Kinder vom\nrechten Weg abkommen, verdienen sie eine\nStrafe – oder manchmal auch Schlimmeres.\x0E\x04\x00\x00
MID_OP2_#027	\x0E\x03\x02\x0A\x08リュール\nWahre Liebe ist etwas anderes.\x0E\x04\x00\x00
MID_OP2_#028	\x0E\x03\x02\x08\x06セピア\nAch ja? Dann weiß ich vielleicht einfach nicht,\nwas „wahre Liebe“ ist.\x0E\x04\x02\x00
MID_OP2_#029	Ich weiß, was ich fühle und was ich denke.\nDas ist alles, was für mich zählt.\x0E\x04\x02\x00
MID_OP2_#030	Aber wir werden uns nie verstehen – in tausend\nJahren nicht.\x0E\x04\x02\x00
MID_OP2_#031	Ich diene Lord Sombron.\x0E\x04\x02\x00
MID_OP2_#032	Das tue ich seit sehr langer Zeit. Ich gebe ihm,\nwas auch immer er braucht.\x0E\x04\x00\x00
MID_OP2_#033	\x0E\x03\x02\x06\x04グリ\nIch hab nicht vor, die Seiten zu wechseln. Auch\nnicht, wenn wir verlieren. Klar?\x0E\x04\x00\x00
MID_OP2_#034	\x0E\x03\x02\x0A\x08ヴェイル\nVerstehe. Dann ist dies wohl unser Abschied.\x0E\x04\x02\x00
MID_OP2_#035	So leid es mir tut, wir werden wohl gegen sie\nkämpfen müssen.\x0E\x04\x00\x00
MID_OP2_#036	\x0E\x03\x02\x0A\x08リュール\nBist du sicher?\x0E\x04\x00\x00
MID_OP2_#037	\x0E\x03\x02\x0A\x08ヴェイル\nSie zeigen keine Einsicht. Wenn sie sich nur\nzurückziehen würden, dann könnten wir sie\nverschonen... Aber sie wollen kämpfen.\x0E\x04\x02\x00
MID_OP2_#038	Wir müssen Papa aufhalten. Und dafür muss ich\nmich von diesen beiden trennen. Es wird wohl\nwirklich langsam Zeit.\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x02t\n\x0E\x05\x01\x16\x08ヴェイル\nAngry\n\x0E\x03\x02\x0A\x08ヴェイル\nWir müssen Zephia und Griss besiegen. Dann\nkönnen wir das Siegel brechen.\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nWas war das?!\x0E\x04\x00\x00
MID_EV2_#002	\x0E\x03\x00\x0E\x08ヴェイル\x02b\n\x0E\x05\x01\x16\x08ヴェイル\nAngry\n\x0E\x03\x02\x0A\x08ヴェイル\nDas müssen die beiden gewesen sein.\x0E\x04\x02\x00
MID_EV2_#003	Sie können das Drachensiegel nutzen, um\nanzugreifen. Und wahrscheinlich werden sie\nes wieder tun...\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M023_セピア\x02b\n\x0E\x05\x01\x1E\x10M023_セピア\nAngry\n\x0E\x03\x02\x12\x10M023_セピア\nRückzug ist keine Option. Ich werde das Siegel\nbeschützen – wenn es sein muss, mit meinem\nLeben.\x0E\x04\x00\x00
