MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0A\x08リュール\nWerdet Ihr mir helfen, den Frieden in diese Welt\nzurückzubringen, so schnell wir können?\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x08\x06セリカ\nSicher werde ich das. Ich werde nicht rasten\nund nicht ruhen, bis dieses Ziel erreicht ist.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0A\x08リュール\nWas tut Ihr da, Celica?\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x08\x06セリカ\nIch bringe Mila ein Gebet dar. Wenn Ihr\nwünscht, könnt Ihr gerne mitmachen.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nDas Mal auf meiner rechten Hand ist ein\nZeichen meiner königlichen Abstammung von\nZofia.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nEs wirkt schlicht, aber hübsch.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x08\x06セリカ\nIch verspüre gemischte Gefühle dafür, aber wir\nstehen einander nahe genug, dass ich es\nEuch zeigen wollte.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nDanke, dass Ihr es mir gezeigt habt. Ich werde\nmein Bestes geben, um mich Eures Vertrauens\nals würdig zu erweisen.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nIch gebe zu, dass ich in all den Jahren nie\ngedacht hätte, dass ich eines Tages an der\nSeite von Emblemen kämpfen würde.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x08\x06セリカ\nEs ist in der Tat erstaunlich, wie unser Leben\neinem Pfad folgt, dessen wir uns zuerst nicht\ngewahr werden.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nEines Tages würde ich gerne Blumen an\nLumeras Grab legen. Würdet Ihr mir\ndabei helfen, Vander?\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nAber natürlich. Eure Geste wird Königin Lumera\nsicherlich gefallen.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nWas tut Ihr da, Vander?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nOh! Nun, Ihr habt einen alten Mann bei seinem\nZeitvertreib, dem Stricken, ertappt.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x08\x06セリカ\nIch finde es faszinierend, wie flink Eure Hände\narbeiten. Dürfte ich Euch weiterhin zusehen?\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nSehr gerne doch. Seht mir zu, solang es Euch\nbeliebt!\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nClanne, warum bist du denn so weit weg?\nKomm doch zu mir und wir reden ein wenig!\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nAaaah! Ich? Mit Milady Celica sprechen?\nAllein?! Ich glaube, ich falle in Ohnmacht...\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nClanne, was befindet sich eigentlich in dem\nGlas, das du stets mit dir herumträgst?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06クラン\nEingelegte Gurken! Ich liebe sie! Ich esse sie\nbesonders gerne zum Frühstück, weil sie mich\nso schön wach machen!\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06クラン\nIhr seid so freundlich und herzlich und\nzuverlässig noch dazu. Fast wie eine große\nSchwester!\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06セリカ\nHihihi! Eine „große Schwester“?\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クラン\nOh nein! Habe ich das etwas laut gesagt?\nOh nein...\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06セリカ\nKein Grund zur Sorge! Ich freue mich, einen\nkleinen Bruder zu haben. So macht die\nZusammenarbeit gleich viel mehr Spaß.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06フラン\nIch habe so viele Fragen an Euch! Welche ist\nEure Leibspeise? Eure Lieblingsfarbe? Eure...\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06セリカ\nHahaha, beruhige dich, Framme. Ich beantworte\ndir gerne jede deiner Fragen, aber nur eine nach\nder anderen!\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06フラン\nMilady Celica! Heute durfte ich mit \x0E\x0A\x00\x10\x06dem\x06der\nGöttlichen trainieren!\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06セリカ\nDu verehrst \x0E\x0A\x00:\x1Cden Göttlichen\x1Adie Göttliche ja wirklich sehr.\nZu sehen, wie glücklich dich das macht, macht\nauch mich glücklich.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06フラン\nÄhm, Milady Celica? Was muss ich tun, um so\nelegant wie Ihr zu sein?\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x08\x06セリカ\nDas ist sehr freundlich von dir, Framme. Ich\nfinde jedoch, du bist liebenswert, so wie du bist.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06フラン\nDas bin ich leider gar nicht! Alle sind verärgert\nmit mir, weil ich so unbeholfen und unkultiviert\nbin.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06セリカ\nAber nein, Framme, alle lieben dich, weil du so\nvoller Energie bist! Bleib einfach dein wunder-\nbares Selbst.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nWer hätte gedacht, dass der Ring unseres\nKönigreichs solch ein vertrauenswürdiges\nEmblem beinhaltet? Schön, Euch zu treffen.\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x08\x06セリカ\nEbenfalls, Alfred. Unser beider Anstrengungen\nwerden benötigt, um der Welt wieder Frieden\nzu geben.\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nAlfred, die Sonne ist kaum aufgegangen. Warum\nseid Ihr so früh schon wach?\x0E\x04\x00\x00
