MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\nPrinzessin Céline, darf ich Euch eine Frage\nstellen?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08セリーヌ\nDas darfst du.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06モーヴ\nIst Euch ein Hügel in Firene bekannt, auf dem\nein einzelner Laubbaum steht?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08セリーヌ\nEin einzelner Laubbaum? Ich fürchte nein.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08セリーヌ\nWarum fragst du?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06モーヴ\nIch weiß nicht, ob Ihr Euch dessen bewusst\nseid, doch ich wurde in Firene geboren.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06モーヴ\nWährend meiner Kindheit ist meine Familie oft\nzu diesem Hügel gereist.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06モーヴ\nDer Name der Region ist mir nicht bekannt,\ndoch an die Schönheit dieser Landschaft werde\nich mich stets erinnern.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06モーヴ\nIch wünsche diesen Ort erneut zu besuchen,\nwenn ich kann.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08セリーヌ\nGute Güte. Ich wusste ja gar nicht, dass du aus\nFirene stammst.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08セリーヌ\nAber du hast mir zu dem betreffenden Ort nur\nsehr vage Hinweise gegeben.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06モーヴ\nIch bitte um Vergebung. Erst jetzt begreife ich,\nwie wenige Informationen ich für die Suche zur\nVerfügung stellen kann.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06モーヴ\nIch habe an die Zeiten dort wundervolle\nErinnerungen. Manchmal kann ich sogar fast\ndie Luft dort riechen.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08セリーヌ\nDu bist diesem Ort emotional sehr verbunden,\nkann das sein?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08セリーヌ\nNun gut. Ich kann die Not eines befreundeten\ngebürtigen Fireners nicht so einfach ignorieren.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08セリーヌ\nIch werde tun, was in meiner Macht steht, um\ndir zu helfen.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08セリーヌ\nAls Prinzessin von Firene schwöre ich, diesen\nOrt deiner Erinnerung zu finden.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06モーヴ\nHabt Dank, Prinzessin Céline.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nIst es dieser Ort?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06モーヴ\nHm... Nein. Der ist mir nicht bekannt.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08セリーヌ\nUnd was ist mit diesem?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06モーヴ\nNein. Auch diese Landschaft kenne ich nicht.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08セリーヌ\nWie ärgerlich. Das waren alle Gemälde, die ich\nbesitze, die berühmte Landschaften in Firene\nzeigen.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08セリーヌ\nDoch keines von ihnen scheint den Ort\ndarzustellen, an den du dich mit solch schönen\nGefühlen erinnerst.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06モーヴ\nEs tut mir leid. Ihr habt Euch so viel Zeit\ngenommen, dies für mich zu bringen, und\ndoch weckt nichts davon Erinnerungen.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08セリーヌ\nGibt es denn irgendetwas anderes an diesem\nOrt, abgesehen von der Landschaft, woran du\ndich erinnern kannst?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06モーヴ\nHm...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06モーヴ\nJa, ich erinnere mich.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06モーヴ\nFleischpasteten. Die hat meine Mutter immer\ngemacht.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06モーヴ\nMeine Eltern und ich haben unter dem\nLaubbaum immer gepicknickt und die\nLandschaft genossen.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06モーヴ\nDie Pasteten waren wunderbar!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08セリーヌ\nHihihi, was für eine schöne Erinnerung.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06モーヴ\nEs tut mir leid. Ich weiß, dass nichts in dieser\nGeschichte dazu beiträgt, diesen Ort\naufzuspüren, den ich suche.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08セリーヌ\nSchon gut. Es muss eine glückliche Zeit für dich\ngewesen sein.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06モーヴ\nOh. Ich glaube, ich verstehe jetzt.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06モーヴ\nAll diese Zeit...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08セリーヌ\nMauvier? Stimmt irgendetwas nicht?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06モーヴ\nPrinzessin Céline. Ihr wart mir eine enorm große\nHilfe.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06モーヴ\nIch habe alle Informationen, die ich brauche.\nHabt nochmals Dank.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x01\x08\x06モーヴ\n\x0E\x03\x02\x0A\x08セリーヌ\nAh, Mauvier, warte--\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08セリーヌ\nWas mag das bedeuten, frage ich mich...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nMauvier, warum hast du unsere Suche nach\ndem Ort aus deiner Kindheit abgebrochen?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06モーヴ\nPrinzessin Céline.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06モーヴ\nEs tut mir leid.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06モーヴ\nIch sollte mich erklären, denn schließlich war\nes Eure Hilfe, die mein Dilemma letztlich\nauflösen konnte.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08セリーヌ\nIch will nicht drängen, wenn es für Euch ein\nsensibles Thema ist. Ich war lediglich neugierig.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06モーヴ\nAber überhaupt nicht. Schaut, ich war sicher,\ndass ich mit Eurer Hilfe den Hügel aus meiner\nErinnerung finden könnte.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06モーヴ\nDoch dann begriff ich es.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06モーヴ\nMeine Erinnerungen waren nicht so besonders,\nweil der Ort so schön war.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06モーヴ\nNein, ich erinnere mich an den Hügel und den\neinsamen Laubbaum nur wegen der schönen\nZeit mit meiner Familie.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セリーヌ\nAh. Ich verstehe.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06モーヴ\nDas Lächeln meiner Mutter. Wie mein Vater mir\ndurchs Haar streicht. Wie wir gemeinsam reden,\nlachen und das Leben genießen.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06モーヴ\nUnd die Fleischpasteten. Oh, sie waren meine\nLeibspeise. Während dieser Picknicktage\nverspürte ich nur reinstes Glück.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セリーヌ\nOh, Mauvier...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06モーヴ\nIch begreife jetzt, dass ich nicht so glücklich\nwerden würde, wenn ich diesen Hügel heute\nfinden könnte.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06モーヴ\nMeine Eltern haben diese Welt schon vor langer\nZeit verlassen. Ohne sie ist dieser Hügel nur ein\nHügel.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セリーヌ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08セリーヌ\nIch schlage vor, dass wir weiterhin nach diesem\nOrt suchen.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06モーヴ\nBitte?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08セリーヌ\nDeine Familie mag fort sein, aber ich denke,\nwir alle würden es genießen, dort mit dir\nzusammen Zeit zu verbringen.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06モーヴ\nPrinzessin Céline...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06モーヴ\nDas ist ein großzügiges Angebot, und ich nehme\nes gerne an. Eure Hilfe und Eure Gesellschaft\nwären mir höchst willkommen.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08セリーヌ\nEs wäre mir ein Vergnügen.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08セリーヌ\nLasst uns den Ort finden, auf dass du dort neue\nund fröhliche Erinnerungen mit deinen Freunden\nerschaffen mögest.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06モーヴ\nHabt Dank, Prinzessin Céline.\x0E\x04\x00\x00
