MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06フラン\nIrgendwas würde ich meinen Eltern ja gerne\nschenken, nur was...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06アンナ\nHey, Framme!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06フラン\nOh, hallo Anna. Was machst du denn hier?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06アンナ\nOh, „Anna“ ist viel zu formell. Nenn mich\neinfach „Lady Anna“!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06フラン\nAh, natürlich. Tut mir leid. Ich meinte natürlich:\nHallo, Lady Anna!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06アンナ\nJepp, so ist's richtig. Also, was bringt dich denn\nheute zum Markt?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06フラン\nIch wollte meinen Eltern ein Geschenk zu ihrem\nHochzeitstag besorgen.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06フラン\nOh! Du bist doch Händlerin. Hast du vielleicht\netwas Passendes im Angebot?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06アンナ\nAch, Framme, natürlich hab ich das.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06アンナ\nSieh nur, hier! Du wirst nirgends günstigere\noder bessere Geschenke als diese finden, das\ngarantiere ich dir!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06フラン\nOooh! Das sind ja lauter niedliche Sachen! Diese\nkleine Statue würde sich bestimmt gut in ihrem\nHaus machen.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06アンナ\nWeißt du, was? Da wir Freunde sind, gibt's eine\nGravur ihrer Namen sogar kostenlos dazu.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06フラン\nOh, das klingt verlockend. Du machst das echt\ngut, Lady Anna!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06アンナ\nIch wurde von meiner Familie getrennt. Seitdem\nmusste ich viel an meinen Verkaufstaktiken\nfeilen.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06アンナ\nWie auch immer... Wie du siehst, biete ich nur\nseltene und wertvolle Waren an! Deine Eltern\nwerden ihr Geschenk garantiert lieben!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06フラン\nIch denke, dann nehme ich diese kleine Statue.\nDie Gravur würde sie zu etwas ganz\nBesonderem machen!\x0E\x04\x00\x00
