MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06フラン\x022\n\x0E\x03\x02\x08\x06フラン\nEs ist an der Zeit, Vorsitzender Clanne.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06クラン\nIch bin bereit, Vorsitzende Framme.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06フラン\nWenn das so ist... erkläre ich hiermit die\nSitzung des Vereins der \x0E\x0A\x00H Wyrmgottverehrer$Wyrmgöttinverehrer\nfür eröffnet!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06フラン\nWuuu!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06クラン\nJaaa!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06フラン\nÄhem. Unser erster und zugleich einziger Punkt\nauf der Tagesordnung ist die Frage, wie wir\nneue Mitglieder für den Verein finden können.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06フラン\nVorsitzender Clanne, du hast das Wort.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06クラン\nIch finde, wir sollten Begeisterung für unseren\nVerein wecken, indem wir irgendetwas\nAufsehenerregendes anstellen!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06フラン\nEin guter Vorschlag!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06フラン\nBleibt nur die Frage: was genau?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06クラン\nIch hätte da eine Idee.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06クラン\nWie wär's, wenn wir unsere Botschaft mithilfe\nvon Broschüren unter die Leute bringen?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06フラン\nIch bin ganz Ohr.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クラン\nAlso, jeder hat \x0E\x0A\x00@\x18vom Wyrmgott$von der Wyrmgöttin gehört,\nnicht wahr? Aber kaum jemand kennt die\nPerson, die dahintersteckt.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06クラン\nDu und ich, Framme, wir könnten der Welt\nerzählen, wie \x0E\x0A\x00\x10\x06der\x06die Göttliche wirklich ist.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06フラン\nJa... Ja, doch! Mir gefällt, was du da\nvorschlägst!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06フラン\nOooh, wie wär's hiermit? Wir packen das\nhübsche Gesicht \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin groß auf die\nVorderseite und nennen die Broschüre...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06フラン\n„\x0E\x0A\x008\x18Der Wyrmgott\x1CDie Wyrmgöttin: Persönliche Einblicke“.\nBumm!\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06フラン\nUnd dann befragen wir \x0E\x0A\x00\x10\x06ihn\x06sie zu einfach allem,\nwas die Leute interessieren könnte, und packen\ndas Gespräch in die Innenseiten der Broschüre!\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06フラン\n\x0E\x0A\x00\x12\x08Sein\x06Ihr Lieblingsessen, \x0E\x0A\x00\x16\nseine\x08ihre Lieblingswaffe,\n\x0E\x0A\x00\x16\nseine\x08ihre tägliche Haarpflege-Routine, \x0E\x0A\x00\x16\nseine\x08ihre\nSchuhgröße... Wir lassen nichts aus!\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06クラン\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06フラン\nFindest du das blöd?\x0E\x04\x00\x00
