MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06セピア\x022\n\x0E\x03\x00\x0C\x06モーヴ\x024\n\x0E\x03\x00\x0A\x04グリ\x023\n\x0E\x03\x00\x0C\x06マロン\x021\n\x0E\x03\x02\x08\x06セピア\nIch bin zurück.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x08\x06マロン\nHeda, Zephia! Wie hat Lord Sombron auf den\nBericht reagiert?\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x06\x04グリ\nEr war bestimmt sauer, dass wir die Ringe\nverloren haben, hm?\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x08\x06セピア\nDas kann man wohl sagen.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x06\x04グリ\nHaha, wusste ich es doch! Also, wird er uns\njetzt mal so richtig bestrafen, ja? Endlich!\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x08\x06セピア\nNichts dergleichen. Es war nur eine Standpauke.\nEr hat mich auf die Bedeutung unserer Rolle\nhingewiesen.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x08\x06マロン\nDas ist alles? Ha! Er scheint uns wirklich\nzu mögen.\x0E\x04\x02\x00
MID_OP1_#008	Es fühlt sich gut an, wenn man wertgeschätzt\nwird!\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x08\x06セピア\nIst Milady Veyle eigentlich schon wach?\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x08\x06モーヴ\nNein. Dieser Zauber, den du ständig auf sie\nwirkst... Das wird allmählich riskant.\x0E\x04\x02\x00
MID_OP1_#011	Wir sollten vorerst auf die Magie verzichten und\nsie in ihren normalen Zustand zurückkehren\nlassen.\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x08\x06セピア\nDer Zauber wird bald deutlich stabiler sein.\nLord Sombron hat mir einen magischen Helm\nüberreicht.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x08\x06モーヴ\nWie bitte?\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x08\x06セピア\nSie soll ihn tragen. Einen Helm, der mit seiner\nMacht durchdrungen ist und der den Zauber,\nden ich auf sie wirke, enorm verstärkt.\x0E\x04\x02\x00
MID_OP1_#015	Endlich kann ich den Fehlgriff auslöschen.\nIch werde bald Gebrauch davon machen.\x0E\x04\x02\x00
MID_OP1_#016	Bei meiner nächsten Begegnung mit Lord\nSombron könnte es nicht schaden, ein paar\ngute Nachrichten zu haben.\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x06\x04グリ\nApropos Nachrichten: Unsere Kriegsschiffe sind\nauf die Streitkräfte \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin getroffen.\x0E\x04\x02\x00
MID_OP1_#018	Wir konnten sie nicht aufhalten. Sie scheinen\njetzt nach Elusia zu segeln.\x0E\x04\x00\x00
MID_OP1_#019	\x0E\x03\x02\x08\x06セピア\nHm. Sie kommen schneller voran, als ich dachte.\x0E\x04\x00\x00
MID_OP1_#020	\x0E\x03\x02\x06\x04グリ\nJa. Es ist nur eine Frage der Zeit, wann sie an\nunsere Tür klopfen.\x0E\x04\x00\x00
MID_OP1_#021	\x0E\x03\x02\x08\x06マロン\nOooh, soll ich uns Zeit gewinnen? Das mache\nich!\x0E\x04\x00\x00
MID_OP1_#022	\x0E\x03\x02\x08\x06セピア\nAber sicher doch, meine Liebe. Schön, dass du\ndich freiwillig meldest. Ganz allein kann ich dich\naber nicht gehen lassen.\x0E\x04\x02\x00
MID_OP1_#023	Mauvier. Du wirst sie doch begleiten, oder?\x0E\x04\x00\x00
MID_OP1_#024	\x0E\x03\x00\x0C\x06モーヴ\x024\n\x0E\x03\x02\x08\x06モーヴ\nSehr wohl.\x0E\x04\x00\x00
MID_OP1_#025	\x0E\x03\x02\x08\x06マロン\nWas? Warum denn? Ich komme wunderbar\nallein zurecht!\x0E\x04\x00\x00
MID_OP1_#026	\x0E\x03\x02\x08\x06セピア\nDu bist gut, kein Zweifel. Doch mit Mauvier an\ndeiner Seite sind deine Erfolgsaussichten noch\nviel größer.\x0E\x04\x00\x00
MID_OP1_#027	\x0E\x03\x02\x08\x06マロン\nNa gut. Dann gibt es ja umso mehr Lob für\nmich, richtig?\x0E\x04\x00\x00
MID_OP1_#028	\x0E\x03\x02\x08\x06モーヴ\nZephia, ich bitte um eines. Warte, bis wir\nzurück sind, bevor du Veyle wieder diesem\nZauber aussetzt.\x0E\x04\x00\x00
MID_OP1_#029	\x0E\x03\x02\x08\x06セピア\nIn Ordnung, Mauvier.\x0E\x04\x00\x00
MID_OP1_#030	\x0E\x03\x02\x08\x06モーヴ\nDann reisen wir ab.\x0E\x04\x00\x00
MID_OP1_#031	\x0E\x03\x02\x08\x06マロン\nWir sind gleich wieder zurück!\x0E\x04\x00\x00
MID_OP1_#032	\x0E\x03\x01\x08\x06モーヴ\n\x0E\x03\x01\x08\x06マロン\n\x0E\x03\x02\x08\x06セピア\nHmmm...\x0E\x04\x00\x00
MID_OP1_#033	\x0E\x03\x02\x06\x04グリ\nArgh, dieser Mauvier. Er macht sich viel zu viele\nGedanken um diese andere Veyle.\x0E\x04\x00\x00
MID_OP1_#034	\x0E\x03\x02\x08\x06セピア\nIn der Tat. Aber das ist jetzt nicht wichtig. Und\nwird es auch nicht werden, solange er weiß,\nwo sein Platz ist.\x0E\x04\x02\x00
MID_OP1_#035	Die Vier Bluthunde sind meine Familie. Ich\nwerde Mauvier immer lieben. Immer. Solange\ner gehorcht.\x0E\x04\x02\x00
MID_OP1_#036	Wir haben jetzt Wichtigeres zu besprechen.\nNämlich, was Milady Veyle über ihr Geschwister\ngesagt hat.\x0E\x04\x00\x00
MID_OP1_#037	\x0E\x03\x02\x06\x04グリ\nJa, richtig... Dass der Drachenstein, den sie\nerhalten hat, nicht zerbrochen sei.\x0E\x04\x00\x00
MID_OP1_#038	\x0E\x03\x02\x08\x06セピア\nGanz genau. Das müssen wir ergründen. Die\nSituation verlangt gewisse... Untersuchungs-\narbeit.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nDas ist also der Hafen von Givre. Ich hätte\nerwartet, dass er besser verteidigt wäre.\nWir sind einfach hineingesegelt.\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x0A\x08アイビー\nHmm...\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x0A\x08リュール\nStimmt etwas nicht?\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x0A\x08アイビー\nIn einer Hafenstadt herrscht normalerweise\ngroße Geschäftigkeit. Warum ist es hier so\nruhig?\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x0A\x08リュール\nIch sehe dort jemanden. Vielleicht kann er es\nuns erklären.\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x0A\x08アイビー\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin, das ist...\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x01\x0A\x08アイビー\n\x0E\x03\x01\x0A\x08リュール\n\x0E\x03\x00& M019_異形兵_グレートナイト\x022\n\x0E\x03\x02" M019_異形兵_グレートナイト\nGRAAAR!\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x01" M019_異形兵_グレートナイト\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nEiner der Verzerrten.\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x0A\x08アイビー\nJa, und sicher nicht der einzige hier.\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x0A\x08リュール\nIhr habt recht. Sie sind wahrscheinlich in der\nganzen Stadt verteilt, was bedeutet...\x0E\x04\x02\x00
MID_OP2_#011	\x0E\x03\x02\x0A\x08アイビー\nJa, das befürchte ich.\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x00\x12\x0Cディアマンド\x023\n\x0E\x03\x02\x0E\x0Cディアマンド\nWill der Dämonendrache jetzt auch Elusia\nzerstören? Das ergibt doch gar keinen Sinn.\x0E\x04\x02\x00
MID_OP2_#013	\x0E\x03\x00\x12\x0Cアルフレッド\x024\n\x0E\x03\x02\x0E\x0Cアルフレッド\nIch weiß nur, dass wir sie nicht ignorieren\nkönnen. Wir müssen sie erledigen.\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x0A\x08リュール\nNein. Wir ziehen weiter.\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x01\x0E\x0Cディアマンド\n\x0E\x03\x00\x10\nミスティラ\x023\n\x0E\x03\x02\x0C\nミスティラ\nWas? Wir überlassen die Leute hier ihrem\nSchicksal? Sagt uns, was Ihr tun wollt,\nPrinzessin Ivy!\x0E\x04\x00\x00
MID_OP2_#016	\x0E\x03\x02\x0A\x08アイビー\nWir verlassen diesen Ort.\x0E\x04\x00\x00
MID_OP2_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nAber die Leute sind in Gefahr. Wir haben die\nPflicht, ihnen zu helfen!\x0E\x04\x02\x00
