MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06セピア\x021\n\x0E\x03\x02\x08\x06セピア\nSu un campo di battaglia lontano da tutto ciò\nche conosci, riuscirai a mostrare il tuo coraggio?\x0E\x04\x02\x00
MID_OP1_#002	Nel giardino selvaggio di acciaio sanguinoso,\nchi andrà incontro alla sua fine?\x0E\x04\x02\x00
MID_OP1_#003	Che il fuoco consumi i quattro troni.\nChe le sette fiamme occupino i loro giacigli.\x0E\x04\x02\x00
MID_OP1_#004	La verità è nota solo a una persona.\x0E\x04\x02\x00
MID_OP1_#005	Non esiste futuro per questo mondo. Il mio\ncuore solitario non batte in questi luoghi.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0EE002_イル\x022\n\x0E\x03\x00\x14\x0EE002_エル\x023\n\x0E\x03\x02\x10\x0EE002_イル\nEccoci arrivati, Drago Divino. Benvenut\x0E\x0A\x00\x08\x02o\x02a nel\nregno di Firene!\x0E\x04\x02\x00
MID_OP2_#002	Eheh. Non spetterebbe a me dirlo, dato che\nsono un visitatore tanto quanto te, ma qualcuno\ndoveva pur farlo.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x0A\x08リュール\nÈ curioso... Proprio come il castello di Lythos,\nanche questo posto mi sembra familiare... ed\nestraneo allo stesso tempo.\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x10\x0EE002_エル\nOra, se avete finito di parlare del panorama, mi\npremerebbe ricordarvi il compito che ci attende.\x0E\x04\x02\x00
MID_OP2_#005	Il piano è il seguente. Entreremo nel castello di\nFirene e ci impossesseremo del bracciale del\nGenerale Audace.\x0E\x04\x02\x00
MID_OP2_#006	La rapidità è tutto. Dobbiamo assolutamente\nradunare tutti e sette i bracciali prima che sia\nil nemico a farlo.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x10\x0EE002_イル\nSarebbe bello se la famiglia reale ci desse\nspontaneamente il bracciale, ma dubito che\nlo faranno.\x0E\x04\x02\x00
MID_OP2_#008	I firenesi sono noti per il loro caratteraccio.\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x0A\x08リュール\nIn che senso? I firenesi che conosco io sono\ntutti pacifici e cortesi.\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x10\x0EE002_イル\nDici davvero? In questo mondo sono vendicativi\ne pronti a scattare alla minima provocazione...\nSoprattutto la famiglia reale.\x0E\x04\x02\x00
MID_OP2_#011	Ciò li rendeva utili alleati di guerra, per\nquanto loro disprezzino noi Draghi Maligni.\x0E\x04\x02\x00
MID_OP2_#012	Da quando il Drago Divino è morto, non ci\nhanno mai fatto visita in Lythos.\x0E\x04\x00\x00
MID_OP2_#013	\x0E\x03\x02\x0A\x08リュール\nChi governa queste terre? La regina Ève?\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x10\x0EE002_エル\nNo. Morì all'inizio dell'ultima guerra.\x0E\x04\x02\x00
MID_OP2_#015	Il trono rimase vacante fino alla fine della\nguerra, quando re Alfred prese il suo posto.\x0E\x04\x02\x00
MID_OP2_#016	Come ha detto Nil, il re tagliò ogni legame con\nnoi e fummo costretti a prendere le nostre\nprecauzioni.\x0E\x04\x02\x00
MID_OP2_#017	Così abbiamo chiesto a un'amica fidata\ndi infiltrarsi in Firene per indagare.\x0E\x04\x02\x00
MID_OP2_#018	Dovremmo incontrarci qui tra poco.\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x00\x1C\x16E002_セレスティア\x024\n\x0E\x06\x002\x16E002_セレスティア\x18MPID_Unknown\n\x0E\x03\x02\x18\x16E002_セレスティア\nLady Nel, lord Nil! Eccomi qui!\x0E\x04\x00\x00
MID_OP2_#020	\x0E\x03\x02\x10\x0EE002_エル\nZelestia. Stavamo giusto parlando di te.\x0E\x04\x00\x00
MID_OP2_#021	\x0E\x03\x02\x0A\x08リュール\n...!\x0E\x04\x00\x00
MID_OP2_#022	\x0E\x06\x004\x16E002_セレスティア\x1AMPID_Selestia\n\x0E\x03\x02\x18\x16E002_セレスティア\nVi attendevo con ansia. Sarete stanchi, dopo il\nlungo tragitto.\x0E\x04\x00\x00
MID_OP2_#023	\x0E\x03\x02\x10\x0EE002_エル\nNon è nulla in confronto alle fatiche che affronti\ntu nel tuo lavoro di spionaggio, ovviamente.\x0E\x04\x00\x00
MID_OP2_#024	\x0E\x03\x02\x18\x16E002_セレスティア\nNon ditelo neanche per scherzo, lady Nel.\x0E\x04\x02\x00
MID_OP2_#025	Ma chi avete portato con voi?\x0E\x04\x02\x00
MID_OP2_#026	Oh! Com'è possibile che mi ricordi così tanto\nil Drago Divino \x0E\x06\x03\x00?\x0E\x04\x00\x00
MID_OP2_#027	\x0E\x03\x02\x0A\x08リュール\nAh... A dire il vero...\x0E\x04\x00\x00
MID_OP2_#028	\x0E\x03\x02\x18\x16E002_セレスティア\nGioia e giubilo! Il Drago Divino è rinato!\x0E\x04\x02\x00
MID_OP2_#029	Sapevo che non ci avresti mai lasciati!\nNon per sempre, almeno.\x0E\x04\x02\x00
MID_OP2_#030	Avrei dovuto aspettarmelo! Come ho potuto\ncredere che Sombron potesse sconfiggere il\nDrago Divino?\x0E\x04\x00\x00
MID_OP2_#031	\x0E\x03\x02\x10\x0EE002_イル\nZelestia, mi dispiace deluderti, ma la persona\nqui presente non è chi credi tu.\x0E\x04\x00\x00
MID_OP2_#032	\x0E\x03\x02\x0A\x08リュール\nPerdonami per la confusione... Sono il Drago\nDivino di un altro mondo.\x0E\x04\x00\x00
MID_OP2_#033	\x0E\x03\x02\x18\x16E002_セレスティア\nCosa?\x0E\x04\x00\x00
MID_OP2_#034	\x0E\x03\x02\x10\x0EE002_エル\nAvremmo dovuto dirtelo subito.\nNon è la persona che conoscevamo noi.\x0E\x04\x02\x00
MID_OP2_#035	Si tratta, invece, de\x0E\x0A\x00\x0C\x02l\x06lla salvat\x0E\x0A\x00\x12\x06ore\x08rice che io e Nil\nabbiamo evocato tramite un antico rituale.\x0E\x04\x00\x00
MID_OP2_#036	\x0E\x03\x02\x10\x0EE002_イル\nÈ giunt\x0E\x0A\x00\x08\x02o\x02a al santuario del castello dopo che sei\npartita per il Firene.\x0E\x04\x00\x00
MID_OP2_#037	\x0E\x03\x02\x18\x16E002_セレスティア\nAh... Ho capito.\x0E\x04\x02\x00
MID_OP2_#038	Ovvio. Cosa mi è passato per la testa? Ero\npresente anch'io alla sepoltura del Drago Divino.\x0E\x04\x02\x00
MID_OP2_#039	Ho tenuto la sua fredda mano nella mia, dando\nl'ultimo saluto...\x0E\x04\x02\x00
MID_OP2_#040	...\x0E\x04\x00\x00
MID_OP2_#041	\x0E\x03\x02\x10\x0EE002_エル\nTi capisco bene, Zelestia, non è facile.\x0E\x04\x00\x00
MID_OP2_#042	\x0E\x03\x02\x18\x16E002_セレスティア\nPerdonatemi.\x0E\x04\x02\x00
MID_OP2_#043	Avrei dovuto trattenere le mie emozioni. È stata\nuna dura perdita per tutti, per me come per voi.\x0E\x04\x02\x00
MID_OP2_#044	Drago Divino, lascia che mi presenti. Io sono\nZelestia, Drago Magico di una certa fama.\x0E\x04\x02\x00
MID_OP2_#045	Consideravo te e la regina Lumera di questo\nmondo come parte della mia famiglia.\x0E\x04\x02\x00
MID_OP2_#046	Per me è un onore fare la tua conoscenza.\x0E\x04\x00\x00
MID_OP2_#047	\x0E\x03\x02\x0A\x08リュール\nPer favore, saltiamo la parte della "conoscenza"\ne passiamo direttamente all'amicizia.\x0E\x04\x00\x00
MID_OP2_#048	\x0E\x03\x02\x18\x16E002_セレスティア\nChe buffo! Sono proprio le parole che avrebbe\ndetto l'altro Drago Divino.\x0E\x04\x02\x00
MID_OP2_#049	Ma dimmi, c'è qualcuno come me nel tuo\nmondo?\x0E\x04\x00\x00
MID_OP2_#050	\x0E\x03\x02\x0A\x08リュール\nEcco...\x0E\x04\x00\x00
MID_OP2_#051	\x0E\x03\x02\x18\x16E002_セレスティア\nAhah, che domanda sciocca!\x0E\x04\x02\x00
MID_OP2_#052	Ma certo che c'è e scommetto che ti è di grande\naiuto nella lotta contro Sombron.\x0E\x04\x00\x00
MID_OP2_#053	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_OP2_#054	\x0E\x03\x02\x10\x0EE002_エル\nVi sono nuove dal castello di Firene, Zelestia?\nSei lì da un po', ormai.\x0E\x04\x00\x00
MID_OP2_#055	\x0E\x03\x02\x18\x16E002_セレスティア\nSì, confermo. Il Firene sta pianificando\nl'invasione dei vicini a nord.\x0E\x04\x00\x00
MID_OP2_#056	\x0E\x03\x02\x10\x0EE002_エル\nLa Brodia.\x0E\x04\x00\x00
MID_OP2_#057	\x0E\x03\x02\x18\x16E002_セレスティア\nÈ stata un'idea della principessa Céline... ma\nmanca ancora l'approvazione di re Alfred.\x0E\x04\x02\x00
MID_OP2_#058	Ciononostante, la giovane principessa ha già\nradunato un manipolo di cavalieri di\nprim'ordine.\x0E\x04\x02\x00
MID_OP2_#059	Temo che sia giunto il momento anche per noi\ndi passare all'azione. Non possiamo restare a\nguardare.\x0E\x04\x00\x00
MID_OP2_#060	\x0E\x03\x02\x10\x0EE002_イル\nBen detto. Andiamo al castello e tronchiamo\nquesta guerra sul nascere.\x0E\x04\x00\x00
MID_OP2_#061	\x0E\x03\x02\x18\x16E002_セレスティア\nC'è ancora una cosa... L'emblema del Firene\nmi è sembrato diverso dall'ultima volta che\nl'avevo visto.\x0E\x04\x02\x00
MID_OP2_#062	Sarà meglio non abbassare la guardia.\x0E\x04\x00\x00
MID_OP2_#063	\x0E\x03\x02\x10\x0EE002_エル\nConcordo. E ora dirigiamoci al castello e\nimpossessiamoci del bracciale del Generale\nAudace.\x0E\x04\x00\x00
MID_OP2_#064	\x0E\x03\x02\x0A\x08リュール\nSpero che Alfred e Céline siano disposti al\ndialogo.\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x18\x12E002_Boss\x021\n\x0E\x03\x00\x18\x12E002_Hide\x022\n\x0E\x03\x00\x14\x0EE002_エル\x023\n\x0E\x03\x00\x14\x0EE002_イル\x024\n\x0E\x03\x02\x14\x12E002_Hide\nAllora, Alfred? Ancora indeciso se invadere o\nno?\x0E\x04\x00\x00
MID_OP3_#002	\x0E\x03\x02\x14\x12E002_Boss\nNon mettermi fretta, Céline. Si tratta di una\ndecisione importante, mi serve tempo per\nponderarla.\x0E\x04\x00\x00
MID_OP3_#003	\x0E\x03\x02\x14\x12E002_Hide\nNon c'è tempo da perdere, devi agire subito!\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x02\x14\x12E002_Boss\nNon è così semplice. La Brodia era nostra\nalleata. Una volta lanciato l'attacco, non\npossiamo più tornare indietro.\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x03\x02\x14\x12E002_Hide\nNostra madre e i nostri attendenti sono morti\nnell'ultima guerra. Tocca a noi difendere il\npopolo.\x0E\x04\x02\x00
MID_OP3_#006	Non vedi come soffre? Il Drago Divino non c'è\npiù, il mondo sta cadendo in rovina.\x0E\x04\x02\x00
MID_OP3_#007	I campi diventano brulli, i fiori sbiadiscono.\nDi questo passo, presto resteremo senza scorte.\x0E\x04\x02\x00
MID_OP3_#008	L'unico rimedio a questa tragedia è espandere\nil territorio e ampliare le risorse. Ora.\x0E\x04\x00\x00
MID_OP3_#009	\x0E\x03\x02\x14\x12E002_Boss\nLo so, lo so... La Brodia, con le sue miniere,\npuò fornirci le risorse di cui abbiamo bisogno.\x0E\x04\x02\x00
MID_OP3_#010	Un'invasione ci darebbe accesso ai loro minerali\ne alle loro ricchezze.\x0E\x04\x02\x00
MID_OP3_#011	È un piano discreto, ma ha una grossa lacuna.\nDimentichi che la Brodia è una potenza militare.\x0E\x04\x00\x00
MID_OP3_#012	\x0E\x03\x02\x14\x12E002_Hide\nProprio per questo motivo, ho radunato un\ngruppo di cavalieri capaci di sconfiggerla.\x0E\x04\x02\x00
MID_OP3_#013	Hai forse paura del loro emblema? Quella\nstupida principessina non ha speranze contro\nil Generale Audace!\x0E\x04\x00\x00
MID_OP3_#014	\x0E\x03\x02\x14\x12E002_Boss\nLe certezze non esistono. Non importa quanto\nle probabilità siano a nostro favore, potremmo\ncomunque uscirne sconfitti.\x0E\x04\x02\x00
MID_OP3_#015	Hai forse dimenticato i nostri attendenti? Erano\nsicuri di farcela, e invece sono caduti uno dopo\nl'altro come petali al vento...\x0E\x04\x02\x00
MID_OP3_#016	Fu proprio nel giorno in cui perdemmo anche\nla perla del nostro esercito, il Drago Divino.\x0E\x04\x00\x00
MID_OP3_#017	\x0E\x03\x02\x14\x12E002_Hide\nSei cambiato, Alfred. Un tempo non avevi\ntimore di nulla e di nessuno.\x0E\x04\x02\x00
MID_OP3_#018	Assieme al Drago Divino, se n'è andato anche\nil tuo eroismo. Molto bene. Me ne occuperò io.\x0E\x04\x00\x00
MID_OP3_#019	\x0E\x03\x02\x14\x12E002_Boss\nChe intenzioni hai?\x0E\x04\x00\x00
MID_OP3_#020	\x0E\x03\x02\x14\x12E002_Hide\nAndrò in Brodia da sola. Non mi serve il tuo\npermesso, risparmiatelo pure.\x0E\x04\x00\x00
MID_OP3_#021	\x0E\x03\x02\x14\x12E002_Boss\nSenza scorta armata? Stai cercando di farti\nammazzare?\x0E\x04\x00\x00
MID_OP3_#022	\x0E\x03\x02\x14\x12E002_Hide\nTra una morte in battaglia e un cuore spezzato\ndalla miseria del mio popolo, scelgo la prima!\x0E\x04\x02\x00
MID_OP3_#023	Forse il mio sacrificio servirà a far emergere un\nvero eroe capace di guidare la nostra nazione.\nNon chiederei altro.\x0E\x04\x02\x00
MID_OP3_#024	E se la sofferenza dei brodiani è necessaria\nper la sopravvivenza del nostro popolo, così sia.\x0E\x04\x02\x00
MID_OP3_#025	Perché un paese possa fiorire, un altro deve\nsoffrire.\x0E\x04\x00\x00
MID_OP3_#026	\x0E\x03\x02\x14\x12E002_Boss\nNon c'è verso di portarti alla ragione, vero?\x0E\x04\x00\x00
MID_OP3_#027	\x0E\x03\x02\x14\x12E002_Hide\nNon è colpa tua se ti è capitata una sorella\ncosì ostinata.\x0E\x04\x02\x00
MID_OP3_#028	Tuttavia, se vuoi che questa sorella sopravviva,\ndovrai prendere la tua decisione.\x0E\x04\x02\x00
MID_OP3_#029	Allora, Vostra Maestà?\x0E\x04\x00\x00
MID_OP3_#030	\x0E\x03\x02\x14\x12E002_Boss\n...\x0E\x04\x02\x00
MID_OP3_#031	E va bene.\x0E\x04\x02\x00
MID_OP3_#032	Sei tutto ciò che mi rimane. Se davvero sei così\ndecisa, farò in modo di darti tutto l'appoggio\nmilitare necessario.\x0E\x04\x02\x00
MID_OP3_#033	La missione è approvata.\x0E\x04\x00\x00
MID_OP3_#034	\x0E\x03\x02\x14\x12E002_Hide\nGrazie, Alfred.\x0E\x04\x00\x00
MID_OP3_#035	\x0E\x03\x02\x14\x12E002_Boss\nAndiamo. Ordinerò ufficialmente ai tuoi cavalieri\ndi prepararsi alla battaglia.\x0E\x04\x00\x00
MID_OP3_#036	\x0E\x03\x02\x10\x0EE002_エル\nAspetta, ti prego.\x0E\x04\x00\x00
MID_OP3_#037	\x0E\x03\x02\x14\x12E002_Boss\nChi va là?\x0E\x04\x00\x00
MID_OP3_#038	\x0E\x03\x02\x10\x0EE002_エル\nRe Alfred, principessa Céline. Ne è passato\ndi tempo.\x0E\x04\x02\x00
MID_OP3_#039	Perdonate l'interruzione, ma siamo qui per\ndiscutere faccende di una certa urgenza.\x0E\x04\x00\x00
MID_OP3_#040	\x0E\x03\x02\x14\x12E002_Boss\nGuarda un po'. Nel e Nil.\x0E\x04\x02\x00
MID_OP3_#041	Siete consapevoli che rischiate l'esecuzione\npresentandovi qui senza invito, vero?\x0E\x04\x00\x00
MID_OP3_#042	\x0E\x03\x02\x10\x0EE002_エル\nLo sappiamo. Ma se ci darai il bracciale del\nGenerale Audace, andremo via così come\nsiamo arrivati.\x0E\x04\x00\x00
MID_OP3_#043	\x0E\x03\x02\x14\x12E002_Boss\nFatemi il piacere. Se ve lo dessimo, l'equilibrio\ndi forza tra le nazioni andrebbe in frantumi.\x0E\x04\x00\x00
MID_OP3_#044	\x0E\x03\x02\x10\x0EE002_エル\nDunque, intendi continuare a usarlo come\nun'arma contro i tuoi pari.\x0E\x04\x02\x00
MID_OP3_#045	E visto che anche loro fanno esattamente lo\nstesso, ci troviamo sull'orlo della guerra.\x0E\x04\x02\x00
MID_OP3_#046	Non credo che il Drago Divino apprezzerebbe\nquesto vostro comportamento.\x0E\x04\x00\x00
MID_OP3_#047	\x0E\x03\x02\x14\x12E002_Hide\nAh! Osi parlare a nome suo, adesso?\x0E\x04\x02\x00
MID_OP3_#048	Curioso da parte tua, considerato che è a causa\ndi tuo padre se la sua divina presenza ci è ora\nnegata.\x0E\x04\x00\x00
MID_OP3_#049	\x0E\x03\x02\x10\x0EE002_イル\nCome osi! Noi non c'entriamo niente!\x0E\x04\x02\x00
MID_OP3_#050	Quante volte ve lo dobbiamo ripetere che noi\nnon siamo Sombron?\x0E\x04\x00\x00
MID_OP3_#051	\x0E\x03\x02\x10\x0EE002_エル\nCalmati, Nil.\x0E\x04\x00\x00
MID_OP3_#052	\x0E\x03\x02\x10\x0EE002_イル\nSì, chiedo scusa.\x0E\x04\x00\x00
MID_OP3_#053	\x0E\x03\x02\x10\x0EE002_エル\nVi assicuro che intendiamo recarci da tutti\ngli altri custodi dei bracciali.\x0E\x04\x02\x00
MID_OP3_#054	Ce li faremo restituire dal primo all'ultimo.\x0E\x04\x02\x00
MID_OP3_#055	Quindi, non v'è ragione per il Firene di insistere\nulteriormente. Potete consegnarci il bracciale.\x0E\x04\x00\x00
