MJID_DragonLord	Erede Divino
MJID_H_DragonLord	Discendente dell'antica stirpe dei\ndraghi. Padroneggia le tecniche di\nspada dei Draghi Divini.
MJID_DragonKing	Drago Divino
MJID_H_DragonKing	Padroneggia le tecniche di spada e\nle arti marziali dei Draghi Divini che\ngovernano il mondo.
MJID_ShadowLord	Erede Maligno
MJID_H_ShadowLord	Burattino sotto il controllo del Drago\nMaligno. Usa potenti tecniche di\nspada.
MJID_ShadowPrincess	Erede Maligno
MJID_H_ShadowPrincess	Erede del sangue del Drago Maligno.\nEccelle nelle arti maligne e può\nusare potente magia oscura.
MJID_ShadowKing	Re Maligno
MJID_H_ShadowKing	Ambisce a dominare il mondo come\ntiranno. Usa magie oscure dalla\nforza distruttiva.
MJID_ShadowDragon	Gran Maligno
MJID_H_ShadowDragon	Il Drago Maligno che assorbe il\npotere degli emblemi. Può aprire\nun portale verso altri mondi.
MJID_AvenirLC	Nobile
MJID_H_AvenirLC	Di sangue reale. Sa cavalcare\ne usare la lancia.
MJID_Avenir	Avenir
MJID_H_Avenir	Un principe che si lancia in battaglia\na dorso di un cavallo bianco. Oltre\nalla lancia, eccelle anche nella spada.
MJID_FleurageLC	Nobile
MJID_H_FleurageLC	Di sangue reale. Abile con le arti\nmagiche, sa usare anche la spada.
MJID_Fleurage	Vidame
MJID_H_Fleurage	Una spadaccina dotata nelle arti\nmagiche. Sbaraglia i maghi nemici\ne può usare i bastoni.
MJID_SuccesseurLC	Lord
MJID_H_SuccesseurLC	Membro della famiglia reale.\nAbile con la spada.
MJID_Successeur	Successore
MJID_H_Successeur	Possiede la volontà e le capacità di\nguidare un paese. Abile sia con la\nspada che con l'ascia.
MJID_TirailleurLC	Lord
MJID_H_TirailleurLC	Membro della famiglia reale.\nBravo con l'arco.
MJID_Tirailleur	Tiratore d'élite
MJID_H_Tirailleur	Un arciere dal grande talento.\nPuò eliminare un nemico in\nun colpo solo.
MJID_LindwurmLC	Doma bestie
MJID_H_LindwurmLC	Le bestie rispondono ai suoi\ncomandi. Cavalca una viverna\ne usa bastoni e attacchi magici.
MJID_Lindwurm	Lindwurm
MJID_H_Lindwurm	Colpisce i nemici dall'alto a cavallo\ndi una viverna. Usa potenti magie\ne anche i bastoni.
MJID_SleipnirLC	Doma bestie
MJID_H_SleipnirLC	Le bestie rispondono ai suoi\ncomandi. Combatte con tomo e\nbastone a cavallo di un pegaso.
MJID_Sleipnir	Cav. Sleipnir
MJID_H_Sleipnir	Cavalca il pegaso Sleipnir. Usa\npotenti bastoni ed è abile con\ni tomi.
MJID_PitchforkLC	Sentinella
MJID_H_PitchforkLC	Pronta a difendere il regno con le\narmi alla mano. Abile con la lancia.
MJID_Pitchfork	Picchetto
MJID_H_Pitchfork	Imbattibile con la lancia. I suoi\npassi energici preannunciano\nattacchi fatali.
MJID_CupidoLC	Sentinella
MJID_H_CupidoLC	Pronto a difendere il regno con le\narmi alla mano. Combatte a dorso\ndi un destriero e usa l'arco.
MJID_Cupido	Cupido
MJID_H_Cupido	Un affascinante e disinvolto cavaliere\ndotato di arco, ma abile anche con la\nspada. Ama giocare con i nemici.
MJID_SwordFighter	Soldato spada
MJID_H_SwordFighter	Unità abile con la spada che\ncombatte nella fanteria. Schiva gli\nattacchi nemici con agilità.
MJID_SwordMaster	Mastro di spada
MJID_H_SwordMaster	Unità che eccelle nella spada. Schiva\ngli attacchi all'ultimo istante e\ncontrattacca con potenti tecniche.
MJID_BraveHero	Eroe
MJID_H_BraveHero	Combattente di grande esperienza,\nabile con varie armi e sempre in\nprima linea.
MJID_LanceFighter	Soldato lancia
MJID_H_LanceFighter	Combatte con la lancia. Ha il giusto\nequilibrio tra parametri di attacco\ne difesa.
MJID_Halberdier	Alabardiere
MJID_H_Halberdier	Grazie alla vasta esperienza sul\ncampo di battaglia, padroneggia\nla lancia come nessun altro.
MJID_RoyalKnight	Cavaliere reale
MJID_H_RoyalKnight	Nobile soldato a cavallo che domina\nil campo di battaglia incoraggiando\ngli alleati. Può usare i bastoni.
MJID_AxFighter	Soldato ascia
MJID_H_AxFighter	Un guerriero abile con l'ascia. I suoi\ncolpi sono potenti, ma è lento a\nparare gli attacchi.
MJID_Berserker	Berserker
MJID_H_Berserker	Un guerriero potente dalla forza\nincredibile. La sua enorme ascia\npuò sventrare i nemici.
MJID_Warrior	Guerriero
MJID_H_Warrior	Unità di grande esperienza nello\nsbaragliare i nemici. Micidiali sia con\nl'arco che con l'ascia.
MJID_Archer	Arciere
MJID_H_Archer	Fanteria leggera dotata di arco con\ncui può attaccare nemici non troppo\nlontani.
MJID_Sniper	Tiratore scelto
MJID_H_Sniper	Molto abile con l'arco. I suoi potenti\nattacchi vanno dritti al punto debole\ndei nemici.
MJID_BowKnight	Cavaliere arco
MJID_H_BowKnight	Usa l'arco a dorso di un cavallo.\nHa grande esperienza in tattiche\ndi toccata e fuga.
MJID_SwordArmor	Corazziere spada
MJID_H_SwordArmor	Uno spadaccino corazzato. Forte\nin difesa, ma vulnerabile contro\nla magia.
MJID_LanceArmor	Corazziere lancia
MJID_H_LanceArmor	Lanciere protetto corazzato.\nForte in difesa, ma vulnerabile\ncontro la magia.
MJID_AxArmor	Corazziere ascia
MJID_H_AxArmor	Combatte con l'ascia protetto da una\npesante armatura. Forte in difesa, ma\nvulnerabile contro la magia.
MJID_General	Generale
MJID_H_General	Un combattente corazzato dalla\ndifesa impenetrabile e dall'attacco\ntemibile.
MJID_GreatKnight	Gran cavaliere
MJID_H_GreatKnight	Un cavaliere corazzato. Difende\ngli alleati con una grande varietà di\narmi.
MJID_SwordKnight	Cavaliere spada
MJID_H_SwordKnight	Cavalca armato di spada e ha un\nampio raggio di movimento.\nHa parametri bilanciati.
MJID_LanceKnight	Cavaliere lancia
MJID_H_LanceKnight	Cavalca armato di lancia e ha un\nampio raggio di movimento.\nHa parametri bilanciati.
MJID_AxKnight	Cavaliere ascia
MJID_H_AxKnight	Cavalca armato di ascia e ha un\nampio raggio di movimento.\nHa parametri bilanciati.
MJID_Paladin	Paladino
MJID_H_Paladin	Un cavaliere d'alto rango, ricco di\nesperienza. Ha grande mobilità e\nresistenza contro la magia.
MJID_WolfKnight	Cavaliere lupo
MJID_H_WolfKnight	Semina scompiglio sul campo di\nbattaglia a dorso di un lupo.\nI suoi coltelli non perdonano.
MJID_SwordPegasus	Pegaso spada
MJID_H_SwordPegasus	Combatte con la spada a cavallo di\nun pegaso. Resistente alla magia, ma\nvulnerabile contro gli archi.
MJID_LancePegasus	Pegaso lancia
MJID_H_LancePegasus	Combatte con la lancia a cavallo di\nun pegaso. Resistente alla magia, ma\nvulnerabile contro gli archi.
MJID_AxPegasus	Pegaso ascia
MJID_H_AxPegasus	Combatte con l'ascia a cavallo di\nun pegaso. Resistente alla magia, ma\nvulnerabile contro gli archi.
MJID_GriffonKnight	Cavaliere grifone
MJID_H_GriffonKnight	Cavaliere di grande potenza che vola\na dorso di un grifone. Ha parametri\nbilanciati e può usare i bastoni.
MJID_DragonKnight	Cavaliere viverna
MJID_H_DragonKnight	Cavaliere di grande esperienza che\nvola a dorso di una viverna. Potente,\nma vulnerabile contro archi e magie.
MJID_Mage	Mago
MJID_H_Mage	Lancia incantesimi con l'aiuto di un\ntomo magico. Forte contro nemici\ndalla difesa alta.
MJID_Sage	Saggio
MJID_H_Sage	Unità di enorme esperienza in grado\ndi lanciare incantesimi potentissimi.\nSa usare tomi e bastoni.
MJID_MageKnight	Mago cavaliere
MJID_H_MageKnight	Cavaliere che lancia incantesimi a\ndorso di un cavallo. Abile anche nei\ncombattimenti ravvicinati con armi.
MJID_Monk	Monaco
MJID_H_Monk	Può curare gli alleati feriti con\ni bastoni. Conosce le arti\nmarziali di autodifesa.
MJID_MasterMonk	Maestro marziale
MJID_H_MasterMonk	Molto abile nelle arti marziali.\nEccelle nel corpo a corpo e può\ncurare gli alleati.
MJID_HighPriest	Gran sacerdote
MJID_H_HighPriest	Ha grandi poteri di guarigione. Usa\nil bastone per curare gli alleati, con\ntecniche affinate dall'esperienza.
MJID_Thief	Ladro
MJID_H_Thief	Non c'è serratura che tenga sotto\nle sue mani. Agile nei movimenti\ne nel maneggiare coltelli.
MJID_Dancer	Ballerino
MJID_H_Dancer	Le sue danze ammalianti sollevano\nil morale degli alleati, che possono\ncosì fare una mossa aggiuntiva.
MJID_Villager	Cittadino
MJID_H_Villager	Persona comune senza particolare\nesperienza in battaglia.
MJID_Melusine	Melusina
MJID_H_Melusine	Un'affascinante cavaliera magica che\ncavalca un drago malvagio. Abile con\nla spada ed esperta di magie potenti.
MJID_Barbarian	Barbaro
MJID_H_Barbarian	Un selvaggio dalla furia incontrollata.\nMolto forte e veloce, ma debole in\ndifesa.
MJID_MorphDragon	Drago aberrante
MJID_H_MorphDragon	Al servizio del Drago Maligno per\nportare il mondo alla rovina.\nDistrugge tutto con il soffio oscuro.
MJID_PhantomDragon	Drago illusorio
MJID_H_PhantomDragon	Enorme drago. È lento, ma può\ncolpire da grande distanza con\nil suo soffio.
MJID_Emblem	Emblema
MJID_H_Emblem	Eroe proveniente da un altro mondo,\nrinchiuso in un anello. Possiede\npoteri inimmaginabili.
