MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nAh, che odore delizioso! Così fresco!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08パンドロ\nSì, amo il profumo dell'erba appena tagliata!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08パンドロ\nCon questo, tutta l'erbaccia del Somniel\ndovrebbe essere estirpata.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パンドロ\nIl che significa che il nostro turno di sentinella\nè finito.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ボネ\nAbbiamo tagliato l'erba... non mi pare il caso\ndi chiamarlo turno di sentinella.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08パンドロ\nPerché no? Se lo facciamo noi, quello è!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08パンドロ\nI banditi non sono una minaccia per il Somniel,\nma questo posto ha lo stesso bisogno di\nprotezione.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04ボネ\nSì, certo... dobbiamo proteggerlo dalle\nterribili, spaventose... erbacce.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08パンドロ\nAh! Bunet, amico mio! Non dimenticarti che\nconto su di te per il cibo della festa.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ボネ\nCi penso io. Come sempre preparerò\nun banchetto impeccabile!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パンドロ\nCosì mi piaci! Sei il migliore, lo sai?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x06\x04ボネ\nFigurati, per me ogni occasione di mettere in\nmostra le mie doti in cucina è un piacere.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08パンドロ\nA proposito, ho sentito dire che ci sarà\nuna famosa esperta di cucina.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x06\x04ボネ\nDavvero?!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パンドロ\nSì! Potrebbe essere un'occasione per mostrarle\nla tua abilità.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x06\x04ボネ\nInteressante... allora preparerò anche un piatto\nnuovo e innovativo.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x06\x04ボネ\nQualcosa che la lascerà a bocca aperta.\nNon perderti la sua espressione, te lo dico!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08パンドロ\nPerché non vieni a vederla anche tu?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x06\x04ボネ\nNon mi piacciono le feste, troppo rumore.\nCome un piatto che ha troppi sapori forti.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08パンドロ\nChe peccato. Immagino sia lo scotto da pagare\nper i tuoi sensi sopraffini.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x06\x04ボネ\nBasta che mi racconti com'è andata,\nnon chiedo altro.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08パンドロ\nStanne certo, amico! Non vedo l'ora di\nassaggiare le tue specialità!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nPandreo... Com'è andata la festa?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x06\x04ボネ\nL'esperta ha apprezzato i miei piatti?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08パンドロ\nEhm, sì, è rimasta molto colpita, ma...\x0E\x04\x00\x00
