MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nHai viaggiato da un mondo all'altro per aiutare\ndegli estranei? Sei proprio strana.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04エル\nChe rigidità mentale, emblema Soren. Ho scelto\ndi venire fino a qui per il Drago Divino.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x06\x04エル\nNon volevo, ma ho nuovamente trattato il Drago\nDivino con scortesia.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nCome fai a ripetere sempre gli stessi errori?\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nSe davvero desideri avvicinarti al Drago Divino,\ndovresti soppesare meglio le parole.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04エル\nLo so bene, ahimè. Eppure, continuo a compiere\npassi falsi.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x06\x04エル\nDubito che tu capisca come ci si sente a non\nriuscire a esprimere i propri sentimenti.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nIn effetti, non lo so. Comunque, a parer mio,\ndovresti essere onesta e diretta su cosa provi.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nラファール\nSperavo che io e Nel avessimo chiuso con le\nbattaglie, e invece eccoci qui.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nÈ vero, ma sono sicuro che la vostra presenza\nsarà di grande aiuto agli alleati.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nラファール\nSei un tipo solitario. Immagino sia dovuto al tuo\natteggiamento brusco.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nSe hai tutto questo tempo da perdere a\nosservare gli altri, perché non ti concentri sui\ntuoi compagni?\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nラファール\nCos'hai da guardare? Hai così tanto bisogno\ndi attenzioni?\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nMi ricordi qualcuno che conoscevo... Aveva\ndelle ali nere... Non era molto raccomandabile\nneanche lui.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x0C\nラファール\nÈ raro che racconti qualcosa di te! Ora mi hai\nproprio incuriosito. Va' avanti.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nNo, niente. Lascia perdere.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nMi fa piacere rivederti. Non so perché, ma c'è\nqualcosa di te che continuo a trovare familiare.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nChissà. Sarà solo nella tua testa.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nIl tuo potere non ha perso colpi, Soren. La mia\nmagia in confronto è debole, per quanto sia un\nDrago Magico. Ti invidio un po'.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nAh, sì? Beh, io nemmeno lo volevo questo\npotere.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nSoren... Volevo parlarti della nostra ultima\nconversazione...\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nTi conosco a malapena, non avrei dovuto dirti\nche ti invidio. Perdona la mia mancanza di\nsensibilità.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x0A\x08セネリオ\nNon preoccuparti, mi rimangio quello che ho\ndetto. Non è vero che non voglio il mio potere.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nMi ha aiutato a trovare il mio posto nel mondo.\nSenza di esso, non avrei mai esaudito i miei\ndesideri.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nSei uno stratega, giusto? Sappi che se hai\nbisogno posso aiutarti, in mancanza di altre\nrisorse.\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nGuarda che se speri di dartela a gambe, ti\nposizionerò dove non potrai scappare.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nPotrei sapere come mai cerchi sempre di\nscappare? Hai qualche debito in sospeso,\nper caso?\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nEh? Non scappo dai debiti, no. Cosa te lo fa\npensare?\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nNon ti andrebbe una passeggiata? Avrai bisogno\nanche tu di una pausa, no?\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nSono a posto così.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nOh... Beh, se qualcosa ti turba, allora dillo a me.\nMi fa piacere aiutarti.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nNon potremmo essere più diversi l'uno\ndall'altro. Risparmiami le tue premure.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nマデリーン\nSer Soren, avresti un attimo? Vorrei fare\nun duello amichevole!\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nE come mai lo chiedi proprio a me? Avrai di\nsicuro altri compagni da importunare.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nI tuoi attacchi sono troppo prevedibili. È come\nse volessi che il nemico li eviti.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nマデリーン\nMi hai osservata bene, allora. Sembri sempre\nfreddo e distante. Non me lo aspettavo.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nForse dovresti accantonare per un po' il tuo\nsogno di diventare cavaliera.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nOh? Stai dicendo forse... che non pensi che\nce la farò?\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x0A\x08セネリオ\nMi ricordi qualcuno... di non proprio adatto al\nruolo. Non devi cercare di fare l'impossibile.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nApprezzo il consiglio, ma per me non è\naffatto impossibile.\x0E\x04\x00\x00
