MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nChe strano... Non è da molto che combattiamo\nassieme, eppure sento che ci capiamo.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nMi fa piacere che anche tu la pensi così. E spero\nche, collaborando, il nostro legame continui a\ncrescere.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ルフレ\x022\n\x0E\x03\x02\x08\x06ルフレ\nSperavo proprio di riuscire a parlarti. Sento che\nil nostro è un legame voluto dal destino.\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08リュール\nDestino, eh? Sono molto fortunat\x0E\x0A\x00\x08\x02o\x02a ad avere uno\nstratega come te. Mi auguro che avremo altre\noccasioni di parlare.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x00\x0C\x06ルフレ\x023\n\x0E\x03\x02\x0A\x08リュール\nMi fa piacere che vi siate presentati entrambi,\noggi. È sempre bello passare del tempo assieme.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x08\x06クロム\nÈ raro che Daraen abbandoni i libri e i giri di\npattuglia. Devi proprio piacergli.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x08\x06ルフレ\nIl nostro è un legame forte, nato dal campo\ndi battaglia.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nCondivido quello che dici e non posso che\nsperare che questo legame ci aiuti a cambiare\nil destino e il corso della guerra.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nLa vostra presenza in campo è rassicurante,\nser Chrom. So di poter contare su di voi.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x08\x06クロム\nSarò lì per te, ogni volta che ne avrai bisogno.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nVander, fa parte dei tuoi compiti rimuovere\nsassi ed erbacce dove cammina il Drago Divino?\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nCome? No. Sono un valletto devoto, ma quello\nsarebbe troppo. A cosa devo la domanda?\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nScusami se ti ho fatto una domanda poco\nopportuna. Sai, il cavaliere che mi seguiva era\nfin troppo servizievole.\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nCapisco. Vi domandavate se anche io\nfacessi come lui. Sapete, in realtà la sua\ndevozione è comprensibile.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nPossediamo lo stesso desiderio di servire anima\ne corpo il nostro signore. Ora mi è quasi venuta\nvoglia di raccogliere le erbacce.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x08\x06クロム\nMa no, non fraintendermi. Fai già abbastanza.\nAnch'io voglio rendermi utile. Fai pure\naffidamento su di me in battaglia.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nClanne... cosa fai, ti nascondi? Sappi che non\npassi inosservato.\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nUah! Scusami, lord Chrom. Mi nascondevo\nperché ti ammiro tantissimo!\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クラン\nHai fratelli o sorelle, lord Chrom?\nCome sono?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06クロム\nAvevo una sorella maggiore dal cuore\ncompassionevole e una sorella minore allegra\ne gentile.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クラン\nVorrei tanto essere forte come te... Così potrei\naiutare ancora di più il Drago Divino...\x0E\x04\x00\x00
