MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x02\x0A\x08ヴェイル\nDa questa parte! La scheggia del Drago Maligno\nè vicina!\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08リュール\nPer fortuna riesci a percepirle, Veyle. Io non\nsaprei come trovarle.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08ヴェイル\nUn attimo, c'è qualcuno. Sembrerebbero...\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x0A\x08リュール\nSì... sono Zephia e Griss.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0A\x08ヴェイル\n...!\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0A\x08リュール\nImmagino facciano la guardia alla scheggia.\nTe la senti?\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x0A\x08ヴェイル\nSe voglio fermare papà, non ho scelta.\x0E\x04\x02\x00
MID_OP1_#008	Sapevo di doverli affrontare, prima o poi.\nAndiamo.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x0A\x08リュール\nVa bene.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nZephia. Griss.\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x00\x0A\x04グリ\x023\n\x0E\x03\x00\x0C\x06セピア\x021\n\x0E\x03\x02\x08\x06セピア\nLady Veyle! Attendevamo il vostro arrivo.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x08\x06セピア\nAh, capisco. Siete ancora voi.\x0E\x04\x02\x00
MID_OP2_#005	Devo quindi concludere che l'altra lady Veyle\nnon sia più con noi. È svanita per sempre?\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x0A\x08ヴェイル\nEsatto.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x06\x04グリ\nSiete di nuovo strisciata fuori, eh? Non pensavo\nche sareste riuscita a spuntarla, ragazzina\ndifettosa.\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x00\x0E\x08リュール\x024\n\x0E\x03\x02\x0A\x08リュール\nSmettila di chiamarla in quel modo.\nNessuno si rivolgerà più così a Veyle.\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x08\x06セピア\nTu...!\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x06\x04グリ\nEhi! Woah! Che succede? Non avevi tirato\nle cuoia?\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x0A\x08リュール\nSono diventat\x0E\x0A\x00\x08\x02o\x02a un emblema grazie al potere\ndegli anelli, per salvare questo mondo.\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x0A\x08ヴェイル\nSiamo qui per fermare papà. Vi prego, fatevi da\nparte.\x0E\x04\x00\x00
MID_OP2_#013	\x0E\x03\x02\x08\x06セピア\nE farvi passare come niente fosse? Impossibile.\nLord Sombron sta aprendo il portale verso\naltri mondi.\x0E\x04\x02\x00
MID_OP2_#014	Siamo qui per proteggere questa scheggia.\nNon ci sposteremmo neppure se lo ordinasse\nla nostra lady Veyle.\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x0A\x08ヴェイル\nAllora preparatevi a morire.\x0E\x04\x00\x00
MID_OP2_#016	\x0E\x03\x02\x08\x06セピア\nVolete ucciderci, lady Veyle? Oh, che triste\nfinale per la nostra storia.\x0E\x04\x02\x00
MID_OP2_#017	Nonostante tutte le mie cure, il mio affetto...\nVi ho sempre considerata come una figlia.\x0E\x04\x00\x00
MID_OP2_#018	\x0E\x03\x02\x0A\x08ヴェイル\nSai, le tue parole mi rendevano felice una volta.\nOra, però, so che sono tutte bugie...\x0E\x04\x02\x00
MID_OP2_#019	Siete soltanto due seguaci di mio padre.\nNient'altro che nemici da sconfiggere.\x0E\x04\x00\x00
MID_OP2_#020	\x0E\x03\x02\x06\x04グリ\nPerché parli solo di noi? Eravamo in quattro.\x0E\x04\x00\x00
MID_OP2_#021	\x0E\x03\x02\x0A\x08ヴェイル\nMauvier era il mio cavaliere. E anche Marni...\x0E\x04\x02\x00
MID_OP2_#022	Mi hanno detto che Marni è morta nel tentativo\ndi salvarmi.\x0E\x04\x02\x00
MID_OP2_#023	Perché l'hai uccisa? Non ho nemmeno avuto\nil tempo di dirle addio.\x0E\x04\x00\x00
