MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nAh, Drago Divino! Proprio il drago che cercavo.\nHo un favore da chiedervi.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nChe favore?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08パンドロ\nSto organizzando una festa e vorrei che\nveniste anche voi.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パンドロ\nNella nostra chiesa, siete al centro di tutto...\nsiete come una divinità!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08パンドロ\nLa vostra presenza sarebbe un enorme\nsostegno per tutti quanti.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リュール\nMh. Dimmi di più su questa festa. Che si farà?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08パンドロ\nNiente di formale, è solo un'occasione per\ncantare, danzare e divertirsi.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パンドロ\nPotrete rilassarvi e magari ascoltare un\npo' gli altri ospiti e le loro storie.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nBenissimo, ma... a cosa serve la mia presenza\nse devo solo ascoltare?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08パンドロ\nMa come, non capite?! Sarebbe un enorme\nincoraggiamento per i fedeli!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パンドロ\nLa prima volta che vi ho vist\x0E\x0A\x00\x08\x02o\x02a con i miei occhi,\nè stato come vedere la luce!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nAhah, non esagerare.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08パンドロ\nEhm... scusate, mi sono lasciato prendere\nla mano.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08パンドロ\nComunque... mi rendo conto del poco preavviso,\nnon c'è bisogno che rispondiate subito.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パンドロ\nMa vi avverto, le mie feste sono sempre\neccezionali! Vi divertireste.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nVa bene, lo terrò a mente.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08パンドロ\nGrazie, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08リュール\nPandreo... scusami, ma ci ho pensato e\npreferisco rifiutare il tuo invito alla festa.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08パンドロ\nAh... troppe cose da fare? Magari la prossima\nvolta.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nNo, non sono impegnat\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08パンドロ\nE allora... posso chiedervi perché?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\nDa lontano la gente mi vede come una...\ndivinità, ma in realtà non sono niente\ndi speciale.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nPerché deludere tutti mostrando loro che\nil Drago Divino non è altro che... una persona?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08パンドロ\nÈ di questo che vi preoccupate? Devo avervi\ndato l'impressione sbagliata.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パンドロ\nQuando ero piccolo, voi avete salvato la mia\nvita.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nCome? Ma se dormivo...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08パンドロ\nBeh, i miei genitori erano poco affidabili.\nLasciarono me e mia sorella allo sbando.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08パンドロ\nMa un prete trasformò la mia vita con una\nprofezia poco conosciuta...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08パンドロ\n"Quando il giovane drago si sveglierà nella\nterra sacra del Somniel, il mondo sarà salvo."\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08パンドロ\nNonostante tutte le disgrazie, la speranza che\nil mondo potesse salvarsi mi fece andare avanti.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08パンドロ\nE non sono il solo. Tutti i fedeli hanno\ncontinuato a credere nel vostro risveglio.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08パンドロ\nQuindi non li deluderete. Siete la prova vivente\nche le loro speranze non sono state vane.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nOra capisco.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nMi hai convinto, Pandreo. Verrò alla festa.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08パンドロ\nOh, grazie! Grazie! Saranno tutti al settimo\ncielo quando vi vedranno.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nHo sognato o è accaduto veramente?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08パンドロ\nSono davvero andato a una festa con\nil Drago Divino?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nÈ stato bello vedere tutti che si divertivano.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08パンドロ\nAvete dato loro una ragione per aggrapparsi\na quella speranza. Non so come ringraziarvi.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nSono io a ringraziarti. La musica mi ha davvero\nmesso di buon umore.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nMi sento anche io speranzos\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08パンドロ\nE cosa vi avevo detto? Nessuna faccia delusa.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nÈ vero. Mi vergogno un po' ad aver rifiutato\nil tuo invito all'inizio.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nDevo essere forte, anche per tutti loro.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08パンドロ\nUn giorno riporterete la pace su questo mondo.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08パンドロ\nE io vi aiuterò come posso, nel mio piccolo.\nLi condurremo tutti verso un futuro migliore.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nAh, quasi dimenticavo di chiederti una cosa.\x0E\x04\x00\x00
