MID_Movie_S02	Una battaglia del passato
MID_H_Movie_S02	Il Drago Divino \x0E\x06\x03\x00 corre\nmentre alleati ed emblemi \x0E\x0A\x00\x0E\x06gli\x04le aprono\nla strada verso l'ultimo scontro.
MID_Movie_S03	Unione emblema!
MID_H_Movie_S03	L'emblema Marth e \x0E\x06\x03\x00 si\nuniscono, fondendo sé stessi e i loro\npoteri per sconfiggere il nemico.
MID_Movie_S04	L'evocazione del Re Eroico
MID_H_Movie_S04	L'anello emana una luce bluastra e\nlo spadaccino sognato da \x0E\x06\x03\x00\nappare. Il suo nome è emblema Marth.
MID_Movie_S05	La regina dei Draghi Divini
MID_H_Movie_S05	\x0E\x06\x03\x00 è quasi sopraffatt\x0E\x0A\x00\x08\x02o\x02a dai\nnemici, quando appare un drago bianco\nche l\x0E\x0A\x00\x08\x02o\x02a salva e poi prende forma umana.
MID_Movie_S06	Il racconto dell'Elyos
MID_H_Movie_S06	Sulla strada per il castello di Lythos,\nLumera racconta a \x0E\x06\x03\x00\ndell'Elyos e degli emblemi.
MID_Movie_S07	Ricordi scarlatti
MID_H_Movie_S07	Un\x0E\x0A\x00\x08\x02o\x02a spadaccin\x0E\x0A\x00\x08\x02o\x02a dai capelli rossi e dal\nsorriso sinistro è interrogat\x0E\x0A\x00\x08\x02o\x02a da Lumera,\nall'interno di un castello in fiamme.
MID_Movie_S08	Alfred
MID_H_Movie_S08	Il castello di Lythos è invaso da un\nmanipolo di nemici sconosciuti. Il\nprincipe di Firene si precipita a cavallo.
MID_Movie_S09	Addio alla regina
MID_H_Movie_S09	Il nemico lancia un incantesimo contro\n\x0E\x06\x03\x00. Lumera lo blocca, ma\nnon sopravvive all'attacco.
MID_Movie_S10	L'incontro con Veyle
MID_H_Movie_S10	\x0E\x06\x03\x00 subisce l'attacco di\nun'aberrazione, ma è salvat\x0E\x0A\x00\x08\x02o\x02a da una\nmisteriosa ragazzina dai poteri magici.
MID_Movie_S11	Diamant
MID_H_Movie_S11	Il principe ereditario di Brodia riceve\n\x0E\x06\x03\x00 e gli altri di fronte alle\nporte del castello di Brodia.
MID_Movie_S12	Ivy
MID_H_Movie_S12	La principessa ereditaria d'Elusia attacca\nil castello di Brodia e svela il piano del\npadre: impossessarsi di tutti gli emblemi.
MID_Movie_S13	Scontro al confine
MID_H_Movie_S13	La Brodia si scontra con l'Elusia.\nRe Morion quasi sconfigge re Hyacinth,\nma un emblema oscuro cambia le sorti.
MID_Movie_S14	Il Drago Maligno Sombron
