MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nYaaah!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nシトリニカ\nSigh. Proprio non mi riesce.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x02\x0C\nスタルーク\nSalve, Citrinne. È un allenamento magico quello\nche vedo?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nシトリニカ\nOh! Alcryst! Da dove sbuchi? Ti sei perso?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nスタルーク\nCome? No, passavo di qui.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nシトリニカ\nAh. È che sei spuntato così all'improvviso...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nスタルーク\nAmmiro questo impegno, Citrinne. Sempre\nintenta ad allenarti...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nスタルーク\nIn tutta la Brodia nessuno è tanto solerte.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nシトリニカ\nGrazie per le belle parole, Alcryst, però...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nシトリニカ\nL'allenamento che faccio non basta. Mi sento\nsempre indietro rispetto agli altri.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nシトリニカ\nDevo assolutamente diventare più forte, a tutti\ni costi.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nスタルーク\nDavvero? Non mi sembra ce ne sia bisogno.\nE poi ci sono io a proteggerti.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nシトリニカ\nGià. Sei sempre lo stesso Alcryst che da\nbambino metteva gli altri al primo posto.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nシトリニカ\nAd ogni modo... Non posso fare affidamento\nsolo sulla tua gentilezza.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nシトリニカ\nIn fondo io...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nスタルーク\nCitrinne?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nシトリニカ\nNon è niente. Non pensiamoci.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nシトリニカ\nDevo riprendere il mio allenamento. Con\npermesso, Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nスタルーク\nOh, uh... D'accordo, Citrinne...\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x01\x0C\nシトリニカ\n\x0E\x03\x02\x0C\nスタルーク\nQualcosa la preoccupa... ma cosa?\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nNon ho speranze. Sono ancora troppo debole.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nシトリニカ\nNon merito di essere l'attendente di Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x02\x0C\nスタルーク\nMi permetto di dissentire.\x0E\x04\x00\x00
