MID_TUT_BMAP_EVIL_MAGECANON_EN_TITLE	Mago artigliere
MID_TUT_BMAP_EVIL_MAGECANON_EN_0	I maghi artiglieri lanciano bombe a distanza.\nFai attenzione al raggio d'azione!
MID_TUT_BMAP_EVIL_MAGECANON_EN_1	L'area di attacco dei maghi artiglieri viene\nvisualizzata in modo diverso dal solito.
MID_TUT_HUB_WELL_TITLE	Pozzo antico
MID_TUT_HUB_WELL_0	Puoi gettare strumenti indesiderati nel pozzo.\nFacendolo, li perderai per sempre.
MID_TUT_HUB_WELL_1	Se torni al pozzo dopo almeno una battaglia,\nscoprirai che nuovi strumenti avranno preso\nil loro posto.
MID_TUT_HUB_WELL_2	Più alto è il valore dello strumento gettato, più\nalte saranno le possibilità di trovare uno\nstrumento di valore ancora più elevato.
MID_TUT_HUB_WELL_WEAPON_1	Il proprietario dell'armeria vuole parlarti.
MID_TUT_HUB_WELL_WEAPON_2	Vai al pozzo e cerca l'oggetto perduto\ndal proprietario dell'armeria.
MID_TUT_HUB_WELL_WEAPON_3	Hai trovato quello che cercavi!\nOra torna dal proprietario dell'armeria.
MID_TUT_GOD_CHROM_TITLE	Emblema Chrom
MID_TUT_GOD_CHROM_0	L'emblema Chrom e l'emblema Daraen\ncollaborano per sconfiggere i nemici con\nun mix di spada, magia e strategia.
MID_TUT_GOD_CHROM_1	L'abilità sincro "Agguato" impedisce al nemico\ndi contrattaccare se l'unità è su un terreno con\nbonus sulla schivata (Scv).
MID_TUT_GOD_CHROM_2	L'arma unione "Spada folgore" colpisce i nemici\nda lontano con attacchi magici a lungo raggio.
MID_TUT_GOD_CHROM_3	L'abilità unione "Altra metà" chiama Daraen\nche conferisce un bonus sulla magia (Mag) e\npartecipa agli attacchi concatenati.
MID_TUT_GOD_CHROM_4	L'attacco unione "Spada arcifolgore" è un colpo\nmagico che infligge grandi danni ai nemici con\nbassa resistenza.
MID_TUT_GOD_VERONICA_TITLE	Emblema Veronica
MID_TUT_GOD_VERONICA_0	L'emblema Veronica eccelle nell'uso di svariate\nabilità speciali, come l'evocazione di alleati da\naltri mondi.
MID_TUT_GOD_VERONICA_1	L'abilità sincro "Rappresaglia" aumenta la\npotenza d'attacco del 30% dei punti salute (PS)\nmancanti all'unità.
MID_TUT_GOD_VERONICA_2	L'arma unione "Hliðskjálf" impedisce al nemico\ndi contrattaccare quando l'unità inizia lo\nscontro.
MID_TUT_GOD_VERONICA_3	L'abilità unione "Contratto" permette agli alleati\nche hanno già agito di attaccare o usare uno\nstrumento.
MID_TUT_GOD_VERONICA_4	L'attacco unione "Evoca eroe" chiama un alleato\nda un altro mondo che si unisce alla battaglia.
MID_TUT_TIPS_Veronica	Emblema Veronica
MID_TUT_TIPS_Chrom	Emblema Chrom
MID_TUT_TIPS_Reflet	Emblema Daraen
MID_TIPS_OTHER_36	Se getti uno strumento nel pozzo antico, dopo la battaglia successiva troverai\nnello stesso posto uno strumento differente.
MID_TIPS_SKILL_34	Dopo aver sconfitto un nemico di livello più alto, il livello dell'unità aumenta\nfino al termine della battaglia.
MID_TIPS_SKILL_35	Per ogni turno in cui l'unità attende senza effettuare azioni, "Libro dei mondi"\navanza di un livello.
MID_TIPS_JOB_01	Puoi eliminare la maledizione dei lupi illusori con il bastone Ripristino.
MID_TIPS_GOD_35	Principessa dell'Impero Embliano da un altro mondo. Possiede il potere di manipolare\nportali verso altri mondi.
MID_TIPS_GOD_36	Giovane erede con il potere di controllare eroi di altri mondi come arma contro altre\nnazioni.
MID_TIPS_GOD_37	Principe del regno d'Ylisse, una terra di un altro mondo. Erede della leggendaria\narma Falchion.
MID_TIPS_GOD_38	Stratega con un legame indissolubile con Chrom. Il suo genio cambiò le sorti del\nconflitto e portò gli alleati alla vittoria.
