MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nSei il cuore di questo gruppo. Mi impegnerò\naffinché non ti accada nulla di male.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nGrazie infinite, Camilla. Ma non è il caso di\nstarmi così vicina, ti sento bene lo stesso.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nAdoro i tuoi capelli. Se non fossi incorporea,\nmi piacerebbe spazzolarteli.\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08リュール\nAh, ehm. È molto gentile da parte tua, ma mi\naccontenterò del pensiero.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nIl tuo sguardo risoluto tradisce tutte le difficoltà\nche hai dovuto affrontare.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nHo fatto molti sacrifici, è vero. Ma ne è valsa la\npena, per proteggere i miei amici.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x08\x06カミラ\nAllora, farò quanto in mio potere perché il tuo\ncammino ti conduca a un futuro radioso.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nGrazie, sono content\x0E\x0A\x00\x08\x02o\x02a di averti incontrata. Il\nnostro legame ha superato i limiti dello spazio\ne del tempo, e durerà per sempre.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nQuando vedo come ti prendi cura degli altri, mi\nsi scalda il cuore. Sei sempre così coscienzioso\ne affidabile.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nNe sono lusingato, lady Camilla. Ho imparato\nmolto dedicando la mia vita al Drago Divino.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nMi hanno detto che lavori a maglia. Ma è\nmeraviglioso! A me piace ricamare, tuttavia non\nposso definirmi un'esperta.\x0E\x04\x00\x00
