MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nSono un drago anch'io e ti offro volentieri il mio\npotere per aiutarti a porre fine a questa guerra.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04エル\nMi sento tranquilla, sapendoti al mio fianco.\nDiamoci da fare per riportare la pace, allora.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x06\x04エル\nVorrei che mi parlassi un po' di te, Corrin.\nHai molti fratelli, vero?\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x08\x06カムイ\nTi parlerò di loro con piacere.\nIn cambio, voglio che mi racconti di te, però.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nDavvero hai rischiato la vita per proteggere\ntuo fratello? Un tempo successe anche a me\nqualcosa del genere.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04エル\nRafal è quanto di più prezioso possiedo.\nVolevo proteggerlo e soprattutto desideravo\nche si sentisse accettato.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x08\x06カムイ\nTi capisco. Anch'io mi sentivo così. E sentivo\nanche l'esigenza di accettare le conseguenze\ndel cammino che avevo scelto.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nDevono essere accadute molte cose tra te\ne i tuoi fratelli. Dovrai raccontarmi il resto.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0C\nラファール\nQuindi, in te scorre il sangue dei Primi Draghi.\nVoglio proprio assistere alle tue prodezze\nin battaglia.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x08\x06カムイ\nAnche tu possiedi il potere dei draghi, vero?\nSono contenta di avere un altro drago accanto.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0C\nラファール\nHo sentito che anche tu ti trasformi in drago.\nInteressante. Devi essere molto potente.\x0E\x04\x00\x00
