MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0A\x08リュール\nOh no, che guaio che ho combinato...\x0E\x04\x02\x00
MID_RELIANCE_C_#002	Almeno i libri non sembrano danneggiati.\nMeglio raccoglierli prima che qualcuno...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nグレゴリー\nChe fai, Drago Divino?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nAh! Ciao, Gregory. Mi hanno chiesto di mettere\nun po' in ordine, ma...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nグレゴリー\nMa hai fatto cadere tutto, eh? Nemmeno il\nDrago Divino può portare tutto in una volta!\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Lascia che ti dia una mano. Così è più facile,\nno?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nGrazie.\x0E\x04\x02\x00
MID_RELIANCE_C_#008	Se ci diamo una mano a vicenda, non\ndovrebbero volerci troppi viaggi.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nグレゴリー\nA proposito, c'è qualche occasione particolare\nper queste pulizie?\x0E\x04\x02\x00
MID_RELIANCE_C_#010	Anzi, perché ti sei mess\x0E\x0A\x00\x08\x02o\x02a a pulire tu?\x0E\x04\x02\x00
MID_RELIANCE_C_#011	Voglio dire, non puoi chiedere ai tuoi alleati\ndi farlo al posto tuo?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nNon posso chiedere agli altri di fare il mio\nlavoro.\x0E\x04\x02\x00
MID_RELIANCE_C_#013	Voglio rendermi utile il più possibile, anche\nnelle faccende come questa.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nグレゴリー\nOh...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nBene, i libri ora sono a posto.\nSperiamo che non caschino di nuovo.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nグレゴリー\nChe buon cuore... spero che nessuno se ne\napprofitti...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nHai detto qualcosa?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nグレゴリー\nOh! No, no! Non ho detto niente.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nSiamo partiti con il sole e adesso è già buio\npesto.\x0E\x04\x02\x00
MID_RELIANCE_B_#002	Che avventura, eh?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nChi avrebbe mai detto che andare a fare\nacquisti potesse essere così complicato.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nグレゴリー\nPrima pensavamo che quel bambino si fosse\nperso, e invece stava cercando un gattino...\x0E\x04\x02\x00
MID_RELIANCE_B_#005	E alla fine per cercare il gatto ci siamo smarriti\nanche noi nel bosco.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nScusa, non pensavo che quel bosco fosse\ncosì grande...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nグレゴリー\nÈ colpa del gatto che si era andato a cacciare\nproprio dall'altra parte del bosco.\x0E\x04\x02\x00
MID_RELIANCE_B_#008	Ma in fondo ha fatto bene. Scappare e\nnascondersi è la migliore tecnica di\nsopravvivenza.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nPer fortuna, alla fine, il bambino e il gatto si\nsono ritrovati e tutto si è concluso per il meglio.\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Grazie per essere venuto con me.\nAbbiamo fatto più tardi del previsto.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nグレゴリー\nNon c'è bisogno di ringraziarmi, anche se\navremmo potuto svignarcela da tutto quel\ntrambusto...\x0E\x04\x02\x00
MID_RELIANCE_B_#012	Ma... non potevo lasciarti nei guai da sol\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nHai detto qualcosa?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nグレゴリー\nEh? No, niente. Piuttosto, non è ora di andare\na dormire?\x0E\x04\x02\x00
MID_RELIANCE_B_#015	Sicuramente i tuoi amici erano preoccupati per\nte e domani mattina ti sgrideranno.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nAhahah! Allora sarà meglio che mi prepari\npsicologicamente prima di andare a letto.\x0E\x04\x02\x00
MID_RELIANCE_B_#017	Buonanotte, Gregory. Vedrai che presto saprò\nricambiarti.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nグレゴリー\nNon vedo l'ora... ma non pensarci troppo per\nadesso. Sogni d'oro.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	...\x0E\x04\x02\x00
MID_RELIANCE_B_#020	Si è dat\x0E\x0A\x00\x08\x02o\x02a da fare tutto il giorno per aiutare\ngli altri, proprio come il Drago Divino del mio\nmondo...\x0E\x04\x02\x00
MID_RELIANCE_B_#021	Eheh... penso proprio di non aver bisogno\ndi stare all'erta quando sono con \x0E\x0A\x00\x10\x06lui\x06lei.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nDevo chiederti scusa, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nPer cosa? Non hai fatto niente di male, Gregory.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nDevo togliermi un peso dalla coscienza.\nDevo ammettere che finora non mi fidavo\ncompletamente di te.\x0E\x04\x02\x00
MID_RELIANCE_A_#004	Non ero sicuro di poterti considerare \x0E\x0A\x00"\x0Eun vero\x10una vera\nalleat\x0E\x0A\x00\x08\x02o\x02a, capisci?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nOh... davvero?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nグレゴリー\nTi ero grato per avermi invitato nel tuo mondo,\nanche se non riuscivo a capire bene il perché.\x0E\x04\x02\x00
MID_RELIANCE_A_#007	Mi hai accolto senza chiedermi niente.\nNon ero sicuro di potermi fidare.\x0E\x04\x02\x00
MID_RELIANCE_A_#008	Avevo paura che mi tradissi, e non riuscivo\nad abbassare la guardia con te.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nNe parli al passato, però. Significa che adesso\nriesci a fidarti di me?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nグレゴリー\nSì. Ho imparato tanto combattendo al tuo\nfianco e ho capito che il tuo cuore è sincero.\x0E\x04\x02\x00
MID_RELIANCE_A_#011	Sei divers\x0E\x0A\x00\x08\x02o\x02a dal Drago Divino del mio mondo,\nma anche simile in un certo senso...\x0E\x04\x02\x00
MID_RELIANCE_A_#012	Pensi agli altri prima che a te stess\x0E\x0A\x00\x08\x02o\x02a, anche\nse questa bontà rischia di metterti nei guai.\x0E\x04\x02\x00
MID_RELIANCE_A_#013	Lotti per un futuro migliore, sei sincer\x0E\x0A\x00\x08\x02o\x02a...\nNon vedo come potrebbe tradirci una persona\ncosì.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nNon ti tradirei mai.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nグレゴリー\nA dire il vero... mi vergogno di me per averlo\npensato.\x0E\x04\x02\x00
MID_RELIANCE_A_#016	Per non pensarci più, dammi un pugno.\nAnzi due. Colpiscimi tutte le volte che vuoi.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nCosa?! No, non potrei mai farti del male.\nSo quanto odi il dolore fisico.\x0E\x04\x02\x00
MID_RELIANCE_A_#018	E poi, è normale essere diffidenti quando\nsi incontrano persone nuove.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nグレゴリー\nSì, ma...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nE va bene, se non riesci a fartene una ragione,\ntieni. Prendi questo.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nグレゴリー\nEh? Cos'era? Non era certo un pugno!\nMi hai dato appena un colpetto sulla fronte.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リュール\nEd è tutto quello che avrai da me. Consideralo\nla mia punizione... e non parliamone mai più.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nグレゴリー\nAhahah... è stato quasi un dolore piacevole.\nNon mi ha dato fastidio affatto.\x0E\x04\x02\x00
MID_RELIANCE_A_#024	Grazie, Drago Divino. La mia forza è a tua\ndisposizione, ora più che mai.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0A\x08リュール\nCiao Gregory. C'è qualche problema?\x0E\x04\x00\x00
