MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nScusate, Drago Divino... vorrei parlarvi di\nqualcosa, se non è troppo disturbo.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nMh? No, nessun disturbo.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nMa prima, per favore, sciogliti un po'.\nGuarda che non mordo mica.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06メリン\nAhah, certo avete ragione.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06メリン\nMi ci è voluto un po' di coraggio per\nfarvi questa domanda.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06メリン\nSapete, sono un'amante delle bestie rare,\nsoprattutto i draghi.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nIo sarei... una bestia rara?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06メリン\nRar\x0E\x0A\x00\x08\x02o\x02a di sicuro. Siete l'unico Drago Divino al\nmondo!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06メリン\nSperavo mi poteste aiutare a capire la vostra\nspecie un po' meglio.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nAh, beh...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06メリン\nChe c'è?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nNiente, niente. Continua pure.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06メリン\nBene, allora la taglierò corta.\nDitemi, com'è una giornata tipica per voi?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nVediamo... qualcuno mi sveglia la mattina,\nfaccio colazione, e mi alleno tutta la mattina.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nIn realtà vivo come una persona normale.\nTi sono stat\x0E\x0A\x00\x08\x02o\x02a d'aiuto?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06メリン\nMolto! Dunque l'attività quotidiana è piuttosto\nsimile a quella degli umani...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nMa che fai, prendi appunti?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06メリン\nCerto. È ottimo materiale per il libro che sto\nscrivendo su di voi.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08リュール\nLibro?! Non ti sembra di esagerare?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06メリン\nCosa intendete? Le generazioni future meritano\ndi sapere tutto sul Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08リュール\nS-Se lo dici tu.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nUhm...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nMerrin, non riesco a concentrarmi se mi fissi\ncosì.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06メリン\nFate come se non ci fossi.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06メリン\nVi sto solo osservando per raccogliere materiale\nper il libro.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nE per quanto tempo hai in programma di farlo?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06メリン\nPer il tempo necessario.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06メリン\nNon vi preoccupate, non mi fermerò finché non\navrò catturato ogni minimo dettaglio!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nEh no! Adesso basta!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06メリン\nCosa... ma io volevo...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nNon voglio ascoltarti! Non trattarmi come una\ndelle tue bestie rare, va bene?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nSì, sono un drago, vivo più a lungo degli umani\ne ho certe abilità speciali.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nMa ho anche dei sentimenti e non mi piace\nessere studiat\x0E\x0A\x00\x08\x02o\x02a come un animale.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06メリン\nDrago Divino, sono desolata!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06メリン\nÈ solo che, per me... siete ben più che uman\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06メリン\nSiete una creatura divina e volevo che le\ngenerazioni future potessero capirlo.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06メリン\nCon la speranza che esse vi proteggano...\nProteggano l'unico e grande Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06メリン\nNon volevo farvi sentire come una specie rara.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\nLo so che non era tua intenzione. Va tutto bene.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06メリン\nNo, non va bene! Perché vi ho fatto sentire\ncosì, vero?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06メリン\nDimenticatevi del libro, smetterò di scriverlo.\nVi chiedo scusa, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リュール\nMerrin, davvero, è tutto a posto!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x0A\x08リュール\nMerrin, ascolta. Mi dispiace per come sono\nscoppiat\x0E\x0A\x00\x08\x02o\x02a l'altro giorno.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06メリン\n"Scoppiat\x0E\x0A\x00\x08\x02o\x02a" mi pare esagerato...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nNon avevo capito che mi stessi osservando\nper un atto d'amore.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06メリン\nNo, sono io dalla parte del torto, non voi.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06メリン\nNon ho tenuto in nessun conto come potessero\nfarvi sentire le mie azioni.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nSai, ora che ne abbiamo parlato, sarei felice\ndi poterti aiutare.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nNon ci sono molti libri sui Draghi Divini,\ne nessuno mi aveva mai fatto domande sulla\nmia vita, prima d'ora.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nMa tu vuoi rimediare a ciò, aiutare la gente\na conoscermi. È una cosa bella.\x0E\x04\x00\x00
