MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nLindon, ti cercava mia sorella.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リンデン\nAh, va bene. Scusatemi se siete dovuta venire\na cercarmi, principessa Hortensia.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nNon importa, avevo delle faccende in sospeso\nda queste parti. Mh? Ma che bel ritratto!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nChe bellissima ragazza...\nPer caso è vostra figlia?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リンデン\nQuesto grazioso ritratto raffigura la mia ancor\npiù graziosa moglie.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nÈ davvero bella. Sei fortunato!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リンデン\nSe fosse qui, apprezzerebbe le vostre parole,\nne sono sicuro.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nPresentamela un giorno di questi. Mi piacerebbe\nincontrarla.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リンデン\nLa vedo difficile, purtroppo... Ci ha lasciati da\ntempo, ormai.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nOh... Chiedo scusa. Non sapevo...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リンデン\nMh, non preoccupatevi, principessa Hortensia.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リンデン\nAbbiamo cresciuto tre figli, che ora sono grandi\ne hanno le loro vite.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リンデン\nA lungo mi sono occupato di addestrare giovani\nmaghi, e credo che mia moglie sia felice per me,\nmentre riposa serenamente.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nHai ottenuto successi straordinari, Lindon.\nSono sicura che lei ne sarebbe orgogliosa.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nSai che ti dico? Perché non diventi il mio\ninsegnante privato? Potrei imparare molte\ncose da te.\x0E\x04\x00\x00
