MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0A\x08リュール\nQuest'isola ha una strana atmosfera... Sembra\nemanare un'energia magica.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x08\x06セリカ\nAssomiglia molto a un luogo che c'era nel mio\nmondo, dove si trovava il Tempio del Mare.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08リュール\nAh, sì? Che posto era?\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x08\x06セリカ\nEra un'isola dello stretto di Novis, nel mare di\nZofia, dove si trovava una caverna con un altare\ndedicato alla dea Mila.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0A\x08リュール\nMagari ce n'è uno simile anche qui.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x08\x06セリカ\nAll'epoca avevo appena iniziato la mia\navventura. Sapevo poco del mondo.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x08\x06セリカ\nAvevo le mie idee e non ascoltavo i miei alleati.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x0A\x08リュール\nA vederti adesso non si direbbe.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x08\x06セリカ\nAllora visitai il Tempio di Mila nella speranza\ndi scoprire come salvare la mia patria.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x08\x06セリカ\nMa scoprimmo che sull'isola si trovava un\nterribile necrodrago che avrebbe potuto\nucciderci tutti.\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x08\x06セリカ\nE questo subito dopo aver scacciato una banda\ndi pirati... Che vita spericolata.\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x0A\x08リュール\nDirei che hai aiutato molta gente durante i tuoi\nviaggi.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x08\x06セリカ\n\x0E\x06\x03\x00, al posto mio avresti fatto\nla stessa cosa?\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x0A\x08リュール\nCerto. Neanche io riesco a ignorare una richiesta\ndi aiuto. Non bado al pericolo, in quei casi.\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x08\x06セリカ\nSo che l'avresti fatto. Sei forte e coraggios\x0E\x0A\x00\x08\x02o\x02a.\nForse è questa la ragione che ci ha condott\x0E\x0A\x00\x08\x02i\x02e\nqui.\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x02\x0A\x08リュール\nNon capisco. In che senso?\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x08\x06セリカ\nIn questo luogo verrai sottopost\x0E\x0A\x00\x08\x02o\x02a a una sfida.\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x02\x08\x06セリカ\nSe la supererai, il nostro legame diventerà\nancora più forte.\x0E\x04\x00\x00
MID_OP1_#019	\x0E\x03\x02\x08\x06セリカ\nAvanti, sfodera le tue armi e dimostrami di\navere coraggio.\x0E\x04\x00\x00
MID_OP1_#020	\x0E\x03\x02\x0A\x08リュール\nVincerò io, aspetta e vedrai!\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06セリカ\x02b\n\x0E\x05\x01\x14\x06セリカ\nSmile\n\x0E\x03\x02\x08\x06セリカ\nÈ tutto pronto per la battaglia. Cominciamo.\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nContinuano ad arrivare rinforzi nemici.\nCi conviene liberarci al più presto di chi li sta\nchiamando...\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06セリカ\x02b\n\x0E\x05\x01\x18\x06セリカ\x0ESerious\n\x0E\x03\x02\x08\x06セリカ\n\x0E\x06\x03\x00, sei gentile, sai.\x0E\x04\x00\x00
MID_BT1_#002	\x0E\x05\x01\x10\x06セリカ\x06Sad\n\x0E\x03\x02\x08\x06セリカ\nMa, purtroppo, la gentilezza da sola non basta\na salvare il mondo.\x0E\x04\x00\x00
MID_BT1_#003	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nLo so. Ci vuole anche la forza.\x0E\x04\x00\x00
MID_BT1_#004	\x0E\x05\x01\x14\x06セリカ\nAngry\n\x0E\x03\x02\x08\x06セリカ\nSì, se possiedi solo una di queste due qualità,\nsei destinat\x0E\x0A\x00\x08\x02o\x02a a fallire. Sono entrambi aspetti\nindispensabili. Vediamo se li possiedi!\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06セリカ\x02b\n\x0E\x05\x01\x14\x06セリカ\nSmile\n\x0E\x03\x02\x08\x06セリカ\nSembri felice, Alfred.\x0E\x04\x00\x00
