MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nミスティラ\nEhi, Merrin! Sembri persa nei tuoi pensieri.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06メリン\nIn effetti è così, mia principessa.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nミスティラ\nE cosa ti turba?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06メリン\nStavo pensando al mio villaggio e al motivo\nper cui l'ho lasciato.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nミスティラ\nAh, sì... non volevi diventare la prossima\nmatriarca del villaggio, no?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06メリン\nSì, è così.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06メリン\nEra mio destino succedere a mia madre, ma il\nmio sogno era quello di diventare una cavaliera.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06メリン\nPer me era inaccettabile, e così partii.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nミスティラ\nEri uno spirito libero, anche allora.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06メリン\nNon mi definirei uno spirito libero, proprio no.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06メリン\nMa dopo aver viaggiato a lungo senza meta...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06メリン\n... incontrai una ragazza che cavalcava un lupo.\nLei sì che era uno spirito libero.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nミスティラ\nAhahah! Parli di me?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06メリン\n"Spirito libero" non ti rende onore. Riuscisti a\nsbaragliare da sola un'intera banda di ladri.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nミスティラ\nE tu spuntasti dal nulla per venire in mio aiuto.\nNon lo dimenticherò mai.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06メリン\nNemmeno io, mia principessa.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06メリン\nSul momento non lo capii, ma quell'incontro\ncasuale cambiò la mia vita per sempre.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x0C\nミスティラ\nSai, quando siamo così intorno al fuoco, non\nriesco a non pensare ai bei vecchi tempi.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06メリン\nSì, quante ne abbiamo passate insieme,\ndopo il nostro primo incontro.\x0E\x04\x00\x00
