MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nAhia.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nSer Lindon? Qualcosa non va?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リンデン\nMi scoccia ammetterlo, ma di recente soffro\ndi un terribile mal di schiena.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リンデン\nNon c'è allenamento che tenga. Anche\nun cavaliere reale elusiano deve fare\ni conti con la vecchiaia, ahimè.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nヴァンドレ\nSciocchezze. Siete un saggio di talento e, a mio\nmodesto parere, non avete perso colpi.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リンデン\nLa mia mente è quella di un tempo, è vero, ma\nil mio declino fisico è ciò che mi preoccupa.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リンデン\nAnche tu non sei più un giovanotto. Ti senti\nancora in forma come un tempo, per caso?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nヴァンドレ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nヴァンドレ\nNon nego di non avere la stessa energia e\ngli stessi riflessi che avevo in gioventù.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nヴァンドレ\nMa ciò che ho perso dal punto di vista fisico,\nl'ho guadagnato in esperienza.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nヴァンドレ\nÈ inutile lagnarsi. Ci tocca fare quel\nche possiamo con il corpo che abbiamo.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リンデン\nAhahah, che furbastro! Questa me la devo\nsegnare.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リンデン\nGli anni avanzano, ma non gliela darò vinta\na quei giovincelli!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nヴァンドレ\nBen detto, ser Lindon.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リンデン\nUna parte di me vorrebbe anche tirare\nil fiato e godersi gli ultimi anni di vita.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リンデン\nMa alla fine mi hai convinto. Ho ancora\nqualcosa da dare a questo mondo.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nMmmh...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nQualcosa non va, ser Lindon?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リンデン\nHo trovato un tomo molto interessante.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リンデン\nCon queste informazioni potrei riuscire a\nsviluppare un nuovo tipo di incantesimo.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nヴァンドレ\nInteressante davvero. Che tipo di incantesimo?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リンデン\nForse non ci crederai, ma è un incantesimo\nper ritornare giovani.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nヴァンドレ\nMa non può esistere una magia così potente...\no sì?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リンデン\nPer ora è solo una teoria. Non garantisco che\npossa avere un riscontro pratico.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リンデン\nMa se dovesse avere successo, potremmo\ntornare a combattere nel pieno delle nostre\nforze.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リンデン\nGià così non me la cavo male, ma se potessi\ntornare giovane, non avrei rivali sul campo\ndi battaglia.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リンデン\nMa al di là della guerra... una magia del genere\nsarebbe di enorme aiuto alla società tutta.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リンデン\nSe mai riuscissi a fare qualche progresso in\nquesta ricerca, sarai il primo a usufruirne.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nヴァンドレ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nヴァンドレ\nSembra davvero un sogno. Purtroppo, però,\nsono costretto a rifiutare.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リンデン\nChe assurdità! Non vorresti ritrovare la tua\ngiovinezza?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nヴァンドレ\nCome vi ho detto sono soddisfatto di fare\nquello che riesco con il corpo che mi ritrovo.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nヴァンドレ\nTrasmetto le mie conoscenze ai più giovani.\nIl mondo ha anche bisogno di mentori, non\nsolo di guerrieri.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リンデン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リンデン\nE va bene, come vuoi. È encomiabile il modo\nin cui segui i tuoi princìpi.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リンデン\nMa se il mio esperimento dovesse funzionare,\nscommetto che cambierai idea.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08リンデン\nEheh, chi vivrà vedrà, dico bene?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nSer Lindon, come procede il vostro lavoro di\nricerca sulla magia ringiovanente?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リンデン\nAhah, l'esperimento è fallito miseramente.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リンデン\nCredo sia a causa di un errore nel tomo\nche stavo leggendo.\x0E\x04\x00\x00
