MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nHYAAA!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nザフィーア\nE dieci! Chi è il prossimo?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x02\x0E\x0Cディアマンド\nComplimenti, Saphir.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nザフィーア\nPrincipe Diamant! Non vi avevo visto.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nFa parte del mio lavoro tenere d'occhio i miei\nsoldati.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nザフィーア\nOh, con me non ce n'è bisogno. Sono in forma\nsmagliante, sempre pronta per una battaglia!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nTi conosco abbastanza da sapere che queste\nnon sono parole a vuoto. Sono sicuro che tu\nsappia cavartela in ogni situazione.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nCome ad esempio... un combattimento\ninaspettato. Hai tempo per un allenamento\nal volo?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nザフィーア\nCon voi, principe? Mi dispiace, ma non posso!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nMa certo che puoi. O non vorrai dirmi che\nnon ti senti all'altezza...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nザフィーア\nSento di aver bisogno di molto allenamento\nprima di essere pronta a sfidarvi.\x0E\x04\x00\x00
