MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0A\x08ヴェイル\n...! Griss...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nLady Veyle... sembri scossa, è successo\nqualcosa?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ヴェイル\nOh, niente, ehm...Gregory. Scusami, non\nbadare a me.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nグレゴリー\nA dire il vero, sono contento di averti incontrata.\nÈ da un po' che desideravo parlarti.\x0E\x04\x02\x00
MID_RELIANCE_C_#005	Invece di stare qui, che ne diresti di sederci\nvicino a quel tronco per chiacchierare un po'\ncon calma?\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Uhm... ma non ho niente da usare come\ncoperta. Avrei dovuto pensarci prima.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ヴェイル\nNo. Non ti preoccupare, possiamo anche\nparlare in piedi.\x0E\x04\x02\x00
MID_RELIANCE_C_#008	Oppure puoi sederti tu sul tronco, io sto bene\nper terra.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nグレゴリー\nCosa? Assolutamente no, non potrei mai\nchiederti una cosa del genere.\x0E\x04\x02\x00
MID_RELIANCE_C_#010	Ti prego, prendi tu il tronco. Mi sentirei a\ndisagio se ti dovessi sedere per terra a causa\nmia.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ヴェイル\nScusa, non volevo metterti in difficoltà.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nグレゴリー\nNo, non devi scusarti! Volevo solo...\x0E\x04\x02\x00
MID_RELIANCE_C_#013	Un momento, ma tu stai tremando.\nStai bene?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ヴェイル\nSto bene. Ma tu fai riaffiorare in me vecchi\nricordi.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nグレゴリー\nRicordi del me stesso di questo mondo?\x0E\x04\x02\x00
MID_RELIANCE_C_#016	A giudicare dalla tua espressione, non\nsembrano piacevoli.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ヴェイル\nScusa, Gregory. So bene che non sei la stessa\npersona.\x0E\x04\x02\x00
MID_RELIANCE_C_#018	È solo che, ecco...\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nグレゴリー\nLo capisco, non serve che mi spieghi. Ti metto\nin imbarazzo. Possiamo parlare un'altra volta.\x0E\x04\x02\x00
MID_RELIANCE_C_#020	A me basta aver visto il tuo volto e ascoltato\nla tua voce. Ti prego, non preoccuparti per me.\x0E\x04\x02\x00
MID_RELIANCE_C_#021	Ora tolgo il disturbo, lady Veyle.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08ヴェイル\nSembra identico a Griss... ma non potrebbero\nessere più diversi. Dovrei cercare di essere più\namichevole.\x0E\x04\x00\x00
