MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x00\x10\nディミトリ\x023\n\x0E\x03\x00\x0E\x08クロード\x024\n\x0E\x03\x02\x0A\x08リュール\nQuesto bracciale contiene un emblema.\nMa al suo interno... la situazione è complicata.\x0E\x04\x02\x00
MID_OP1_#002	Credo di sapere il sortilegio da usare.\x0E\x04\x02\x00
MID_OP1_#003	Guidaci, emblema dei Rivali!\x0E\x04\x00\x00
MID_OP1_2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x00\x10\nディミトリ\x023\n\x0E\x03\x00\x0E\x08クロード\x024\n\x0E\x03\x02\x10\x0Eエーデルガルト\nFinalmente liberi. Io sono l'emblema Edelgard.\x0E\x04\x00\x00
MID_OP1_2_#002	\x0E\x03\x02\x0C\nディミトリ\nPiacere. Sono l'emblema Dimitri.\x0E\x04\x00\x00
MID_OP1_2_#003	\x0E\x03\x02\x0A\x08クロード\nE io sarei l'emblema Claude. Salve.\x0E\x04\x00\x00
MID_OP1_2_#004	\x0E\x03\x02\x0A\x08リュール\nUn bracciale piuttosto affollato...\x0E\x04\x02\x00
MID_OP1_2_#005	Oh, scusate, dovrei presentarmi anch'io. Sono\nil Drago Divino \x0E\x06\x03\x00.\x0E\x04\x02\x00
MID_OP1_2_#006	È chiaro che non venite dall'Elyos. Posso\nchiedervi cosa fate qui?\x0E\x04\x00\x00
MID_OP1_2_#007	\x0E\x03\x02\x10\x0Eエーデルガルト\nFino a non molto tempo fa, eravamo i guardiani\ndi un altro mondo. A quanto pare, siamo stati\nrimossi dal nostro incarico.\x0E\x04\x02\x00
MID_OP1_2_#008	\x0E\x03\x02\x0A\x08リュール\nHo come l'impressione che siate qui per\nmettermi alla prova.\x0E\x04\x00\x00
MID_OP1_2_#009	\x0E\x03\x02\x10\x0Eエーデルガルト\nNon ci servono prove. Sei già stat\x0E\x0A\x00\x08\x02o\x02a abbastanza\nabile da evocarci.\x0E\x04\x02\x00
MID_OP1_2_#010	Ottimo tempismo, tra l'altro. Le nostre\nconversazioni stavano cominciando a diventare\ntediose.\x0E\x04\x00\x00
MID_OP1_2_#011	\x0E\x03\x02\x0A\x08クロード\nParla per te. A parer mio, i racconti di Dimitri\nerano sempre più interessanti a forza di sentirli.\x0E\x04\x00\x00
MID_OP1_2_#012	\x0E\x03\x02\x0C\nディミトリ\nE le interruzioni sarcastiche aumentavano di\npari passo. Una pura coincidenza, immagino.\x0E\x04\x00\x00
MID_OP1_2_#013	\x0E\x03\x02\x0A\x08リュール\nMi sembrate... molto affiatati.\x0E\x04\x00\x00
MID_OP1_2_#014	\x0E\x03\x02\x10\x0Eエーデルガルト\nL'apparenza inganna.\x0E\x04\x00\x00
MID_OP1_2_#015	\x0E\x03\x02\x0C\nディミトリ\nMa davvero, Edelgard?\x0E\x04\x00\x00
MID_OP1_2_#016	\x0E\x03\x02\x0A\x08クロード\nScherza. Lo si capisce dall'espressione sul suo\nviso, che poi è la stessa che ha quando è seria.\x0E\x04\x00\x00
MID_OP1_2_#017	\x0E\x03\x02\x10\x0Eエーデルガルト\nAhahah. Siamo sempre stati in competizione.\nSarà un piacevole diversivo allearci a te.\x0E\x04\x00\x00
MID_OP1_2_#018	\x0E\x03\x02\x0C\nディミトリ\nLascia che ti spieghi. Eravamo tutti allievi\ndell'Accademia Ufficiali, ma guidavamo case\ndiverse.\x0E\x04\x00\x00
MID_OP1_2_#019	\x0E\x03\x02\x0A\x08リュール\nAh, ora capisco la competizione.\x0E\x04\x00\x00
MID_OP1_2_#020	\x0E\x03\x02\x10\x0Eエーデルガルト\nGià. Ci riunivamo davvero solo per le occasioni\nspeciali, come la battaglia dell'Aquila e del\nLeone.\x0E\x04\x00\x00
MID_OP1_2_#021	\x0E\x03\x02\x0C\nディミトリ\nSi tratta di una battaglia simulata organizzata\ntradizionalmente per celebrare le qualità di\nciascuna casa.\x0E\x04\x00\x00
MID_OP1_2_#022	\x0E\x03\x02\x10\x0Eエーデルガルト\nLa vera celebrazione avvenne dopo la battaglia.\nQuella notte i festeggiamenti furono a dir poco\nesuberanti.\x0E\x04\x00\x00
MID_OP1_2_#023	\x0E\x03\x02\x0A\x08クロード\nDimitri sembra tanto un santarellino, ma non\nlasciarti ingannare, \x0E\x06\x03\x00.\x0E\x04\x02\x00
MID_OP1_2_#024	Che resti tra noi, ma alle feste si scatena.\x0E\x04\x02\x00
MID_OP1_2_#025	Sono stupito che non abbiano mai espulso la\nsua casa, con tutto quello che hanno combinato.\x0E\x04\x00\x00
