MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\nMhmh...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nMmmh...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06モーヴ\nSer Vander. Ho notato che mi stai seguendo.\nPotrei saperne il motivo?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nヴァンドレ\nI tuoi sensi sono all'erta. Il popolo non potrebbe\ndesiderare un difensore più valido.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06モーヴ\nMi stai tenendo d'occhio?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nヴァンドレ\nNulla di personale, normale amministrazione.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06モーヴ\nCosa c'è? Temi che possa di nuovo voltare\nle spalle ai miei alleati?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nヴァンドレ\nNon è quello che ho detto.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nヴァンドレ\nVero è che non tutti si fidano ancora di te.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06モーヴ\nComprensibile... Ho molte cose di cui rendere\nconto.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06モーヴ\nSpero di guadagnarmi la fiducia di tutti, ma\ncapisco il bisogno di tenermi sotto sorveglianza.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nヴァンドレ\nNon è una vera e propria sorveglianza. Mi limito\na osservarti da lontano.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06モーヴ\nSto lavorando con impegno per guadagnarmi\nla vostra fiducia.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nヴァンドレ\nIl tuo impegno è apprezzabile, ma la fiducia è\nun bene prezioso più facile da perdersi che da\nguadagnarsi.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06モーヴ\nLo so bene, ahimè...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06モーヴ\nVander mi odia. E non me ne stupisco, visto\ncosa ho fatto alla regina Lumera.\x0E\x04\x00\x00
