MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nNiente è più rilassante del lavoro a maglia.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x00\x10\nザフィーア\x021\n\x0E\x03\x02\x0C\nザフィーア\nOh, Vander! Non mi aspettavo di trovarti\nintento a... sferruzzare?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nヴァンドレ\nSaphir, sei tu.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nヴァンドレ\nPiano con quella voce. È un lavoro delicato, e se\nmi spaventi rischio di fare qualche pasticcio.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nザフィーア\nAh. Chiedo scusa.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nザフィーア\nEro solo sorpresa di vederti lavorare a maglia.\nÈ un tuo passatempo?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nヴァンドレ\nSì. Ma cosa ci sarebbe di strano? Non ne hai tu,\ndi passatempi?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nザフィーア\nSono una cavaliera nel corpo e nell'anima.\nMi basta allenarmi, non mi serve altro.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nヴァンドレ\nNon si finisce mai di imparare nel\ncombattimento. Eppure anche un passatempo\ncome questo può avere le sue utilità in battaglia.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nザフィーア\nAh sì? E come?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nヴァンドレ\nIl lavoro a maglia consiste in una serie di gesti\nripetitivi e precisi.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nヴァンドレ\nSe vai di fretta, il lavoro non viene bene.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nヴァンドレ\nNon ti pare che succeda lo stesso in battaglia?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nザフィーア\nBeh, in effetti hai ragione. Non ci avevo mai\npensato.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nヴァンドレ\nAllora? Ti interessa imparare a lavorare\na maglia?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nザフィーア\nMa sì, perché no?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nヴァンドレ\nOttimo, ti insegnerò a destreggiarti con gli aghi.\nTi piacerà, vedrai.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nSaphir, hai saltato un anello qui.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nザフィーア\nUgh... È vero. Stupidi anelli, non se ne stanno\nfermi dove dovrebbero...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nヴァンドレ\nCalma. Non avere fretta o rischi di trovarti\ncon un ammasso di nodi.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nザフィーア\nTroppo tardi. Ho perso il conto dei nodi, ormai.\nSembra una vecchia rete da pesca.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nヴァンドレ\nMmmh... Vediamo... Devi disfare questi ultimi\npunti e ricominciare.\x0E\x04\x00\x00
