MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x02\x0E\x0Cオルテンシア\nOrmai nel nostro gruppo ci sono fin troppe\npersone carine. Inammissibile.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nCome faccio a essere la più carina con tutta\nquesta concorrenza?!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nNon dire una parola di più!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nE tu chi...?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06アンナ\nSono la migliore amica delle fanciulle\nin difficoltà: l'unica... l'inimitabile... signorina\nAnna!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06アンナ\nSe è la bellezza che cerchi, la mia linea di\nprodotti per la cura del corpo è ciò che fa\nal caso tuo, principessa!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nInteressante...! Ma tieni conto che di solito sono\nmolto esigente.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06アンナ\nI miei clienti sono sempre soddisfatti. Non\nricevo lamentele.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06アンナ\nComunque i prodotti in offerta di oggi sembrano\npensati apposta per te! Fossi in te ci farei un\npensierino.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nPerò, che piglio. Fammeli vedere, dai.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06アンナ\nSubito!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06アンナ\nCominciamo da questo fard rosa. Ne basta un\nvelo al mattino, per una copertura completa\nfino alla sera!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nOooh...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06アンナ\nHo anche rossetti, saponi, lozioni... e persino\nun cristallo magico contro i capelli opachi.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06アンナ\nE per concludere una trousse arcobaleno, dove\nmettere tutto. È carina già solo a vederla!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nAdoro! Compro tutto! Tutto!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06アンナ\nGrazie per l'acquisto! Oooh, che affaroni!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cオルテンシア\nPiù che meritati! Sembrano uno meglio\ndell'altro i tuoi prodotti! E ora diventerò\nancora più carina!\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06アンナ\nPermettimi una breve ricerca di mercato: come\nmai vuoi essere carina, principessa Hortensia?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cオルテンシア\nMa perché più sei carina, più piaci alla gente,\novvio.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06アンナ\nQuindi è un problema di popolarità per te, eh?\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0E\x0Cオルテンシア\nEsatto. Ma ora vado. Non vedo l'ora di provare\ntutti questi fantastici prodotti e accessori.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0E\x0Cオルテンシア\nA presto, signorina Anna!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06アンナ\nSei triste, principessa Hortensia?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nHo provato i tuoi prodotti, ma non sono sicura\nche vadano bene per me.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06アンナ\nStai dicendo... che sei una cliente insoddisfatta?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nNo, non è quello... Ma forse mi ero fatta troppe\naspettative e non erano all'altezza.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06アンナ\nFossi in te non ne sarei così sicura! I miei\nprodotti sono testati, adatti a tutti e ottimi.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06アンナ\nHo anche ampliato l'offerta. Adesso vendo\npure un profumo magico.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nUn profumo magico? Che roba è?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06アンナ\nIl suo aroma incantato ti renderà ancora più\ncarina agli occhi degli altri.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06アンナ\nL'effetto non dura molto, ma è molto potente.\nParola mia!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nMa se quello che dici è vero... è incredibile!\x0E\x04\x00\x00
