MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0A\x08リュール\nDove ci troviamo, Lucina? Percepisco uno\nstrano potere magico.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x08\x06ルキナ\nSembrerebbe l'Arena Ferox. Strano.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08リュール\nFerox? È un luogo che appartiene al tuo mondo,\nvero?\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x08\x06ルキナ\nSì. I Ferox sono un regno diviso in una parte\norientale e una occidentale, ciascuna governata\nda un khan militare. Si controllano a vicenda.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x08\x06ルキナ\nRegolarmente si tiene un torneo per stabilire\nchi sarà il prossimo khan ad avere il potere.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x08\x06ルキナ\nÈ in questa arena che mi sono scontrata\ncontro mio padre.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x0A\x08リュール\nTi ha insegnato lui a maneggiare la spada?\nDeve essere stato uno scontro epico.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x08\x06ルキナ\nSì, è stato un duro combattimento. Non sapeva\nche ero io, così non ha risparmiato colpi.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x08\x06ルキナ\nCerto mi aveva allenata bene, ma quella fu\nla prima volta in cui sperimentai per davvero\ntutta la sua forza.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x08\x06ルキナ\nForse è per questa ragione che questo è il luogo\nadibito alla sfida.\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x0A\x08リュール\nSfida? Cosa intendi dire?\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x08\x06ルキナ\nEntrambi percepiamo uno strano potere.\nDescrivimelo, dimmi che impressione ti fa.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x0A\x08リュール\nSembra quasi il tuo potere... Ma proviene da\nlontano.\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x08\x06ルキナ\nMolto bene. Battiamoci, allora. Se supererai\nla sfida, il nostro legame diventerà più forte.\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x08\x06ルキナ\nE, con un legame più forte, riuscirai ad attingere\nancora di più al mio potere da emblema.\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x02\x0A\x08リュール\nSpero di imparare molto da questa arena,\nproprio come te.\x0E\x04\x00\x00
