MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\n♪ Spasso, spasso per tutti! Suono la chitarra\ne compro dei frutti! ♪\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nミスティラ\n♪ Non vedo l'ora di vedere la gente...\nE ballare, e scuotere la chioma fluente! ♪\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nCiao, principessa Timerra.\nSei di buon umore, vedo.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nミスティラ\nEheheh... da cosa l'hai capito?\nStavo andando in città.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nDa sola? Senza guardie e accompagnatori?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nミスティラ\nSì! Vado in incognito, e se vuoi puoi venire\nanche tu!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nGrazie, ma non posso... sta per cominciare\nil mio allenamento quotidiano.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nミスティラ\nAh, che peccato.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nミスティラ\n♪ Sarebbe bello andar col principe per pascoli,\nma è troppo impegnato a farsi i muscoli! ♪\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nUhm.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nNon voglio impicciarmi degli affari degli\naltri regni, ma...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nSe hai tutto questo tempo da perdere ballando,\npotresti usarne un po' per allenarti.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nミスティラ\nNon vedo come una cosa escluda l'altra.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nミスティラ\nE poi passare il tempo con la gente del popolo\nmi rende una principessa migliore.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nミスティラ\nProprio come l'allenamento rende te\nun principe migliore. Mi capisci?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nNon credo... io mi alleno per diventare più forte\ne proteggere meglio il mio popolo.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nミスティラ\nE allora vedi che ci capiamo? Io parlo con\nla mia gente per proteggerla meglio.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nミスティラ\nDopotutto, non posso proteggere qualcuno\nche non conosco.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nCapisco...\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nÈ un punto di vista interessante. Ci penserò\nsu mentre mi alleno.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\n♪ Lalalà... ♪\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x02\x0E\x0Cディアマンド\nSempre a divertirti, principessa Timerra?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nミスティラ\nSì, sempre! E tu sempre ad allenarti?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nOggi no. Anzi, volevo accompagnarti nella tua\npasseggiata in città. Potrei imparare qualcosa.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nミスティラ\nOooh! Quindi oggi ci divertiamo insieme?\nGrande!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nミスティラ\nAllora questo mi sembra il posto migliore\nper cominciare a spassarcela!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nQui? E che dovremmo fare in questo luogo\npubblico?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nミスティラ\n♪ Oggi è il giorno in cui canto per la gente! ♪\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nミスティラ\n♪ Forza, principe Diamant! Unisciti a me! ♪\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nI-Io?! Ma non era quello che intendevo...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nミスティラ\n♪ Ma guarda un po'! Chi l'avrebbe mai detto\nche il grande principe è un fifone? ♪\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nSono il principe ereditario di Brodia, non sono\nun fifone.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nDammi un attimo... ecco...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cディアマンド\n♪ Oh, Brodiaaa, terra di forze e potenza,\ndei malvagi non v'è parvenza... ♪\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cディアマンド\n♪ Oh nooo, adesso tutti mi guardano...\nChe faccio, principessa Timerra...? ♪\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nミスティラ\n♪ Continua a cantare, non essere\nimpacciatooo... ♪\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x04\x03\x04
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nPant pant... è stato molto più faticoso del mio\nsolito allenamento...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nミスティラ\nBene, allora come è stato fare le cose a modo\nmio, per una volta?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nÈ così che interagisci col tuo popolo? E lo fai di\ncontinuo?\x0E\x04\x00\x00
