MID_PLACE_Filene	Firene
MID_PLACE_Brodia	Brodia
MID_PLACE_Ircion	Elusia
MID_PLACE_Solum	Solm
MID_PLACE_Lithos	Lythos
MID_PLACE_Gradron	Gradlon
MCID_M000_PREFIX	Prologo
MCID_M000	Gli emblemi
MCID_M000_PLACE	Castello di Lythos
MCID_M001_PREFIX	Capitolo 1
MCID_M001	Il risveglio
MCID_M001_PLACE	Piana del Lythos
MCID_M002_PREFIX	Capitolo 2
MCID_M002	Regina Lumera
MCID_M002_PLACE	Giardini del castello di Lythos
MCID_M003_PREFIX	Capitolo 3
MCID_M003	Ostilità
MCID_M003_PLACE	Sala degli anelli
MCID_M004_PREFIX	Capitolo 4
MCID_M004	Una terra in fiore
MCID_M004_PLACE	Villaggio Mulini di Florra
MCID_M005_PREFIX	Capitolo 5
MCID_M005	Ripresa del castello
MCID_M005_PLACE	Castello di Firene
MCID_M005_OUTLINE	L'Elusia ha invaso il castello di\nFirene, e l'armata del Drago Divino\nsi precipita dalla regina Ève.
MCID_M006_PREFIX	Capitolo 6
MCID_M006	L'anello rubato
MCID_M006_PLACE	Villaggio montano
MCID_M006_OUTLINE	Liberato il castello, il gruppo si\nreca in un santuario che ospita\nl'anello della Fanciulla della Luce.
MCID_M007_PREFIX	Capitolo 7
MCID_M007	L'emblema oscuro
MCID_M007_PLACE	Grande Passaggio
MCID_M007_OUTLINE	Il gruppo prova a superare il\nconfine per ottenere l'anello\naffidato al regno di Brodia.
MCID_M008_PREFIX	Capitolo 8
MCID_M008	Il regno dei guerrieri
MCID_M008_PLACE	Castello di Brodia
MCID_M008_OUTLINE	Respinto un attacco elusiano,\nl'armata del Drago Divino arriva a\ndestinazione al castello di Brodia.
MCID_M009_PREFIX	Capitolo 9
MCID_M009	Scontro tra potenze
MCID_M009_PLACE	Forte al confine
MCID_M009_OUTLINE	Il Drago Divino e re Morion si\ndirigono al confine con l'Elusia per\naccettare la sfida di re Hyacinth.
MCID_M010_PREFIX	Capitolo 10
MCID_M010	Il Drago Maligno Sombron
MCID_M010_PLACE	Cattedrale di Destinea
MCID_M010_OUTLINE	L'armata del Drago Divino si\nprecipita alla cattedrale di Destinea\nper salvare re Morion.
MCID_M011_PREFIX	Capitolo 11
MCID_M011	La ritirata
MCID_M011_PLACE	Valle Fosca
MCID_M012_PREFIX	Capitolo 12
MCID_M012	Le sentinelle
MCID_M012_PLACE	Deserto di Tullah
MCID_M012_OUTLINE	Dopo il furto degli anelli da parte\ndi Veyle, il gruppo si dirige nel\nregno di Solm per riprendersi.
MCID_M013_PREFIX	Capitolo 13
MCID_M013	Gli eroi dell'oasi
MCID_M013_PLACE	Oasi
MCID_M013_OUTLINE	L'armata del Drago Divino si dirige\nin un'oasi alla ricerca di Timerra e\ndell'anello dell'Eroe della Fiamma.
MCID_M014_PREFIX	Capitolo 14
MCID_M014	La battaglia del Solm
MCID_M014_PLACE	Palazzo di Solm
MCID_M014_OUTLINE	Saputo dell'attacco di Hortensia\nal palazzo di Solm, l'armata del\nDrago Divino si affretta a tornare.
MCID_M015_PREFIX	Capitolo 15
MCID_M015	Danzando tra le rovine
MCID_M015_PLACE	Fortezza settentrionale
