MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08ロサード\nEhi, Mauvier!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06モーヴ\nRosado.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ロサード\nSei sempre così... teso?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06モーヴ\nNon lo faccio apposta.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ロサード\nE dai, rilassati! Come fai a startene imbronciato\ndavanti al mio bel faccino?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06モーヴ\nImbronciato? Con la vita che faccio, vorrei\nvedere.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06モーヴ\nE riguardo al tuo "bel faccino", non saprei come\nreagire. Vedila come ignoranza, più che\nmaleducazione.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ロサード\nAaah, ma allora ho capito!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06モーヴ\nCapito cosa?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ロサード\nSei un neofita. Non hai ancora sviluppato il\nsenso del bello! Non c'è da stupirsi se hai\nquell'aria imbronciata.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ロサード\nMa lascia che ti aiuti. Ti insegnerò tutto quello\nche c'è da sapere sulla bellezza e il saperla\napprezzare! La tua vita cambierà da così a così!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06モーヴ\nNon ce n'è bisogno.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ロサード\nMa scherzi? È fondamentale!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ロサード\nNon riuscire ad apprezzare la bellezza è come...\nè come non sentire il gusto delle spezie nel cibo!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06モーヴ\nMmmh... Mi piace il cibo speziato. E va bene.\nTi lascio campo libero.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ロサード\nBene! Ci penso io, non te ne pentirai!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08ロサード\nBene, guarda questo astuccio. Non sembrerebbe\nnulla di speciale, no? Sbagliato! Ha le orecchie\nda coniglietto!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ロサード\nHai mai visto qualcosa di più adorabile?!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06モーヴ\nSembra un coniglio, lo vedo.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ロサード\nOra qualcosa di facile. Cosa ne pensi di questo\nfazzoletto? Guarda che bel motivo a fiori!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06モーヴ\nI ricami sembrano ben fatti.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06モーヴ\nMa è "carino", secondo te?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06モーヴ\nMi spiace. Non capisco a cosa ti riferisci nello\nspecifico.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ロサード\nMmmh... Sei un osso duro, non c'è che dire...\nMa non mi arrendo. Facciamo un passo indietro.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ロサード\nProva a pensare a un momento nella tua vita\nin cui il cuore ti ha palpitato forte!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06モーヴ\nPalpitato?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ロサード\nTipo quando dici: "Aaaah, che carino! Non\nresisto!" e ti viene spontaneo agitare i polsi!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ロサード\nEcco, quelli!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06モーヴ\nOh. Ci sono.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06モーヴ\nSenza dubbio il mio cuore palpitava quella volta\nche fui colpito da una freccia avvelenata.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ロサード\nMa non c'è niente di carino nel veleno...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06モーヴ\nAllora chiedo scusa, ma non penso di poter\nessere iniziato alla via "dell'adorabilità".\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06モーヴ\nDa bambino fui educato dai seguaci del Drago\nMaligno, e posso assicurarti che non fu una\nbella infanzia.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06モーヴ\nIl lavaggio del cervello non funzionò su di me,\nma credo che contribuì a cancellare il mio\nsenso estetico.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06モーヴ\nTemo che ormai sia tardi per imparare tutto\nda zero.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ロサード\nMauvier... non arrenderti.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06モーヴ\nSi è fatto tardi. Devo andare.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08ロサード\nSalve, Mauvier.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06モーヴ\nRosado. Se sei qui per insegnarmi ad apprezzare\nle cose "carine", credevo di essere stato chiaro...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ロサード\nChiarissimo. So che il mio tempismo non è\nstato dei migliori...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ロサード\nNon penso che uno come te, sempre gentile\ne concentrato, possa mettere da parte la guerra\nfinché non è finita.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06モーヴ\nSì, sono concentrato. Le distrazioni portano\nalla sconfitta, sia in battaglia sia nella vita.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06モーヴ\nMa vedo che hai capito meglio di me. Se ci\nfossi arrivato io per primo, ti avrei risparmiato\nla fatica.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06モーヴ\nScusa se ti ho fatto perdere tempo.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ロサード\nNo, non devi scusarti! Ma vorrei che ci\nfacessimo questa promessa.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06モーヴ\nQuale?\x0E\x04\x00\x00
