MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nMi fa piacere che possiamo parlare un po',\ndopo che ho vegliato su di te così a lungo,\n\x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nLo penso anche io. Sono content\x0E\x0A\x00\x08\x02o\x02a di averti\nal mio fianco, sento che mi dai tanta forza.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0A\x08リュール\nMarth, credo di non conoscere nessuno forte\ncome te. Come faccio a diventarlo anche io?\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x08\x06マルス\nPotrai compiere grandi imprese se saprai\ntrarre forza dai legami con i tuoi amici.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nMi scalda il cuore vedere quanto tu sia\nmaturat\x0E\x0A\x00\x08\x02o\x02a. Sembri molto più sicur\x0E\x0A\x00\x08\x02o\x02a di te.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nHo avuto la fortuna di poter contare\nsull'appoggio di molte persone. Da sol\x0E\x0A\x00\x08\x02o\x02a\nnon ce l'avrei mai fatta.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nResterai al mio fianco per vedere cos'ha in\nserbo per noi il futuro, Marth?\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x08\x06マルス\nCi puoi contare. Il futuro si costruisce con\nlegami indissolubili come il nostro.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nRe Eroico Marth, combatterete al mio fianco\nin nome del Drago Divino?\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x08\x06マルス\nMa certo. Abbiamo entrambi un compito da\nportare a termine. Uniamo le nostre forze.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nLord Marth, gradireste una mela?\nA me piacciono molto, sapete.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x08\x06マルス\nL'accetterei volentieri, ma purtroppo non posso\nmangiare. Tuttavia, sono contento di vedere\nche a te dà piacere.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nSei bravo nei lavori manuali, Vander.\nNon sapevo che lavorassi a maglia.\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nOh, è solo un passatempo, ma ha anche\ndei riscontri pratici e aiuta a rilassarsi.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nQuando la guerra sarà finita, spero di poter\ndedicare più tempo a questa mia passione.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x08\x06マルス\nÈ un buon piano. Mettiamo fine a questa guerra\ne creiamo un mondo dove tu possa lavorare a\nmaglia in pace.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nTi ho visto combattere. Sei molto abile.\nSono contento di poter fare squadra con te.\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nOh, wow, pensi che sia bravo? È un vero onore.\nPrometto che farò il possibile per essere\nall'altezza.\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06クラン\nLord Marth, c'è qualcuno che rispetti molto?\nQualcuno che non puoi fare a meno di\nguardare con ammirazione?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06マルス\nAmmiro tutti gli amici con cui ho dei legami\nforti. Come te, Clanne.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06クラン\nForse ho capito perché ti chiamano "Re Eroico".\nSei forte e non hai bisogno di nessuno.\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06マルス\nTi sbagli. Da solo non valevo nulla. Ce l'ho fatta\nsolo grazie all'aiuto dei miei amici.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06マルス\nLa mia vita apparteneva ai miei amici e la loro\na me. Sono diventato un eroe combattendo per\nloro.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06クラン\nAllora il potere non è qualcosa che ci viene\ndato, ma qualcosa che si guadagna? Grazie\nper avermelo insegnato, lord Marth.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06フラン\nChe onore combattere con te, emblema Marth!\nCercherò di non esserti di peso.\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06マルス\nNon preoccuparti, Framme. Insieme metteremo\nfine a questo conflitto.\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nSembri contenta, Framme. Cosa stai facendo?\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06フラン\nSto scrivendo una lettera ai miei genitori.\nAbitano lontano e voglio fargli sapere che\nsto bene!\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06フラン\nEmblema Marth, sei stato lì tutto il tempo...\nmentre il Drago Divino dormiva?\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x08\x06マルス\nSì... ma il tempo è passato piuttosto\nvelocemente. Ho visto l'impegno che hai\nmesso nel prenderti cura di l\x0E\x0A\x00\x0C\x04ui\x04ei.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06フラン\nGrazie! E d'ora in avanti cercherò di fare\nancora meglio, per te e per il Drago Divino.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06マルス\nNon dubito che ce la farai, Framme. Insieme\nsiamo una forza inarrestabile.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nMa questo è l'anello che portava il Drago Divino\ndurante il suo lungo sonno! Che onore\ncombattere al tuo fianco!\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x08\x06マルス\nSono lieto di combattere a fianco di un principe\nvaloroso come te. Insieme riporteremo la pace.\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nSembri preoccupato, Alfred. C'è qualcosa che\nti turba?\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nSono un po' giù perché non riesco a mettere su\nmuscoli. Andrò a fare una corsa! Di solito mi\naiuta a distrarmi!\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nHai una grande passione per l'esercizio fisico.\nAmmiro il tuo impegno.\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nDa bambino ero sempre malato, così mi allenavo\nper rinforzarmi. Ma ora è diventato il mio\npassatempo preferito.\x0E\x04\x00\x00
