MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06ジャン\nOh, no! E va bene, Jean. Ti sei perso.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ジャン\nSe non torno in fretta, saranno guai.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06ジャン\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x02\x08\x06クラン\nJean? Tutto bene?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06ジャン\nOh... Ciao, Clanne.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06クラン\nStai piangendo? Che succede?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ジャン\nNo... non piangevo mica. Ero solo un po'\nnervoso perché mi sono perso, ecco.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ジャン\nUltimamente ci sono molti feriti nelle nostre\ntruppe. Ero venuto a raccogliere erbe curative.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06クラン\nOh! Davvero? È gentile da parte tua.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06ジャン\nHo trovato le erbe, ma poi mi sono un po' perso\nnei miei pensieri e senza accorgermene...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06クラン\nTi sei perso.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ジャン\nE tu, Clanne? Che ci fai da queste parti?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クラン\nAnche io ero in cerca di erbe. Mi servono per\ni miei sottaceti.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ジャン\nOh. Capisco... Sai dirmi da che parte devo\nandare per tornare indietro?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06クラン\nCerto! Vengo qui spesso. Ora ti aiuto\na tornare indietro.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ジャン\nGrazie, sei la mia salvezza.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06クラン\nQuando sei da solo nella foresta devi\nsempre guardarti intorno.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06ジャン\nCerto, hai ragione. Starò più attento\nla prossima volta.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06クラン\nPer fortuna che hai incontrato me, eh?\nTorniamo a casa.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06ジャン\nGrazie, Clanne.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06ジャン\nDi' un po', Clanne, ti ricordi quando mi ero\nperso in cerca di erbe e mi hai aiutato?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クラン\nMh-mh.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ジャン\nNe ho già fatto buon uso, aiutando un bambino\nferito vicino alla nostra ultima battaglia.\x0E\x04\x00\x00
