MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nAh! Yah!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nラファール\nEhi.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nNon ho finito! Yaaaah!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nラファール\nStammi a sentire!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nEh? Ah, sei tu, lord Rafal. Cos'è quella faccia?\nMi devo preoccupare?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nラファール\nSmettila un attimo con i tuoi grugniti sudaticci.\nNon riesco a concentrarmi.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nCerto, posso allenarmi facendo meno rumore.\nScusa per il disturbo.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nラファール\nNon basta. Esigo che tu smetta del tutto.\nIl solo vederti mi distrae.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nNon posso smettere di allenarmi, ma sono\nsicuro che troveremo un compromesso. Fammi\npensare...\x0E\x04\x02\x00
MID_RELIANCE_C_#010	Ah, trovato! Perché non ti unisci a me?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nラファール\nCome hai detto?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nSe ci alleniamo insieme, il rumore non ti darà\npiù fastidio.\x0E\x04\x02\x00
MID_RELIANCE_C_#013	Dai, sarà divertente!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nラファール\nNon ho né il tempo né la pazienza di sopportare\nquesta farsa senza senso.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nTutti dicono così all'inizio.\x0E\x04\x02\x00
MID_RELIANCE_C_#016	Ma tu prova. Con me come istruttore, vedrai che\nce la farai.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nラファール\nOgni momento passato a parlare con te è una\nperdita di tempo. Se tu insisti a restare qui, me\nne andrò io.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nSu, lord Rafal. Ehi, quanta energia...\nÈ schizzato via in un attimo!\x0E\x04\x02\x00
MID_RELIANCE_C_#019	Aspettami! Anche io voglio farmi una corsetta!\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nラファール\nUffa, ma questo è matto?\x0E\x04\x02\x00
MID_RELIANCE_C_#021	Che fai? Smettila di seguirmi!\x0E\x04\x00\x00
