MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x08\x06クラン\nPrincipe Fogado? Avrei una domanda.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nフォガート\nAh, sì? Spara! Dimmi tutto.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06クラン\nCosa mangiate a colazione?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nフォガート\nOh. Non è il genere di domanda che mi\naspettavo.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06クラン\nMi interessa, davvero.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nフォガート\nUhm, beh. Di solito mangio dei frutti tropicali.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06クラン\nFrutti tropicali... Capito. Li mangiate così come\nsono o cucinati in qualche modo?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nフォガート\nClanne, come mai mi fai tutte queste domande\nsulla mia colazione?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06クラン\nOh, uh... Ecco... Immagino non serva girarci\ntroppo intorno.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クラン\nTutti mi trattano come un ragazzino, mentre voi\nsiete la quintessenza della maturità!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nフォガート\nAhah, grazie! Se lo dici tu!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06クラン\nNon siete molto più vecchio di me... Deve\ndipendere da qualcosa che voi fate e io no.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nフォガート\nQuindi la domanda sulla colazione era\nper questo?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クラン\nEsatto! Se non è un problema per voi, mi\npiacerebbe studiarvi da vicino.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06クラン\nIn tal modo, forse apprenderò il vostro segreto!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nフォガート\nPerché no? Sembra divertente!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06クラン\nGrazie, grazie davvero! Non vi accorgerete\nneanche della mia presenza, promesso.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x08\x06クラン\nGrazie per avermi permesso di seguirvi!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nフォガート\nNessun problema, davvero. Hai raccolto\nqualche, ehm, dato interessante?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06クラン\nUn sacco! Ho pagine e pagine su come\npreparare e mangiare la frutta.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nフォガート\nOh. Uh... Non so quanto possa essere utile,\nma buon per te.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nフォガート\nPosso dare un'occhiata ai tuoi appunti?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06クラン\nMa certo! Spero che la mia grafia non sia un\nproblema... Tendo a scrivere male quando\nsono emozionato...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nフォガート\nFammi vedere.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nフォガート\n"Fogado è un uomo del popolo, disponibile e alla\nmano. Quasi non si direbbe un principe."\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nフォガート\n"Guida le sentinelle con mano ferma...\nAma le feste e il cibo raffinato..."\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nフォガート\n"Eccelle in ogni sport, tranne la pesca."\nAhahah! Severo ma giusto!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nフォガート\nCi hai preso in pieno. Allora non ti sembro più\ncosì speciale, immagino?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06クラン\nTutt'altro! Sono ancora più impressionato! Siete\nsempre una spanna sopra agli altri!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クラン\nMa così la distanza tra noi sembra ancora più\ngrande... Siete un modello irraggiungibile.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nフォガート\nDici davvero?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nフォガート\nE va bene, senti qua. Che ne dici se pranziamo\ninsieme uno di questi giorni?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06クラン\nUn pranzo, eh?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nフォガート\nGià. Ti svelerò un segreto che non ti aspetti.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06クラン\nDavvero? Il segreto della virilità del principe\nFogado verrà alla luce...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クラン\nCi sarò senz'altro! Non vedo l'ora!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nEcco il pranzo, con tutti i sottaceti che vuoi!\nNon fare complimenti!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クラン\nWow, sembra una delizia!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nフォガート\nEcco il segreto che ti avevo promesso. C'è\nqualcuno che ammiro e a cui vorrei somigliare.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nフォガート\nOra ti spiego cosa ammiro in lui, così puoi farti\nun'idea di che tipo è.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06クラン\nVi ascolto! Spiegatemi tutto per filo e per segno!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nフォガート\nIl tizio in questione è uno che lavora sodo e\ncerca sempre di migliorare sé stesso.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nフォガート\nNon si arrende proprio mai. Al mondo\nservirebbero più persone positive come lui.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06クラン\nPerò! Sembra una persona da prendere\na modello.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nフォガート\nProprio così. Mi ispira a seguire le sue orme e\na cercare di migliorarmi.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06クラン\nE chi è? Lo conosco?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nフォガート\nPenso proprio di sì. È seduto qui a prendere\nappunti.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06クラン\nPrende... appunti...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06クラン\nEh? COSA?!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nフォガート\nSo che tu mi ammiri, ma a dire il vero anche io\nammiro te. Forse persino di più.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06クラン\nCOOOSA?!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nフォガート\nAscolta. Tutto il peso che dai alla differenza tra\nun ragazzino e un uomo non ha importanza.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nフォガート\nNon pensarci e continua sulla tua strada.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nフォガート\nE quel tuo atteggiamento positivo, il fatto che\nlavori sodo... a parer mio sono cose fantastiche.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クラン\nWow. Che parole gentili, non so cosa\nrispondere.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06クラン\nRaddoppierò i miei sforzi per non deludervi!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nフォガート\nUh, allora sarò doppiamente impressionato.\nSpero non mi scoppi la testa!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06クラン\nMmmh... Immagino che sia così che funziona\nispirarsi a vicenda, eh?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nフォガート\nCredo di sì.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nフォガート\nForza, mangia qualcosa. Ne hai bisogno se\nvuoi diventare grande e forte.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06クラン\nAllora, con permesso...\x0E\x04\x00\x00
