MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06マルス\x021\n\x0E\x03\x02\x08\x06マルス\nLo scontro finale ci attende. Quando sei pront\x0E\x0A\x00\x08\x02o\x02a,\nmuoveremo il Somniel per raggiungere il portale.\x0E\x04\x02\x00
MID_OP1_#002	Quando saremo di fronte al Drago Maligno,\nnon c'è certezza di poter tornare indietro.\x0E\x04\x02\x00
MID_OP1_#003	Ti senti pront\x0E\x0A\x00\x08\x02o\x02a mentalmente e anche\nequipaggiat\x0E\x0A\x00\x08\x02o\x02a per ciò che ci attende?\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0C\x06マルス\x021\n\x0E\x03\x02\x0A\x08リュール\nIl Somniel sta prendendo quota. Presto\nraggiungeremo Sombron.\x0E\x04\x02\x00
MID_OP2_#002	Vinciamo questa battaglia e torniamo a casa.\nInsieme.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x08\x06マルス\nSì. Certo...\x0E\x04\x02\x00
MID_OP2_#004	Ugh...
MID_OP2_#005	\x0E\x03\x02\x0A\x08リュール\nMarth! Cosa ti sta succedendo?!\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x08\x06マルス\nA quanto pare non posso più nasconderlo, eh?\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x0A\x08リュール\nNascondere cosa?\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x08\x06マルス\nC'è qualcosa che devo dirti prima che arriviamo\na destinazione, \x0E\x06\x03\x00.\x0E\x04\x02\x00
MID_OP2_#009	Il portale ha destabilizzato il nostro mondo.\x0E\x04\x02\x00
MID_OP2_#010	Io e gli altri emblemi non abbiamo una forma\nmateriale. Potremmo non riuscire a\nmanifestarci.\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x0A\x08リュール\nNon ne avevo idea. Avrei dovuto pensarci prima.\x0E\x04\x02\x00
MID_OP2_#012	Ma se la causa è il portale, allora questo effetto\nè solo temporaneo, giusto?\x0E\x04\x02\x00
MID_OP2_#013	Lo chiuderemo e tu e gli altri emblemi\ntornerete come prima.\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x08\x06マルス\n...\x0E\x04\x02\x00
MID_OP2_#015	La chiusura del portale causerà una forte\ndistorsione.\x0E\x04\x02\x00
MID_OP2_#016	Non saremo in grado di sopportarla.\x0E\x04\x00\x00
MID_OP2_#017	\x0E\x03\x02\x0A\x08リュール\nCosa vuoi dire?\x0E\x04\x00\x00
MID_OP2_#018	\x0E\x03\x02\x08\x06マルス\nUna volta chiuso il portale, al termine dello\nscontro, tutti gli emblemi a parte te...\x0E\x04\x02\x00
MID_OP2_#019	... cesseranno di esistere.\x0E\x04\x00\x00
