MID_FOOD_RESULT	\x0E\x01\x01\x00 \x0E\x01\x00\x00
MID_FOODRANK_Superb	di grande qualità
MID_FOODRANK_Delicious	dal gusto delizioso
MID_FOODRANK_Growling	da leccarsi le dita
MID_FOODRANK_Melt	da acquolina
MID_FOODRANK_HighKing	del conquistatore
MID_FOODRANK_HolyMother	della madre sacra
MID_FOODRANK_Courage	del coraggio
MID_FOODRANK_Wisdom	della sagacia
MID_FOODRANK_Chalk	dal gusto divino
MID_FOODRANK_Mens	alla bell'e meglio
MID_FOODRANK_ForBoys	di cui innamorarsi
MID_FOODRANK_Woman	dal gusto audace
MID_FOODRANK_ForGirls	dal gusto sottile
MID_FOODRANK_Adult	per adulti
MID_FOODRANK_Child	per giovani
MID_FOODRANK_Your	in stile personale
MID_FOODRANK_Discerning	per palati ricercati
MID_FOODRANK_Whimsical	dal sapore strano
MID_FOODRANK_Rich	dal gusto ricco
MID_FOODRANK_Refreshing	dal sapore fresco
MID_FOODRANK_Sharp	di gusto armonico
MID_FOODRANK_Friendly	dal gusto delicato
MID_FOODRANK_BrodiaStyle	in stile brodiano
MID_FOODRANK_FileneStyle	in stile firenese
MID_FOODRANK_SolumStyle	in stile solmico
MID_FOODRANK_IrcionStyle	in stile elusiano
MID_FOODRANK_LithosStyle	in stile del Lythos
MID_FOODRANK_Wild	in stile rustico
MID_FOODRANK_Exciting	in abbondanza
MID_FOODRANK_CarefullySelected	di gran classe
MID_FOODRANK_Fresh	dal gusto genuino
MID_FOODRANK_Spicy	di fuoco
MID_FOODRANK_Hot	dal gusto piccante
MID_FOODRANK_Bitter	dal gusto amaro
MID_FOODRANK_Bittersweet	con note agrodolci
MID_FOODRANK_SuperSweet	e tanto zucchero
MID_FOODRANK_Sweet	dal gusto dolce
MID_FOODRANK_Chewy	da masticare bene
MID_FOODRANK_Hard	per denti forti
MID_FOODRANK_Habit	da perdere la testa
MID_FOODRANK_Smart	fuori dal comune
MID_FOODRANK_Normal	di stile comune
MID_FOODRANK_Mistake	con degli errori
MID_FOODRANK_Shortage	senza carattere
MID_FOODRANK_DifferentStar	di un altro mondo
MID_FOODRANK_DefinitelySuffer	da voltastomaco
MID_FOODRANK_Carbonization	in cenere
MID_FOOD_OnionSoup	Zuppa di cipolle
MID_FOOD_H_OnionSoup	Una zuppa semplice, ma saporita,\na base di cipolle, acqua e spezie.
MID_FOOD_ConsommeSoup	Zuppa di verdure e legumi
MID_FOOD_H_ConsommeSoup	Una zuppa contenente salsicce,\nlegumi e verdure. La base del brodo\nvaria a seconda di chi la prepara.
MID_FOOD_DumplingsOfMeat	Fagottini di carne
MID_FOOD_H_DumplingsOfMeat	Pagnottelle farcite con un ripieno di\ncarne macinata, verdure, pangrattato\ne spezie, e poi bollite.
MID_FOOD_PotatoSoup	Vellutata di patate
MID_FOOD_H_PotatoSoup	Una zuppa densa e cremosa\npreparata con patate tenere.
MID_FOOD_WhiteSausage	Salsicciotti bianchi
MID_FOOD_H_WhiteSausage	Salsicce a base di carne di agnello,\npancetta ed erbe aromatiche.
MID_FOOD_StewedSaltedMeat	Stufato di carne
MID_FOOD_H_StewedSaltedMeat	Stinco di maiale stufato a lungo in\nun brodo di erbe e verdure.
MID_FOOD_CreamCroquette	Crocchette fritte
MID_FOOD_H_CreamCroquette	Crocchette ripiene di besciamella.
MID_FOOD_SmokedEel	Anguilla affumicata
MID_FOOD_H_SmokedEel	Un'anguilla d'acqua dolce pulita\ne affumicata. Si mangia anche la\npelle!
MID_FOOD_PickledPicklesHerringRoll	Involtini di aringa e sottaceti
MID_FOOD_H_PickledPicklesHerringRoll	Cipolle o pomodori sottaceto avvolti\nin un'aringa marinata.
MID_FOOD_FriedCarp	Carpa fritta
MID_FOOD_H_FriedCarp	Carpa pulita e sfilettata, e poi\ncotta intera nell'olio bollente.
MID_FOOD_ApplePie	Torta di mele
MID_FOOD_H_ApplePie	Una torta ripiena di fettine di mela.
MID_FOOD_StewedCabbage	Cavolo in salamoia
MID_FOOD_H_StewedCabbage	Fettine di cavolo messe sotto\nsale e spezie, e lasciate fermentare\nin un apposito vaso o barile.
MID_FOOD_PotatoPancakes	Pancake di patate
MID_FOOD_H_PotatoPancakes	La pastella contiene anche patate\ngrattugiate. Si friggono in padella.
MID_FOOD_SteamedDumpling	Gnocchetti dolci
MID_FOOD_H_SteamedDumpling	Palline di impasto cotte in un misto\ndi latte e burro in una pentola\ncoperta.
MID_FOOD_OnionQuiche	Quiche alla cipolla
MID_FOOD_H_OnionQuiche	Una quiche cotta al forno, ripiena\ndi un abbondante farcitura di cipolle\ne pancetta saltate in padella.
