MID_TUT_BMAP_SilverCard_TITLE	Carta argento
MID_TUT_BMAP_SilverCard_0	Con questa carta puoi godere di uno sconto del\n30% all'armeria e alla boutique degli accessori.
MID_TUT_GMAP_GOD_TITLE	Mappa del mondo (capitoli divini)
MID_TUT_GMAP_GOD_0	Puoi usare la mappa del mondo per tornare al\nSomniel o alla mappa della storia principale.
MID_TUT_GMAP_GOD_1	Sulle caselle delle battaglie già completate\npossono apparire delle scaramucce.
MID_TUT_GMAP_RECOLLECTION_BATTLE_TITLE	Ricordare le battaglie
MID_TUT_GMAP_RECOLLECTION_BATTLE_0	Dopo aver completato una mappa del pass\ndi espansione, puoi affrontarla di nuovo\nricordandola.
MID_TUT_GMAP_RECOLLECTION_BATTLE_1	Puoi ricordare le battaglie tutte le volte che\nvuoi, con qualsiasi combinazione di alleati.
MID_TUT_GMAP_RECOLLECTION_BATTLE_2	Tuttavia, con queste battaglie non otterrai\nesperienza né nuovi strumenti. Gli strumenti e\ngli alleati vengono ripristinati dopo la battaglia.
MID_TUT_HUB_GOD_START_TITLE	Capitoli divini
MID_TUT_HUB_GOD_START_0	Dalla mappa del mondo puoi raggiungere\nle isole dei bracciali degli emblemi.
MID_TUT_HUB_GOD_START_1	Puoi tornare alla storia principale\nogni volta che vuoi.
MID_TUT_HUB_GOD_START_NOTICE	È apparso qualcosa al belvedere.
MID_TUT_GOD_TIKI_TITLE	Emblema Tiki
MID_TUT_GOD_TIKI_0	L'emblema Tiki ha potenti attacchi draconici\ne può conferire protezione divina agli alleati.
MID_TUT_GOD_TIKI_1	L'abilità sincro "Sfera stellare" fa migliorare più\nfacilmente i parametri quando l'unità passa a\nun nuovo livello.
MID_TUT_GOD_TIKI_2	Il soffio della sua arma unione infligge danni\nai nemici in un'area e cambia in base al tipo\ndi unità con cui combatte.
MID_TUT_GOD_TIKI_3	L'abilità unione "Forma draconica" fa mutare\nl'unità in un drago, incrementandone i parametri\nconsiderevolmente.
MID_TUT_GOD_TIKI_4	L'attacco unione "Offerta divina" conferisce\na un alleato una pietra vitale, che può essere\nconsumata per ripristinare i PS se scendono a 0.
MID_TUT_GOD_EDELGARD_TITLE	Emblema Edelgard
MID_TUT_GOD_EDELGARD_0	L'emblema Edelgard si alterna in modo casuale\ncon gli altri due capi casa, Dimitri e Claude,\noffrendo una vasta gamma di abilità.
MID_TUT_GOD_EDELGARD_1	L'abilità sincro "Stratagemma" cambia in base\nal capo casa attivo in quel momento.
MID_TUT_GOD_EDELGARD_2	L'arma unione "Aymr" può schiantare i nemici\ne infliggere danno extra ai draghi.
MID_TUT_GOD_EDELGARD_3	L'abilità unione "Mosse speciali" fa accedere\na uno dei tre differenti attacchi disponibili,\nconsumando turni rimanenti dell'unione.
MID_TUT_GOD_EDELGARD_4	L'attacco unione "Case unite" combina ascia,\nlancia e arco, incrementando la probabilità di\nfare breccia al nemico. Efficace contro volanti.
MID_TUT_TIPS_Tiki	Emblema Tiki
MID_TUT_TIPS_Edelgard	Emblema Edelgard
MID_TUT_TIPS_Dimitri	Emblema Dimitri
MID_TUT_TIPS_Claude	Emblema Claude
MID_TIPS_SKILL_30	L'emblema dei Rivali passerà in modo casuale a uno dei suoi tre emblemi\nall'inizio della fase giocatore.
MID_TIPS_SKILL_31	Se l'unità inizia lo scontro usando lo stesso tipo di arma dell'emblema sincronizzato,\nottiene Att +5. Durante l'unione, ottiene Att +5 indifferentemente dal tipo di arma.
MID_TIPS_SKILL_32	L'ascia dell'emblema Edelgard schianta i nemici e non ha attacco doppio.\nNon attacca per prima, neppure se inizia lo scontro. È efficace contro i draghi.
MID_TIPS_SKILL_33	Permette di usare le mosse speciali di Edelgard, Dimitri o Claude consumando turni\nrimanenti dell'unione.
MID_TIPS_SKILL_39	L'abilità unione "Mosse speciali" non fa terminare lo stato di unione nel turno stesso in\ncui viene usata, anche se i turni di unione rimanenti sono ridotti a 0.
MID_TIPS_GOD_24	Un Drago Divino che visse anticamente nel continente di Akaneia, in un altro mondo.
MID_TIPS_GOD_25	Una manakete trasformatasi da drago in umana. Si rivolge a Marth chiamandolo\naffettuosamente "Mar-Mar."
MID_TIPS_GOD_26	Erede dell'Impero Adrestiano in Fódlan, una terra di un altro mondo.\nUna giovane donna di grande dignità, abile con l'ascia.
MID_TIPS_GOD_27	Principe ereditario del Sacro Regno di Faerghus in Fódlan, una terra di un altro mondo.\nGiovane avveduto, abile con la lancia.
MID_TIPS_GOD_28	Erede dell'Alleanza del Leicester in Fódlan, una terra di un altro mondo.\nGiovane misterioso, abile con l'arco.
