MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x08\x06クロエ\nLouis! Mi stavi spiando di nuovo?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ルイ\nLo ammetto. Ti stavo guardando, circondata da\ntutte quelle belle fanciulle.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x06\x04ルイ\nUna vista davvero piacevole.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06クロエ\nDa come ne parli sembra quasi una gita alla\npinacoteca.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ルイ\nPer me è meglio di qualsiasi opera d'arte.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ルイ\nPasserei la giornata a osservare tutti quei\ndettagli. Non mi stanco mai.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06クロエ\nQuindi sarebbero questi i tuoi motivi?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04ルイ\nNon è diverso dall'ammirare un bel paesaggio.\nMi siedo e guardo.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04ルイ\nNon ci vedo nulla di male e sono sicuro che\ntu, più di ogni altro, debba concordare con me.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クロエ\nMmmh. Mi tocca darti ragione.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ルイ\nHo notato il modo in cui ti fermi rapita a\nguardare le scene suggestive.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06クロエ\nUna principessa e il suo cavaliere... un principe\ncon il servente... e, ah, un pegaso e una\nfanciulla!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クロエ\nSembrano scene di una fiaba! Come potrei non\nadorarle?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x06\x04ルイ\nIn fondo ci assomigliamo.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04ルイ\nHo un'idea. Perché non ci troviamo una volta\nad ammirare insieme una scena di queste?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x06\x04ルイ\nTu mi mostri quelle che piacciono a te e io\nquelle che piacciono a me.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06クロエ\nSembra divertente! Perché no?\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x08\x06クロエ\nGuarda là, Louis. Non è adorabile quella coppia\ne come condivide il pranzo?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クロエ\nLei lo imbocca e lui fa lo stesso.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06クロエ\nChe gesto romantico... Sembrano un principe\ne una principessa usciti da una fiaba.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ルイ\nSì, non male. Mi viene da immaginare come\nvivono, come si sono conosciuti...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x06\x04ルイ\nUna volta tanto mi fa piacere osservare\nqualcosa di diverso.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x06\x04ルイ\nMh...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06クロエ\nUhm, dici che è interessante, ma non sembri\nil ritratto della soddisfazione.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04ルイ\nGià, scusami. Credo che manchi qualcosa\nalla scena.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06クロエ\nEheh, cosa preferiresti?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x06\x04ルイ\nNon saprei... un certo non so che...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x06\x04ルイ\nPenso che manchi... tu.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06クロエ\nIo? E perché?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04ルイ\nTutti ti adorano, Chloé. Sei sempre circondata\nda amici.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x06\x04ルイ\nE i gesti che scambi con loro...\nnon c'è niente che possa eguagliarli.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04ルイ\nMi piace così tanto stare a guardarli che me li\nstamperei nella mente se potessi.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x06\x04ルイ\nSenza di te, queste scene perdono parte del\nloro fascino.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06クロエ\nNon capisco se sia un complimento... ma grazie.\x0E\x04\x00\x00
