MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x02\x08\x06フラン\n"Io sto bene. E voi come state, a casa?"\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nCiao, Framme. Scrivi una lettera?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06フラン\nAi miei genitori. Se non gli scrivo ogni tanto,\nsi preoccupano.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06フラン\nRiesci a crederci? Alla mia età! Sono tutti così\ni genitori?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06カゲツ\nNon tutti. I tuoi genitori devono volerti molto\nbene.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06カゲツ\nCi preoccupiamo per le persone a cui vogliamo\nbene... quindi devi essere contenta che la tua\nfamiglia si preoccupi per te.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06フラン\nBeh... forse un po'.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06フラン\nTu vieni da lontano, no? Immagino che le lettere\ndella tua famiglia siano importanti per te.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06カゲツ\nNon saprei, non ne ricevo.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06フラン\nPerché no?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06カゲツ\nNon possono scrivermi perché sono scappato\ndi casa senza dire dove sarei andato.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06カゲツ\nMa tanto, anche se lo sapessero, sarebbero\ntroppo arrabbiati per scrivermi.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06フラン\nNon sei più tornato a casa da quando sei\nscappato?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06カゲツ\nEsatto.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06フラン\nMa è terribile! Se fossi una tua parente, sarei\npreoccupatissima per te!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06フラン\nGuarda, ho carta e inchiostro proprio qui!\nScrivi una lettera alla tua famiglia!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06フラン\nSono sicura che sarebbero contenti di leggerla.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06カゲツ\nIo, scrivere alla mia famiglia? No no, proprio no.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06フラン\nUffaaaa! Secondo me era una bella idea!\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06カゲツ\nSei carina a preoccuparti, ma questo è un\nproblema mio e devo affrontarlo da solo.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06カゲツ\nMa apprezzo la tua voglia di aiutarmi.\nGrazie, piccola amica!\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06フラン\n"Piccola"?!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nUhm... no, così non va...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06カゲツ\nE se...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x02\x08\x06フラン\nCiaoooo, Kagetsuuu!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06カゲツ\nAh!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06カゲツ\nFramme! Mi hai spaventato.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06フラン\nChe stavi facendo? Ti ho visto nascondere\nqualcosa, o sbaglio?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06カゲツ\nNo, ti sbagli... non ho nascosto niente.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06フラン\nNon sei capace a dire le bugie! Allora non\nti dispiace se do un'occhiata in giro, vero?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06カゲツ\nNo! Framme, smettila di impicciarti!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06フラン\nCos'è quel foglio...?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06フラン\nOh! Ma è una lettera?!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06カゲツ\nSì.\x0E\x04\x00\x00
