MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nCosì questo è il Solm. È un po'... sabbioso.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08アイビー\nIl deserto ricopre la maggior parte del regno.\nQuesto si chiama Tullah.\x0E\x04\x02\x00
MID_OP1_#003	E come avrete già notato, fa ben più caldo che\nin Elusia. Mi sento sciogliere.\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x00\x12\x0Cディアマンド\x023\n\x0E\x03\x02\x0E\x0Cディアマンド\nCosa facciamo adesso, Drago Divino?\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0A\x08リュール\nPenso che dovremmo correre al palazzo.\nSperando che i Segugi non ci abbiano preceduti.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0A\x08アイビー\nMentre ero in Elusia, in effetti i Quattro Segugi\nhanno fatto visita al Solm più volte.\x0E\x04\x02\x00
MID_OP1_#007	Ma tornavano sempre a mani vuote, quindi\nimmagino che il palazzo sia ben difeso.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x00\x12\x0Cアルフレッド\x024\n\x0E\x03\x02\x0E\x0Cアルフレッド\nGrazie, Ivy. È utile avere una nemica come\namica.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x0A\x08アイビー\nLo prenderò come un complimento.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x0A\x08リュール\nQual è l'anello che è stato affidato al Solm?\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x0A\x08アイビー\nL'anello dell'Eroe della Fiamma. Si dice sia\nuno dei più potenti.\x0E\x04\x02\x00
MID_OP1_#012	Inutile sottolineare che sarebbe un bel vantaggio\nper noi.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x0A\x08リュール\nSembra proprio ciò di cui abbiamo bisogno.\nDiamoci da fare.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nUhm... da che parte era il palazzo?\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x0A\x08アイビー\nDrago Divino... mi sa che siamo già passati\nvicino a quella roccia enorme.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x0A\x08リュール\nCosa? Davvero?! Mi devo essere confus\x0E\x0A\x00\x08\x02o\x02a...\nIl terreno mi sembra tutto uguale.\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x0A\x08アイビー\nVorrei aiutarti, ma la mia conoscenza della\ngeografia solmica viene solo dalle mappe.\x0E\x04\x02\x00
MID_OP2_#005	Un momento, principe Alfred, principe Diamant.\x0E\x04\x02\x00
