MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06クロエ\nOh, ciao, Merrin!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06メリン\nMa guarda chi c'è. Chloé. Bella come sempre.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06メリン\nHo visto questi fiori e ho pensato a te.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06メリン\nLa bellezza chiama bellezza... Spero che\nti piacciano.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06クロエ\nWoooow... Che gentile che sei, Merrin.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06クロエ\nSei così affascinante e tosta... Sembri uscita\nda una fiaba.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06メリン\nChi, io? Affascinante e tosta, dici?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06メリン\nIhih, mi metti in imbarazzo.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06メリン\nAh, ho anche dei dolcetti. Ti va di dividerli\ncon me?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クロエ\nMa che sorpresa! Certo, mi piacerebbe molto.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06メリン\nLa giornata promette bene, direi.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06クロエ\nSediamoci lì, c'è un bel panorama. Possiamo\nanche mangiare la trippa di pesce sottaceto che\nho portato.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06メリン\nHai detto trippa... sottaceto?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クロエ\nScommetto che è un ottimo abbinamento con\ni tuoi dolcetti!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06メリン\nUgh... Meglio di no. Mi sembra un abbinamento\nun po' troppo estremo per i miei gusti.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06クロエ\nSe non provi, non puoi saperlo.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06メリン\nSolo un morso, allora. Ma non sono responsabile\ndi eventuali movimenti di stomaco.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06クロエ\nEheh. Mal che vada ti curo io. Allora sfidiamo\nla sorte, Merrin?\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nHyah!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06メリン\nEheh. Che colpo aggraziato, me lo dico da sola.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06メリン\nComunque meglio se mi alleno ancora un po'.\nIl campo di battaglia richiede perfezione e la\nperfezione richiede pratica.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06メリン\nYaaaaaaah!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06メリン\nUah! Ma che...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06メリン\nAaaaargh!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x02\x08\x06クロエ\nOh, no, Merrin! Ti sei fatta male?!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06メリン\nChloé? Da quant'è che sei lì?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06クロエ\nUn po' di tempo.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06クロエ\nNon ho detto niente perché non volevo\ninterrompere il tuo allenamento.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06メリン\nOh, caspita... Mi dispiace che tu abbia assistito\na questa scena...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06メリン\nNon era certo degna di una cavaliera delle fiabe.\nOra avrò perso tutto il mio fascino ai tuoi\nocchi...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クロエ\nOh-oh, ma hai un graffio sulla fronte. Ci penso\nio.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06メリン\nChe vergogna.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06クロエ\nMa non è niente. Capita a tutti di fare un errore.\nNon farne un problema più grosso di quello\nche è.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06クロエ\nQuando penso a te mi viene in mente tutto\nil lavoro che fai, non un errore insignificante.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06クロエ\nVedi? Resti sempre la cavaliera delle fiabe\nai miei occhi.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06メリン\nChloé... Grazie.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クロエ\nE poi avevo promesso che mi sarei occupata\ndi te, no?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06メリン\nAhah, è vero. Ma non era solo in caso di\nproblemi di stomaco?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06メリン\nIn fondo non tutti i mali vengono per nuocere.\nCon un'infermiera come te sono in buone mani.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nAh!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クロエ\nVai così, Merrin! Puoi farcela!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06メリン\nPuoi giurarci!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06メリン\nHyaaaaaah!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06メリン\nAhah. Come volevasi dimostrare. Una mossa\nfinale perfetta.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06クロエ\nBen fatto, Merrin!\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06メリン\nMerito tuo, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06メリン\nSei qui da stamattina a supportarmi nel mio\nallenamento. Senza di te non so come avrei\nfatto.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06メリン\nTi ringrazio.\x0E\x04\x00\x00
