MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nHYAAA!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nIncredibile!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08パネトネ\nCon menate di tal possanza, orbene non\nv'è nemico che resista, Lorsignor\x0E\x0A\x00\x08\x02e\x02a.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パネトネ\nDevo ammettere di essermi stupita quando\nmi avete chiesto lezioni di lotta, di grazia.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08パネトネ\nImmagino vorrete dar una bella saccagn-\nEhm... una lezione a qualcuno. Un debitore,\nforse?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リュール\nCosa? No, niente di simile!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nC'è sempre il rischio di perdere la propria\narma, o subire attacchi a sorpresa.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nQuindi è bene che io impari a combattere anche\na mani nude.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08パネトネ\nCapisco... molto astut\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08パネトネ\nOrbene, vi insegnerò dunque l'antica arte\ndella baruffa.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パネトネ\nCome domare uno spirito irrequieto, come\ncacciare un nemico col solo cipiglio, di grazia.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08パネトネ\nHo molto da insegnarvi.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nBene, perché sono pront\x0E\x0A\x00\x08\x02o\x02a a imparare!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08パネトネ\nVi trasformerò nel\x0E\x0A\x00\x08
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nIn una rissa, il colpo più importante è il primo.\nLa vittoria sta nell'attaccare prima del nemico.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08パネトネ\nPerdunque, dovete essere agile! Dovete\ncolpire con la rapidità di un rapace!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nAgile come un rapace. Tutto chiaro.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08パネトネ\nIn tal modo, anche se il nemico dovesse\nprecedervi, sarete in grado di evitare il colpo.\x0E\x04\x00\x00
