MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04グリ\x021\n\x0E\x03\x02\x06\x04グリ\nIn mezzo alle tenebre della solitudine,\ndesidererai che la luce ti appartenga?\x0E\x04\x02\x00
MID_OP1_#002	Risponderai all'estraneo che ti evoca\nal di là di una porta chiusa?\x0E\x04\x02\x00
MID_OP1_#003	La sua voce è disperata. L'annuncio funesto.\nLa pietra lucente è ora nera come la notte.\x0E\x04\x02\x00
MID_OP1_#004	Che importanza ha? C'è chi conosce la verità.\x0E\x04\x02\x00
MID_OP1_#005	Non esiste compassione in questo\nmondo, non esiste il mio dolore.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0EE003_イル\x022\n\x0E\x03\x00\x14\x0EE003_エル\x023\n\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x10\x0EE003_イル\nSiamo in marcia da un po', ormai.\nState tutti bene?\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x18\x16E003_セレスティア\nBenissimo. Anche se sarebbe più facile a\ncavallo della mia viverna.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x0A\x08リュール\nSe stiamo andando in Brodia, perché non\nabbiamo preso la strada principale?\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x10\x0EE003_エル\nÈ noto che la Brodia ripudia la guerra. Non\nci permetterebbero di attraversare il confine.\x0E\x04\x02\x00
MID_OP2_#005	Le loro frontiere sono più presidiate di qualsiasi\naltra nazione, dobbiamo avvicinarci di soppiatto.\x0E\x04\x02\x00
MID_OP2_#006	E comunque, non "stiamo andando" in Brodia.\nSiamo già arrivati.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x0A\x08リュール\nEh?\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x10\x0EE003_エル\nAbbiamo già fatto il nostro ingresso nel paese\ne ora ci stiamo muovendo all'interno dei suoi\nconfini.\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x0A\x08リュール\nE perché non ce l'hai detto prima?\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x10\x0EE003_エル\nNon credevo fosse così importante. Mi dispiace\nper voi, ma dovremo rimandare la parata\nufficiale.\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x0A\x08リュール\nStavo solo dicendo che sarebbe meglio tenere\nsempre informati i propri alleati.\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x18\x16E003_セレスティア\nState buon\x0E\x0A\x00\x08\x02i\x02e, voi due. C'è qualcuno qui.\x0E\x04\x00\x00
MID_OP2_#013	\x0E\x03\x02\x10\x0EE003_エル\nNon è possibile che ci abbiano già scoperti.\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x0A\x08リュール\nDa quella parte!\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x10\x0EE003_イル\nAspetta, Drago Divino!\x0E\x04\x00\x00
MID_OP2_#016	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x06\x000\x14E003_グレゴリー\x18MPID_Unknown\n\x0E\x03\x02\x16\x14E003_グレゴリー\nAiuto! Non farmi del male!\x0E\x04\x00\x00
MID_OP2_#017	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nGregory!\x0E\x04\x00\x00
